
[00:00:00.000 --> 00:00:05.000]  今天我透過路德記二章八到十八節
[00:00:05.000 --> 00:00:09.000]  來看路德他很美麗的生命第二部份
[00:00:09.000 --> 00:00:12.000]  我一樣有五個重點和大家分享
[00:00:12.000 --> 00:00:16.000]  希望這五個重點
[00:00:16.000 --> 00:00:20.000]  隨便一個是和你產生互動的
[00:00:20.000 --> 00:00:22.000]  就像神和你說的
[00:00:22.000 --> 00:00:27.000]  你就讓那樣東西繼續充滿你
[00:00:27.000 --> 00:00:29.000]  你要去做不是你做
[00:00:29.000 --> 00:00:31.000]  你讓祂在你裏面做
[00:00:31.000 --> 00:00:33.000]  我的看法
[00:00:33.000 --> 00:00:36.000]  往往你覺得有些東西是從神而來
[00:00:36.000 --> 00:00:37.000]  要你做的話
[00:00:37.000 --> 00:00:40.000]  其實事實上不是你做的
[00:00:40.000 --> 00:00:44.000]  是祂的生命在你裏面一起做的
[00:00:44.000 --> 00:00:45.000]  我再說一次
[00:00:45.000 --> 00:00:48.000]  往往你覺得有些東西從神而來
[00:00:48.000 --> 00:00:50.000]  好像叫你去做的話
[00:00:50.000 --> 00:00:52.000]  其實不是你去做的
[00:00:52.000 --> 00:00:54.000]  是神的生命在你裏面
[00:00:54.000 --> 00:00:56.000]  祂有力量給你去做的
[00:00:56.000 --> 00:01:00.000]  你就會覺得那樣東西做出來是一點都不困難的
[00:01:00.000 --> 00:01:03.000]  往往你做出來你覺得很困難的東西
[00:01:03.000 --> 00:01:05.000]  那些是你自己用力去做的
[00:01:05.000 --> 00:01:07.000]  因為神要你做那些
[00:01:07.000 --> 00:01:08.000]  神要你改變那些
[00:01:08.000 --> 00:01:10.000]  神要你愛
[00:01:10.000 --> 00:01:12.000]  神要你不要生氣那些
[00:01:12.000 --> 00:01:13.000]  你生氣的那些人
[00:01:13.000 --> 00:01:16.000]  你是沒有能力去不生氣的
[00:01:16.000 --> 00:01:17.000]  你沒有能力的
