
[00:00:00.000 --> 00:00:04.600]  今天分享的題目是「另類安息禮拜」
[00:00:04.600 --> 00:00:08.960]  作為傳道人,我們也出席不少的安息禮拜
[00:00:08.960 --> 00:00:15.520]  雖然如此,但仍然有一些安息禮拜會在我們心中留下深刻印象
[00:00:15.520 --> 00:00:23.800]  我仍然記得第一次參加有蘇格蘭風笛手奏樂的安息禮拜
[00:00:23.800 --> 00:00:30.600]  來到大家第一次參與有弦樂小組彈奏的安息禮拜
[00:00:30.600 --> 00:00:35.400]  而過去一年我自己參加了我祖母的安息禮拜
[00:00:35.400 --> 00:00:39.480]  我帶著不捨的心情去送別我最愛的祖母
[00:00:39.480 --> 00:00:44.760]  亦感恩見到很多愛祖母的人一起來送別和懷念她
[00:00:44.760 --> 00:00:49.160]  過去一年我也主持了我自己舅父的安息禮拜
[00:00:49.160 --> 00:00:52.720]  當中的心情是百感交集
[00:00:52.720 --> 00:00:56.480]  很不捨得舅父突然離開
[00:00:56.480 --> 00:01:01.560]  但看著他的孫抱著一個粉紅色會發光的心心
[00:01:01.560 --> 00:01:05.320]  在安息禮拜中獻唱「Give Thanks」
[00:01:05.320 --> 00:01:11.440]  亦在生平點滴的影片中看著過去舅父每一個片段的心
[00:01:11.440 --> 00:01:13.920]  仍然很感動
[00:01:13.920 --> 00:01:16.120]  在安息禮拜中另一件事很感動的
[00:01:16.120 --> 00:01:21.560]  就是很多時離世的親人所帶來的生命訊息
[00:01:21.560 --> 00:01:24.480]  我最近主持了一位世伯的安息禮拜
[00:01:24.480 --> 00:01:27.840]  這位世伯生長在動亂的時間
[00:01:27.840 --> 00:01:29.640]  雖然面對困境
[00:01:29.640 --> 00:01:33.400]  但至少很勤力地做公養家
[00:01:33.400 --> 00:01:35.720]  他靠著自己雙手的奮鬥
[00:01:35.720 --> 00:01:37.800]  建立了自己的生意
[00:01:37.800 --> 00:01:41.440]  但同一時間很積極地回饋社會
[00:01:41.440 --> 00:01:44.200]  世伯的生命感動到他的女兒
[00:01:44.200 --> 00:01:48.160]  立志要繼續對社會作出貢獻
[00:01:48.160 --> 00:01:52.040]  最近我亦主持了一位少年人父親的安息禮拜
[00:01:52.040 --> 00:01:55.560]  這位父親生前對家庭
[00:01:55.560 --> 00:01:58.160]  對同事、對朋友的愛
[00:01:58.160 --> 00:02:00.440]  感動到在場的每一個人
[00:02:00.440 --> 00:02:05.040]  都要立志繼續與其他人分享愛
[00:02:05.040 --> 00:02:10.520]  今天我們會看一個在約翰福音中另類的安息禮拜
[00:02:10.520 --> 00:02:13.800]  就是主耶穌基督的安葬
[00:02:13.800 --> 00:02:17.000]  在裡面出現了一些意想不到的情節
[00:02:17.000 --> 00:02:19.000]  而裡面所帶出的訊息
[00:02:19.000 --> 00:02:22.000]  更加是叫我們生命改變的訊息
[00:02:22.000 --> 00:02:26.280]  今天讓我們一起去看看這個另類的安息禮拜
[00:02:26.280 --> 00:02:29.440]  開始時今天分享的第一點訊息
[00:02:29.440 --> 00:02:33.760]  是我們確信耶穌是為我們受死的救主
[00:02:33.760 --> 00:02:38.120]  我們一起讀約翰福音十九章三十一至三十七節
[00:02:38.120 --> 00:02:39.520]  一二三
[00:02:39.520 --> 00:02:42.520]  猶太人因這日是預備日
[00:02:42.520 --> 00:02:45.400]  又因那安息日是個大日
[00:02:45.400 --> 00:02:49.360]  就求彼拉多叫人打斷他們的腿
[00:02:49.360 --> 00:02:51.160]  把他們拿去
[00:02:51.160 --> 00:02:55.360]  免得廝守當安息日留在十字架上
[00:02:55.360 --> 00:02:58.800]  於是冰釘來把頭一個人的腿
[00:02:58.800 --> 00:03:01.680]  並與耶穌同釘第二個人的腿
[00:03:01.680 --> 00:03:03.360]  都打斷了
[00:03:03.360 --> 00:03:05.600]  只是來到耶穌那裡
[00:03:05.600 --> 00:03:07.440]  見他已經死了
[00:03:07.440 --> 00:03:09.960]  就不打斷他的腿
[00:03:09.960 --> 00:03:13.240]  唯有一個冰拿槍砸他的肋旁
[00:03:13.240 --> 00:03:16.200]  隨即有血和水流出來
[00:03:16.200 --> 00:03:19.240]  看見這是的那人就作見證
[00:03:19.240 --> 00:03:21.720]  他的見證也是真的
[00:03:21.720 --> 00:03:25.400]  並且他知道自己所說的是真的
[00:03:25.400 --> 00:03:27.840]  叫你們也可以信
[00:03:27.840 --> 00:03:29.480]  這些事成了
[00:03:29.480 --> 00:03:32.240]  為要應驗經上的話說
[00:03:32.240 --> 00:03:35.680]  他的骨頭一根也不可折斷
[00:03:35.680 --> 00:03:37.760]  經上又有一句說
[00:03:37.760 --> 00:03:41.520]  他們要仰望自己所摘的人
[00:03:41.520 --> 00:03:45.040]  在這裡讓我們看到耶穌已經被釘十字架
[00:03:45.040 --> 00:03:48.080]  經文一開始告訴我們那天是預備日
[00:03:48.080 --> 00:03:50.760]  即是安息日即將來臨
[00:03:50.760 --> 00:03:55.120]  猶太人在安息日是不可以處理安葬的事
[00:03:55.120 --> 00:04:00.320]  但他們也不希望那些屍首在安息日留在十字架上
[00:04:00.320 --> 00:04:02.560]  所以他就求彼拉多
[00:04:02.560 --> 00:04:06.120]  去打斷那些被釘十字架的人的腿
[00:04:06.120 --> 00:04:10.520]  這段經文告訴我們那些冰釘將頭一個人的腿打斷
[00:04:10.520 --> 00:04:14.760]  也將跟耶穌同釘的第二個人的腿也打斷
[00:04:14.760 --> 00:04:18.680]  但聖經說「只是來到耶穌那裡
[00:04:18.680 --> 00:04:20.920]  見他已經死了
[00:04:20.920 --> 00:04:23.720]  就不打斷他的腿」
[00:04:23.720 --> 00:04:26.640]  我們會問為何要打斷他們的腿呢?
[00:04:26.640 --> 00:04:30.680]  因為當時釘十字架是一件很痛苦的事
[00:04:30.680 --> 00:04:33.600]  釘十字架的人會很難呼吸
[00:04:33.600 --> 00:04:38.080]  他們為了呼吸會不斷用腳撐起自己的身體
[00:04:38.080 --> 00:04:40.400]  叫自己仍然可以呼吸
[00:04:40.400 --> 00:04:42.960]  但為了確保他們真的死了
[00:04:42.960 --> 00:04:45.200]  如果他們打斷了他們的腿
[00:04:45.200 --> 00:04:48.520]  他們不能繼續用腳撐起自己的身體呼吸
[00:04:48.520 --> 00:04:50.960]  他們就會斷氣而死
[00:04:50.960 --> 00:04:53.400]  但出人意外的事在這裡發生
[00:04:53.400 --> 00:04:55.120]  因為聖經告訴我們
[00:04:55.120 --> 00:04:58.760]  當那些冰釘去到耶穌身體的時候
[00:04:58.760 --> 00:05:00.960]  見他已經死了
[00:05:00.960 --> 00:05:03.680]  就不打斷他的腿
[00:05:03.680 --> 00:05:08.360]  我們知道這些冰釘都有很豐富的經驗去判斷一個人死了沒有
[00:05:08.360 --> 00:05:10.400]  聖經也告訴我們另一個人
[00:05:10.400 --> 00:05:14.520]  他用槍去刺透耶穌的肋旁
[00:05:14.520 --> 00:05:17.400]  見到血和水分開
[00:05:17.400 --> 00:05:21.120]  進一步證實耶穌已經死了
[00:05:21.120 --> 00:05:26.160]  約翰接著說他自己也可以為這件事作見證
[00:05:26.160 --> 00:05:27.880]  他說他的見證是真的
[00:05:27.880 --> 00:05:29.960]  他知道自己所說的是真的
[00:05:29.960 --> 00:05:32.600]  並且叫我們去相信
[00:05:32.600 --> 00:05:33.720]  約翰在這裡告訴我們
[00:05:33.720 --> 00:05:37.440]  你要相信耶穌確實為我們死了
[00:05:37.440 --> 00:05:40.720]  但今天他不但告訴我們耶穌確實為我們死了
[00:05:40.720 --> 00:05:44.640]  更加清楚他告訴我們耶穌是誰
[00:05:44.640 --> 00:05:48.720]  約翰告訴我們耶穌就是我們的救主
[00:05:48.720 --> 00:05:53.400]  因為在舊約裡面對於將來的救主尼塞亞的描述
[00:05:53.400 --> 00:05:56.280]  耶穌在這裡應驗了
[00:05:56.280 --> 00:05:57.640]  當我們看下去的時候
[00:05:57.640 --> 00:05:58.920]  舊約裡面說
[00:05:58.920 --> 00:06:03.520]  他的骨頭一斤也不可折斷
[00:06:03.520 --> 00:06:08.560]  這裡說的是耶穌應驗了聖經對於尼塞亞的預言
[00:06:08.560 --> 00:06:11.040]  另一段聖經在撒加利亞書
[00:06:11.040 --> 00:06:13.920]  他們要仰望自己所擇的人
[00:06:13.920 --> 00:06:16.480]  我們知道耶穌所擇就是刺透耶穌
[00:06:16.480 --> 00:06:18.800]  就是被冰釘刺透了的那個
[00:06:18.800 --> 00:06:22.200]  所以耶穌不但告訴我們耶穌為我們死了
[00:06:22.200 --> 00:06:27.720]  更加說耶穌就是為你們受死的救主
[00:06:27.720 --> 00:06:32.800]  你們要靠著耶穌得著拯救
[00:06:32.800 --> 00:06:36.120]  大家可能聽過我的得救見證
[00:06:36.120 --> 00:06:40.600]  在英國的時候蘇怡原本想邀請我去教會的報道會
[00:06:40.600 --> 00:06:42.160]  我就不太想去
[00:06:42.160 --> 00:06:45.960]  於是就跟她說我約了媽媽在唐人街喝茶
[00:06:45.960 --> 00:06:47.360]  有智慧的她就說
[00:06:47.360 --> 00:06:51.640]  那我們就去唐人街的那個唐會崇拜吧
[00:06:51.640 --> 00:06:54.160]  當我們去到唐人街的唐會崇拜的時候
[00:06:54.160 --> 00:06:57.840]  就看到跟之前另外一個唐會同一個講員
[00:06:57.840 --> 00:06:59.280]  講同一段聖經
[00:06:59.280 --> 00:07:01.400]  以及講同一段的信息
[00:07:01.400 --> 00:07:03.840]  但神的奇妙就是
[00:07:03.840 --> 00:07:07.400]  在那天的崇拜裡面神大大感動我
[00:07:07.400 --> 00:07:09.040]  我心裡面有一個感動
[00:07:09.040 --> 00:07:12.200]  就是要將生命交給耶穌
[00:07:12.200 --> 00:07:15.440]  於是我就在崇拜裡面舉手決絕相信耶穌
