
[00:00:00.000 --> 00:00:02.000]  各位電視姊妹早晨
[00:00:02.000 --> 00:00:07.640]  今日這個講題是我看一次網上一篇文章
[00:00:07.640 --> 00:00:12.280]  《聖經報》文集所取材的
[00:00:12.280 --> 00:00:15.320]  那篇文章是用這個題目所寫
[00:00:15.320 --> 00:00:17.600]  愛可以沒有管教嗎?
[00:00:17.600 --> 00:00:21.200]  內容一開始就引用一位心理醫生
[00:00:21.200 --> 00:00:23.200]  講了一番話
[00:00:23.200 --> 00:00:27.400]  負責任的父母會恰當地結合愛
[00:00:27.400 --> 00:00:30.800]  和管教來教育他們的孩子
[00:00:30.800 --> 00:00:32.000]  在人的一生裏面
[00:00:32.000 --> 00:00:34.000]  如果孩子不能夠在某一個時期
[00:00:34.000 --> 00:00:35.600]  特別是幼年時期
[00:00:35.600 --> 00:00:39.600]  得到親人的關懷、愛和管教
[00:00:39.600 --> 00:00:42.400]  他就永遠學不到責任感
[00:00:42.400 --> 00:00:46.000]  從此他的一生就受害
[00:00:46.000 --> 00:00:48.000]  我相信對父母來說
[00:00:48.000 --> 00:00:51.400]  管教是他們愛孩子的一部份
[00:00:51.400 --> 00:00:53.800]  同樣《聖經》也是這樣告訴我們
[00:00:53.800 --> 00:00:58.200]  管教是上帝展現他對我們愛的一部份
[00:00:58.200 --> 00:01:03.000]  這是《針研》第三章所要傳遞的訊息
[00:01:03.000 --> 00:01:05.600]  之前講了《針研》第一章、第二章
[00:01:05.600 --> 00:01:08.400]  今日就講第三章
[00:01:08.400 --> 00:01:13.000]  第三章的經文可以分作四個段落
[00:01:13.000 --> 00:01:14.000]  打了出來
[00:01:14.000 --> 00:01:16.200]  頭尾兩段是一至十二節
[00:01:16.200 --> 00:01:18.200]  和二十七節至三十五節
[00:01:18.200 --> 00:01:19.600]  我們細心讀的時候
[00:01:19.600 --> 00:01:24.200]  你會找到每段都有六個不要或不可
[00:01:24.200 --> 00:01:26.000]  今日我們只是讀到十二節
[00:01:26.000 --> 00:01:27.400]  因為時間關係
[00:01:27.400 --> 00:01:29.800]  中間有兩個段落
[00:01:29.800 --> 00:01:31.800]  因為他們有些重複的地方
[00:01:31.800 --> 00:01:33.800]  有十三、十八節
[00:01:33.800 --> 00:01:35.200]  大家都講到有福
[00:01:35.200 --> 00:01:36.400]  十九節、二十六節
[00:01:36.400 --> 00:01:38.800]  大家都是用了耶和華
[00:01:38.800 --> 00:01:42.400]  中間有兩節特別重複的智慧和聰明
[00:01:42.400 --> 00:01:45.000]  所以一般人嘗試將它分段的時候
[00:01:45.000 --> 00:01:46.800]  就分作這四個段落
[00:01:46.800 --> 00:01:50.400]  因為今日有聖餐的環節
[00:01:50.400 --> 00:01:52.200]  亦有柬埔寨短書的分享
[00:01:52.200 --> 00:01:56.600]  所以我將焦點放在第三章一至十二節
[00:01:56.600 --> 00:01:58.400]  如果我們用心查考
[00:01:58.400 --> 00:02:01.400]  你會發現這段經文有些很特別的地方
[00:02:01.400 --> 00:02:03.800]  首先有六句的不可
[00:02:03.800 --> 00:02:05.200]  剛才我說在這十二節裏
[00:02:05.200 --> 00:02:06.400]  六句的不可
[00:02:06.400 --> 00:02:08.600]  第二在這六句的不可裏
[00:02:08.600 --> 00:02:10.800]  其實它有一個表達的公式
[00:02:10.800 --> 00:02:12.400]  好像有些節奏
[00:02:12.400 --> 00:02:14.400]  首先是消極的禁令
[00:02:14.400 --> 00:02:16.000]  即是不可或不要點
[00:02:16.000 --> 00:02:18.200]  然後告訴你「要」是怎樣
[00:02:18.200 --> 00:02:21.200]  第三是結果是怎樣
[00:02:21.200 --> 00:02:23.200]  因為結果是這樣
[00:02:23.200 --> 00:02:24.400]  這樣就是這樣
[00:02:24.400 --> 00:02:26.800]  有這種公式在裏
[00:02:26.800 --> 00:02:29.600]  我們看看這六句的不可
[00:02:29.600 --> 00:02:31.800]  這六句不可的格言
[00:02:31.800 --> 00:02:34.000]  放出來的時候
[00:02:34.000 --> 00:02:36.200]  你會發現它有些特別的地方
[00:02:36.200 --> 00:02:37.400]  第一句在第一節
[00:02:37.400 --> 00:02:39.000]  「不要忘記我的法則」
[00:02:39.000 --> 00:02:40.600]  第二句在第三節
[00:02:40.600 --> 00:02:43.000]  「不可使慈愛誠實離開你」
[00:02:43.000 --> 00:02:44.600]  第三句在第五節
[00:02:44.600 --> 00:02:46.200]  「不可倚靠自己的聰明」
[00:02:46.200 --> 00:02:47.400]  第四句在第七節
[00:02:47.400 --> 00:02:49.000]  「不要自以為有智慧」
[00:02:49.000 --> 00:02:51.400]  第五句應該在第幾節
[00:02:51.400 --> 00:02:52.600]  按道理是一三五七
[00:02:52.600 --> 00:02:53.400]  應該是九
[00:02:53.400 --> 00:02:54.200]  但它又不是
[00:02:54.200 --> 00:02:56.200]  第九節不是說這些
[00:02:56.200 --> 00:02:58.600]  第五句和第六句是出現在
[00:02:58.600 --> 00:02:59.600]  再跳一跳
[00:02:59.600 --> 00:03:01.000]  去到第十一節
[00:03:01.000 --> 00:03:04.000]  「你不可輕看耶華的管教」
[00:03:04.000 --> 00:03:06.200]  「亦都不可以厭煩他的責備」
[00:03:06.200 --> 00:03:07.800]  所以讀到那些位置的時候
[00:03:07.800 --> 00:03:08.800]  就會有些留意
[00:03:08.800 --> 00:03:09.800]  咦 為甚麼會這樣
[00:03:09.800 --> 00:03:11.200]  就好像你走一走
[00:03:11.200 --> 00:03:13.800]  即是樓梯上去的時候
[00:03:13.800 --> 00:03:16.200]  會有一段突然停一停
[00:03:16.200 --> 00:03:17.600]  叫你再走一段
[00:03:17.600 --> 00:03:19.600]  又或者有些人會彈琴的
[00:03:19.600 --> 00:03:22.000]  他明明一路上上上
[00:03:22.000 --> 00:03:23.200]  突然停一停
[00:03:23.200 --> 00:03:24.600]  下來的時候
[00:03:24.600 --> 00:03:26.600]  有些位置就是我們要注意的時候
[00:03:26.600 --> 00:03:27.800]  怎樣注意呢?
