
[00:00:00.000 --> 00:00:04.440]  今天我們繼續思想敬拜這個題目
[00:00:04.440 --> 00:00:06.000]  過去兩三個月裡
[00:00:06.000 --> 00:00:10.600]  都是和大家在聖經裡思想敬拜
[00:00:10.600 --> 00:00:15.040]  我們思想了很多關於敬拜
[00:00:15.040 --> 00:00:18.480]  比如崇拜裡面的內容
[00:00:18.480 --> 00:00:20.040]  崇拜的程序
[00:00:20.040 --> 00:00:23.840]  關於我們自己敬拜的意義在哪裡
[00:00:23.840 --> 00:00:27.480]  本來也在想會不會繼續講這個題目
[00:00:27.480 --> 00:00:31.880]  不過當我再看《阿摩斯書》第五章
[00:00:31.880 --> 00:00:36.120]  當神這樣去形容
[00:00:36.120 --> 00:00:39.040]  或者這樣去對這些以色列人
[00:00:39.040 --> 00:00:41.080]  講一番這樣的說話
[00:00:41.080 --> 00:00:44.680]  好像對他們的敬拜是厭惡
[00:00:44.680 --> 00:00:47.000]  對他們的敬拜是不接納
[00:00:47.000 --> 00:00:49.360]  都是一個很重要的提醒
[00:00:49.360 --> 00:00:50.880]  因為我們都擔心
[00:00:50.880 --> 00:00:56.560]  會不會有時神不會接納我們的敬拜呢?
[00:00:56.560 --> 00:00:58.240]  因為事實上在這段經文裡面
[00:00:58.240 --> 00:01:01.280]  給我們思想的一樣東西是更加重要的
[00:01:01.280 --> 00:01:05.840]  就是究竟來敬拜的人是些什麼樣的人呢?
[00:01:05.840 --> 00:01:08.680]  來到神的面前一同去敬拜主
[00:01:08.680 --> 00:01:10.920]  一同回到我們崇拜裡面
[00:01:10.920 --> 00:01:12.480]  是弟兄姊妹
[00:01:12.480 --> 00:01:14.960]  當然我們知道是我們所認識的
[00:01:14.960 --> 00:01:18.040]  但原來在神的角度裡面去看
[00:01:18.040 --> 00:01:21.640]  去看我們日常的生活是怎樣的人
[00:01:21.640 --> 00:01:25.240]  我們是否過一個公義公平的生活
[00:01:25.240 --> 00:01:28.840]  所以在《阿摩斯書》第五章二十四節
[00:01:28.840 --> 00:01:31.240]  這些經文可以說是《阿摩斯書》裡面
[00:01:31.240 --> 00:01:33.080]  一個很重要的經文
[00:01:33.080 --> 00:01:34.760]  或者我們再讀一次
[00:01:34.760 --> 00:01:37.360]  只是這節經文第二十四節
[00:01:37.360 --> 00:01:40.280]  「唯願公平如大水滾滾
[00:01:40.280 --> 00:01:43.480]  使公義如江河滔滔」
[00:01:43.480 --> 00:01:46.200]  跟敬拜有什麼關係呢?
[00:01:46.200 --> 00:01:47.800]  敬拜我們來到神的面前
[00:01:47.800 --> 00:01:51.640]  我們都是以前所提及的
[00:01:51.640 --> 00:01:54.360]  我們能夠去守時
[00:01:54.360 --> 00:01:56.160]  我們能夠去恭敬
[00:01:56.160 --> 00:01:57.880]  我們能夠去虔誠
[00:01:57.880 --> 00:01:59.920]  我們都是在各方面準備
[00:01:59.920 --> 00:02:02.560]  我們自己能夠獻上
[00:02:02.560 --> 00:02:03.920]  但是原來更加重要
[00:02:03.920 --> 00:02:07.960]  神是要看每一個來到祂面前的人
[00:02:07.960 --> 00:02:09.480]  祂的生活是如何
[00:02:09.480 --> 00:02:11.640]  不是單單是一個小時裡面
[00:02:11.640 --> 00:02:16.120]  或者我們自己在讀經、靈修的時候
[00:02:16.120 --> 00:02:18.160]  我們在神面前的安靜
[00:02:18.160 --> 00:02:20.840]  更加看我們的生活是如何
[00:02:20.840 --> 00:02:24.560]  這個生活更加是牽涉到我們跟世人的生活
