
[00:00:00.000 --> 00:00:01.480]  非一般的時代
[00:00:01.480 --> 00:00:04.080]  非一般的崇拜
[00:00:04.080 --> 00:00:07.680]  歡迎大家來到我們的週六崇拜
[00:00:07.680 --> 00:00:09.440]  由2018年1月開始
[00:00:09.440 --> 00:00:12.160]  我們一直在研讀《馬可福音》
[00:00:12.160 --> 00:00:16.120]  到現在已經有兩年多的時間
[00:00:16.120 --> 00:00:20.880]  我們講到的系列總題是《非凡的見證》
[00:00:20.880 --> 00:00:23.080]  不是因爲馬可是一個非凡的作者
[00:00:23.080 --> 00:00:28.080]  而是因爲主耶穌基督是一個非凡的救主
[00:00:28.080 --> 00:00:31.200]  《馬可福音》是一本怎樣的書呢
[00:00:31.200 --> 00:00:36.160]  德國聖經學者馬汀·凱勒曾經這樣介紹過《馬可福音》
[00:00:36.160 --> 00:00:41.880]  他說《馬可福音》基本上就是一個耶穌受難復活的故事前面
[00:00:41.880 --> 00:00:45.440]  加了一個延伸拉長了的引言
[00:00:45.440 --> 00:00:50.360]  A Passion Narrative with an Extended Introduction
[00:00:50.360 --> 00:00:53.120]  馬可用了十章的聖經
[00:00:53.120 --> 00:00:56.520]  講述了耶穌三年的事工
[00:00:56.520 --> 00:00:58.680]  接着去到第十一章
[00:00:58.680 --> 00:01:03.560]  第十一章我們先進入耶穌最後的一週
[00:01:03.560 --> 00:01:05.160]  而那一週很長
[00:01:05.160 --> 00:01:11.280]  由第十一章一直延伸到第十六章
[00:01:11.280 --> 00:01:14.720]  三年用十章的聖經
[00:01:14.720 --> 00:01:21.840]  最後一週七天用了六章的聖經
[00:01:21.840 --> 00:01:24.320]  在《馬可福音》第十一章和第十二章裏面
[00:01:24.320 --> 00:01:27.160]  記載了耶穌在聖殿裏面
[00:01:27.160 --> 00:01:31.080]  最後一週裏面的聖殿爭霸有七個回合
[00:01:31.080 --> 00:01:34.080]  之前如果你有來周圍崇拜或者在網上有聽過
[00:01:34.080 --> 00:01:39.480]  你知道我們已經講了第一第二第三第四第五個回合
[00:01:39.480 --> 00:01:42.480]  題目分別是愛子的權柄
[00:01:42.480 --> 00:01:44.800]  邪惡的緣故
[00:01:44.800 --> 00:01:56.600]  凱撒的銀貴 復活的上帝和最大的誡命
[00:01:56.600 --> 00:01:58.720]  今天我們要講的是第六個回合
[00:01:58.720 --> 00:02:01.600]  講到的經文只有三節
[00:02:01.600 --> 00:02:04.960]  《馬可福音》第十二章第35至37節
[00:02:04.960 --> 00:02:10.320]  講到的題目是大衛的後裔
[00:02:10.320 --> 00:02:12.200]  如果你前兩個星期有在這裏
[00:02:12.200 --> 00:02:14.280]  你應該記得
[00:02:14.280 --> 00:02:18.360]  其實聖殿的車輪戰去到第四個回合
[00:02:18.360 --> 00:02:21.160]  已經是塵埃落定
[00:02:21.160 --> 00:02:23.200]  去到第四個回合的時候
[00:02:23.200 --> 00:02:25.880]  已經有一羣人連續出場
[00:02:25.880 --> 00:02:29.280]  包括有祭司長、文士、長老
[00:02:29.280 --> 00:02:31.920]  法利塞人、希律黨人、撒度戈人
[00:02:31.920 --> 00:02:33.440]  他們先後出場
[00:02:33.440 --> 00:02:37.400]  統統被耶穌擊敗
[00:02:37.400 --> 00:02:41.880]  然而去到聖殿爭霸的第五個回合
[00:02:41.880 --> 00:02:45.360]  之所以還可以繼續是因爲其中有一個文士
[00:02:45.360 --> 00:02:46.840]  文士已經輸了
[00:02:46.840 --> 00:02:49.800]  有一個文士有一個律法師他不認輸
[00:02:49.800 --> 00:02:52.280]  於是他再來挑戰多耶穌一次
[00:02:52.280 --> 00:02:55.920]  於是給了我們第五個回合
[00:02:55.920 --> 00:03:02.240]  另一方面耶穌又繼續做祂的天國反擊戰
[00:03:02.240 --> 00:03:04.040]  到他們問完祂的問題
[00:03:04.040 --> 00:03:07.200]  現在到耶穌去問祂們一些難題
[00:03:07.200 --> 00:03:11.440]  成爲了我們的第六回合
[00:03:11.440 --> 00:03:14.080]  如果你有留心聽前面四個回合
[00:03:14.080 --> 00:03:16.840]  你會發現耶穌的回答
[00:03:16.840 --> 00:03:17.400]  如何說呢?
[00:03:17.400 --> 00:03:21.200]  祂可以說是玄妙非常
[00:03:21.200 --> 00:03:22.400]  內藏暗格
[00:03:22.400 --> 00:03:24.040]  天外有天
[00:03:24.040 --> 00:03:27.080]  動中有動
[00:03:27.080 --> 00:03:31.320]  祂不是單單回答去擊退少少的敵人
[00:03:31.320 --> 00:03:32.600]  祂的回答很有力
[00:03:32.600 --> 00:03:35.000]  祂擊退了祂所有的強敵異議
[00:03:35.000 --> 00:03:37.880]  在祂的回答當中祂更加要做一件事
[00:03:37.880 --> 00:03:41.720]  那就是展示Unboxing
[00:03:41.720 --> 00:03:43.400]  有沒有看YouTube的Unboxing
[00:03:43.400 --> 00:03:47.320]  祂要將天國展示出來
[00:03:47.320 --> 00:03:49.400]  將上帝救恩的計劃
[00:03:49.400 --> 00:03:55.440]  一步一步一層一層地展示在我們的面前
[00:03:55.440 --> 00:03:58.760]  我不知道你們是否記得在第一個回合當中
[00:03:58.760 --> 00:04:01.160]  第一個回合那些人問祂
[00:04:01.160 --> 00:04:05.120]  祂說你匠匠什麼的權柄來做這些事
[00:04:05.120 --> 00:04:08.480]  來搞我們這個聖殿
[00:04:08.480 --> 00:04:09.200]  耶穌很有趣
[00:04:09.200 --> 00:04:12.080]  祂沒有行一個神蹟
[00:04:12.080 --> 00:04:14.560]  我匠匠什麼權柄去看
[00:04:14.560 --> 00:04:17.560]  沒有一拳打碎他們
