
[00:00:00.000 --> 00:00:03.780]  你講到這裏,你開始看到舊約和新約的分別了,是嗎?
[00:00:03.780 --> 00:00:06.700]  我們最近在周六的時候,
[00:00:06.700 --> 00:00:08.380]  我都經常和大家在這裏講,
[00:00:08.380 --> 00:00:09.980]  怎樣去明白舊約呢?
[00:00:09.980 --> 00:00:12.920]  「基督自保,盡藏於舊約。」
[00:00:12.920 --> 00:00:15.300]  其實在舊約裏面,已經是基督的影子,
[00:00:15.300 --> 00:00:17.300]  當你去看舊約和新約的關係,
[00:00:17.300 --> 00:00:21.380]  是一個影子去真體的關係,
[00:00:21.380 --> 00:00:23.900]  是一個應許去成就的關係,
[00:00:23.900 --> 00:00:26.220]  當你由舊約去到新約的時候,
[00:00:26.220 --> 00:00:28.860]  有一個我們叫做continuity,有一個連貫性,
[00:00:28.860 --> 00:00:32.420]  但是也有一個discontinuity,有一個中斷了的,
[00:00:32.420 --> 00:00:35.060]  我給你一個很簡單的例子,你就明白了,
[00:00:35.060 --> 00:00:38.740]  在舊約聖經裏面,有一個羊,有一隻羊,
[00:00:38.740 --> 00:00:41.340]  叫做逾越節的羔羊,
[00:00:41.340 --> 00:00:44.920]  在新約聖經裏面,耶穌成就了,
[00:00:44.920 --> 00:00:48.740]  不是一隻羊,是上帝的獨生兒子,
[00:00:48.740 --> 00:00:50.740]  神的羔羊為我們死,是嗎?
[00:00:50.740 --> 00:00:53.820]  舊約和新約的關係,有一點點像一棵樹,
[00:00:53.820 --> 00:01:03.380]  一棵樹有根,有枝幹,根是舊約,枝幹是新約,
[00:01:03.380 --> 00:01:05.380]  我們今天活在新約裏面,
[00:01:05.380 --> 00:01:08.260]  所以你不要就這樣讀舊約,然後應用在你身上,
[00:01:08.260 --> 00:01:12.420]  你不是住在泥土以下,你住在泥土以上,你明白嗎?
[00:01:12.420 --> 00:01:18.140]  你一定要讀舊約的時候,由泥土的底下讀,讀,讀,讀,讀,上去,
[00:01:18.140 --> 00:01:23.420]  這樣才應用,如果不是,你很容易是錯誤了的時候,
[00:01:23.420 --> 00:01:27.500]  所以今天是一樣的,今天我們讀的詩篇,
[00:01:27.500 --> 00:01:30.940]  我想請問大家,詩篇是舊約還是新約的?
[00:01:30.940 --> 00:01:36.620]  你明白嗎?你現在明白為什麼讀詩篇是這麼危險的一件事嗎?
[00:01:36.620 --> 00:01:40.140]  有很多人喜歡讀詩篇的,是嗎?為什麼?
[00:01:40.140 --> 00:01:43.180]  因為很接近我們,讀詩人那些,
[00:01:43.180 --> 00:01:46.380]  喜怒哀愁和我們一向很接近的,
[00:01:46.380 --> 00:01:52.460]  接近個屁,因為它是舊約的,它不接近的,完全不接近的,
[00:01:52.460 --> 00:01:57.900]  所以你讀舊約的時候,要很小心。
[00:01:57.900 --> 00:02:04.140]  我不知道你有沒有想過,當我們現代的基督徒想起詩篇的時候,
[00:02:04.140 --> 00:02:11.660]  想起詩篇的時候,你有什麼情感和詩篇會連上關係呢?
[00:02:11.660 --> 00:02:18.540]  如果你要開一間公司,或者一間店舖,名字要叫做「詩篇」,
[00:02:18.540 --> 00:02:21.500]  那你會賣什麼呢?我想請問你。
[00:02:21.500 --> 00:02:25.660]  你看到這個Logo,其實真的是一間公司的Logo。
[00:02:25.660 --> 00:02:29.580]  你有沒有看到中間寫著「since 1996」?
[00:02:29.580 --> 00:02:34.300]  即是那間公司是香港公司,不騙你的。
[00:02:34.300 --> 00:02:36.860]  它是1996年開到現在,OK?
[00:02:36.860 --> 00:02:39.580]  它的名字叫「詩篇」,你猜它賣什麼?
[00:02:39.580 --> 00:02:44.540]  「詩篇」這個名字和什麼東西是相襯呢?你說。
[00:02:44.540 --> 00:02:47.580]  書,還有呢?
[00:02:47.580 --> 00:02:51.580]  音樂,我給你看看。
[00:02:51.580 --> 00:02:58.060]  這間公司是做美容的,詩篇美容。
[00:02:58.060 --> 00:03:02.460]  後面就算了,後面就是基督教禮品,隨它吧。
[00:03:02.460 --> 00:03:07.100]  詩篇和美容這樣都可以相襯的,可以嗎?
[00:03:07.100 --> 00:03:13.660]  這個就是完全讀錯聖經的問題,因為你憑你的感覺去讀詩篇。
[00:03:13.660 --> 00:03:17.100]  詩篇和美容有什麼關係呢?完全是不相襯的。
[00:03:17.100 --> 00:03:21.260]  一會兒你慢慢去想下去,如果你聽得懂我說的話,
