
[00:00:00.000 --> 00:00:01.860]  我們一起禱告好嗎?
[00:00:01.860 --> 00:00:03.140]  真是上帝我們感謝禰
[00:00:03.140 --> 00:00:04.940]  讓我們再一次能夠聽到
[00:00:04.940 --> 00:00:08.840]  上帝禰自己在日本的工作
[00:00:08.840 --> 00:00:11.120]  感謝禰差遣我們教會
[00:00:11.120 --> 00:00:14.720]  能夠有姐妹們去到當中
[00:00:14.720 --> 00:00:17.240]  我們真的要將剛纔每一個生命
[00:00:17.240 --> 00:00:20.240]  交到禰的手裏面
[00:00:20.240 --> 00:00:21.960]  我們離開了那個地方
[00:00:21.960 --> 00:00:25.180]  但上帝我深信禰仍然在那裏工作
[00:00:25.180 --> 00:00:28.960]  我們特別爲當地的宣教士小慧去交賞
[00:00:28.960 --> 00:00:33.960]  求主禰的光照進每一個人的心裏
[00:00:33.960 --> 00:00:35.880]  讓他們每一個人的家庭
[00:00:35.880 --> 00:00:39.100]  都能夠感受到上帝禰的平安
[00:00:39.100 --> 00:00:41.040]  他們很需要醫治
[00:00:41.040 --> 00:00:45.200]  因爲他們很多寡婦、很多孤兒
[00:00:45.200 --> 00:00:48.420]  他們都孤單、他們都哀傷
[00:00:48.420 --> 00:00:49.980]  願主禰再一次
[00:00:49.980 --> 00:00:53.580]  重新讓他們有生命的力量盼望
[00:00:53.580 --> 00:00:57.960]  更加知道日本的教會有很多很多的需要
[00:00:57.960 --> 00:01:01.080]  但願我們主禰能夠去興起他們
[00:01:01.080 --> 00:01:02.880]  好像興起我們一樣
[00:01:02.880 --> 00:01:05.800]  讓他們的信徒無論是多還是少
[00:01:05.800 --> 00:01:07.600]  但在禰的愛裏
[00:01:07.600 --> 00:01:10.760]  他們就知道上帝是在他們當中
[00:01:10.760 --> 00:01:12.200]  我們再一次求主禰
[00:01:12.200 --> 00:01:14.320]  建立當地的宣教士
[00:01:14.320 --> 00:01:15.760]  讓我們的短宣隊
[00:01:15.760 --> 00:01:16.880]  讓我們的教會
[00:01:16.880 --> 00:01:19.280]  能夠再有機會去服侍他們
[00:01:19.280 --> 00:01:20.040]  我們感謝禰
[00:01:20.040 --> 00:01:21.120]  禱告奉主明求
[00:01:21.120 --> 00:01:22.280]  阿們
[00:01:22.280 --> 00:01:23.880]  OK 再一次謝謝你們
[00:01:28.960 --> 00:01:32.240]  其實我經常都在想
[00:01:32.240 --> 00:01:35.960]  其實日本人
[00:01:35.960 --> 00:01:37.800]  我不知道你們有沒有日本人朋友
[00:01:37.800 --> 00:01:41.080]  他們其實很多年前
[00:01:41.080 --> 00:01:43.040]  會不會都是中國人來的呢
[00:01:43.040 --> 00:01:49.640]  會不會其實大家都是同一個祖先呢
[00:01:49.640 --> 00:01:52.160]  爲什麼我會這樣想呢
[00:01:52.160 --> 00:01:55.240]  因爲過去我相信
[00:01:55.240 --> 00:02:02.160]  最近去日本週圍去看
[00:02:02.160 --> 00:02:04.640]  很多神社 很多寺廟
[00:02:04.640 --> 00:02:10.240]  其實很多時候都好像我們中國人的信仰傳統
[00:02:10.240 --> 00:02:12.440]  但因爲過去歷史的緣故
[00:02:12.440 --> 00:02:18.040]  我以前經常覺得日本人是很驕傲的
[00:02:18.040 --> 00:02:22.120]  當然現在最驕傲的國家
[00:02:22.120 --> 00:02:26.040]  大家都知道是誰
[00:02:26.040 --> 00:02:27.360]  但每一個國家
[00:02:27.360 --> 00:02:28.680]  我又看歷史
[00:02:28.680 --> 00:02:30.640]  如果他是驕傲的
[00:02:30.640 --> 00:02:34.520]  其實他最終是得不到上帝的祝福
[00:02:34.520 --> 00:02:36.320]  教會一樣
[00:02:36.320 --> 00:02:38.360]  哪個教會驕傲
[00:02:38.360 --> 00:02:39.960]  哪個人是驕傲
[00:02:39.960 --> 00:02:42.000]  最終聖經告訴你
[00:02:42.000 --> 00:02:44.320]  他得不到上帝的祝福
[00:02:44.320 --> 00:02:46.160]  今天其實我也想和大家分享
[00:02:46.160 --> 00:02:50.480]  聖經裏面有一個驕傲的民族
[00:02:50.480 --> 00:02:53.160]  這個民族叫以東
[00:02:53.160 --> 00:02:55.360]  可能我們對猶太人和以色列都聽過
[00:02:55.360 --> 00:02:58.160]  但我們對以東就比較陌生
[00:02:58.160 --> 00:03:00.000]  但聖經告訴我們
[00:03:00.000 --> 00:03:03.480]  這個以東的民族是一個非常驕傲的民族
