
[00:00:00.000 --> 00:00:02.400]  我不知道想起青少年你會想起什麼
[00:00:02.400 --> 00:00:06.220]  可能我們當中有弟兄姐妹說我都不年輕了
[00:00:06.220 --> 00:00:08.640]  青少年離我都有一點距離了
[00:00:08.640 --> 00:00:10.180]  我不再年輕了
[00:00:10.180 --> 00:00:13.460]  又或者很多青少年覺得青少年就是活力
[00:00:13.460 --> 00:00:16.260]  就是每年暑假就是汗水
[00:00:16.260 --> 00:00:18.060]  就是精彩
[00:00:18.060 --> 00:00:20.240]  就是很有朝氣
[00:00:20.240 --> 00:00:23.540]  不知道你覺得今時今日的青少年是怎樣的
[00:00:23.540 --> 00:00:25.060]  又或者這麼問
[00:00:25.060 --> 00:00:27.840]  當你想起現在這一代或者你身邊的青少年人
[00:00:27.840 --> 00:00:28.880]  你會想起什麼
[00:00:29.460 --> 00:00:32.400]  在上個月的時候我跟一些家長聊天
[00:00:32.400 --> 00:00:34.600]  因爲有機會跟家長分享
[00:00:34.600 --> 00:00:36.220]  當我跟家長聊天的時候
[00:00:36.220 --> 00:00:38.460]  家長就反過來問我
[00:00:38.460 --> 00:00:41.100]  穆斯穆斯現在的年輕人是怎樣的
[00:00:41.100 --> 00:00:41.960]  很有趣的
[00:00:41.960 --> 00:00:44.220]  明明他的小朋友應該是現在的年輕人
[00:00:44.220 --> 00:00:46.540]  他走過來問我現在的年輕人是怎樣的
[00:00:46.540 --> 00:00:48.900]  我說爲什麼你這麼問呢
[00:00:48.900 --> 00:00:50.180]  答案就是
[00:00:50.180 --> 00:00:54.680]  我覺得我家裏的小朋友和外面的不一樣
[00:00:54.680 --> 00:00:56.380]  他就問怎樣不一樣
[00:00:56.380 --> 00:00:59.500]  就解釋我兒子怎樣怎樣在家裏又不出門
[00:00:59.500 --> 00:01:01.520]  他躲在家裏打遊戲又不跟別人打招呼
[00:01:01.520 --> 00:01:02.820]  又怎樣怎樣很多很多描述
[00:01:02.820 --> 00:01:03.580]  接着我說
[00:01:03.580 --> 00:01:05.600]  這就和我認識的人大部分一樣
[00:01:05.600 --> 00:01:06.500]  他說啊?
[00:01:06.500 --> 00:01:07.820]  是這樣的嗎?
[00:01:07.820 --> 00:01:09.700]  接着幾個家長都很驚訝
[00:01:09.700 --> 00:01:10.300]  啊?
[00:01:10.300 --> 00:01:11.900]  現在的小朋友是這樣的嗎?
[00:01:11.900 --> 00:01:12.820]  很有趣
[00:01:12.820 --> 00:01:13.700]  明明他是家長
[00:01:13.700 --> 00:01:15.380]  他應該每天都對着他的子女
[00:01:15.380 --> 00:01:16.540]  那羣就是青年人
[00:01:16.540 --> 00:01:18.460]  但是他會覺得青年人不應該是這樣的
[00:01:18.460 --> 00:01:19.460]  青年人應該很有活力
[00:01:19.460 --> 00:01:20.340]  應該到處走
[00:01:20.340 --> 00:01:22.540]  但是當我們一直討論下去的時候
[00:01:22.540 --> 00:01:23.220]  我們看到
[00:01:23.220 --> 00:01:25.020]  我播放一些視頻給他們看
[00:01:25.020 --> 00:01:27.020]  那些視頻就是青少年到處走
[00:01:27.020 --> 00:01:28.340]  就是夜晚去摩世
