
[00:00:00.000 --> 00:00:04.800]  「撥世空少」是我今天要講的題目
[00:00:04.800 --> 00:00:09.600]  這四個字相信引起很多人的注意
[00:00:09.600 --> 00:00:13.000]  宗大師班他們開始的時候
[00:00:13.000 --> 00:00:15.000]  已經打開序幕
[00:00:15.000 --> 00:00:18.000]  四處玄聲轟天
[00:00:18.000 --> 00:00:21.000]  問蒼天有否看見
[00:00:21.000 --> 00:00:23.800]  到處惡魔盡現
[00:00:23.800 --> 00:00:29.000]  又叫我們怎樣馴服不怨天
[00:00:29.000 --> 00:00:33.000]  我不知道大家一聽這首歌的時候
[00:00:33.000 --> 00:00:35.000]  你怕不怕
[00:00:35.000 --> 00:00:39.000]  「撥世空少」令人震驚
[00:00:39.000 --> 00:00:43.000]  所以如何自處呢
[00:00:43.000 --> 00:00:47.000]  這個也是我們很多人關注的問題
[00:00:47.000 --> 00:00:51.000]  宗大師班他們跟著唱的歌手是
[00:00:51.000 --> 00:00:55.000]  「照亮我如何自處」
[00:00:55.000 --> 00:00:59.000]  有上主的光照亮著我們
[00:00:59.000 --> 00:01:01.000]  所以不需要懼怕
[00:01:01.000 --> 00:01:03.000]  我們一起祈禱
[00:01:03.000 --> 00:01:06.000]  上主我們的救贖主
[00:01:06.000 --> 00:01:08.000]  與我口中的言語
[00:01:08.000 --> 00:01:11.000]  弟兄姊妹的心懷念
[00:01:11.000 --> 00:01:13.000]  都無上主的月亮
[00:01:13.000 --> 00:01:15.000]  阿們
[00:01:15.000 --> 00:01:18.000]  過去一個星期
[00:01:18.000 --> 00:01:21.000]  最受大家注意的國際事件
[00:01:21.000 --> 00:01:25.000]  就是特朗普爆冷的勝出
[00:01:25.000 --> 00:01:30.000]  很多人都在質疑美國人選舉的智慧
[00:01:30.000 --> 00:01:34.000]  甚至質疑很多專家事前預測
[00:01:34.000 --> 00:01:36.000]  為何會這麼失準
[00:01:36.000 --> 00:01:38.000]  明明不是他
[00:01:38.000 --> 00:01:40.000]  是另外一位
[00:01:40.000 --> 00:01:43.000]  因為敢言到狂言的人
[00:01:43.000 --> 00:01:46.000]  有可能引起種族矛盾
[00:01:46.000 --> 00:01:50.000]  甚至性別間歧視的人
[00:01:50.000 --> 00:01:53.000]  又欠缺從政經驗的人
[00:01:53.000 --> 00:01:55.000]  去做總統
[00:01:55.000 --> 00:01:57.000]  Why?
[00:01:57.000 --> 00:01:59.000]  一位有多段婚姻
[00:01:59.000 --> 00:02:02.000]  私生活混亂的花花公子
[00:02:02.000 --> 00:02:06.000]  但美國的基督教會竟然有不少
[00:02:06.000 --> 00:02:09.000]  表示支持這一位的總統
[00:02:09.000 --> 00:02:12.000]  因為他說過一句話
[00:02:12.000 --> 00:02:16.000]  他會支持一夫一妻制的
[00:02:16.000 --> 00:02:19.000]  你信不信呢?
[00:02:19.000 --> 00:02:24.000]  為何近年戰鬥格的領導人這麼多
[00:02:24.000 --> 00:02:26.000]  菲律賓有一位
[00:02:26.000 --> 00:02:28.000]  香港一直都有一位
[00:02:28.000 --> 00:02:31.000]  美國又會有一位呢?
[00:02:31.000 --> 00:02:35.000]  我們都很擔心未來的世界
[00:02:35.000 --> 00:02:39.000]  香港立法會宣誓風波越演越亂
[00:02:39.000 --> 00:02:42.000]  立法會根本就癱瘓
[00:02:42.000 --> 00:02:45.000]  國政黨開會就是開炮對立
[00:02:45.000 --> 00:02:47.000]  人大要釋法
[00:02:47.000 --> 00:02:50.000]  原本兩位議員的資格被質疑
[00:02:50.000 --> 00:02:56.000]  現在演變成八位宣誓議員的資格出現問題
[00:02:56.000 --> 00:03:01.000]  國際上的恐怖主義在911之後興起
[00:03:01.000 --> 00:03:05.000]  美國是反恐的戰爭
[00:03:05.000 --> 00:03:08.000]  反恐的戰爭有幾年了
[00:03:08.000 --> 00:03:10.000]  不單止沒有改善
[00:03:10.000 --> 00:03:13.000]  恐怖主義沒有被壓制
[00:03:13.000 --> 00:03:16.000]  反而導致伊斯蘭國的興起
[00:03:16.000 --> 00:03:19.000]  一位原先是信奉阿拉
[00:03:19.000 --> 00:03:21.000]  講求和平的宗教
[00:03:21.000 --> 00:03:25.000]  何以演變成殺害大量無辜
[00:03:25.000 --> 00:03:31.000]  傷害其他甚至他們自己回教的部族的人
[00:03:31.000 --> 00:03:37.000]  在國際上不斷製造恐怖的行動
[00:03:37.000 --> 00:03:41.000]  他認為這樣就是替天行動
[00:03:41.000 --> 00:03:46.000]  末世空前令人恐懼
[00:03:46.000 --> 00:03:52.000]  過往世界各地不少不同政見的人都會人間蒸發
[00:03:52.000 --> 00:03:55.000]  近年也有馬來西亞的客機
[00:03:55.000 --> 00:03:58.000]  整架都會人間蒸發
[00:03:58.000 --> 00:04:00.000]  不知所蹤
[00:04:00.000 --> 00:04:02.000]  怕不怕
[00:04:02.000 --> 00:04:06.000]  講下去還有很多很多
[00:04:06.000 --> 00:04:10.000]  不少宗教的典籍流傳千古的傳聞
[00:04:10.000 --> 00:04:16.000]  末日之說在2012年已經定為世界的末日
[00:04:16.000 --> 00:04:21.000]  加上特大的天災產生
[00:04:21.000 --> 00:04:25.000]  2008年的汶川大地震
[00:04:25.000 --> 00:04:29.000]  311的九級大地震在日本
[00:04:29.000 --> 00:04:37.000]  香港電台製作了一套叫大空笑的節目
[00:04:37.000 --> 00:04:43.000]  是很受歡迎探討末日密碼世界大地震
[00:04:43.000 --> 00:04:46.000]  動物離奇死亡事故
[00:04:46.000 --> 00:04:50.000]  第三次世界大戰會怎樣產生
[00:04:50.000 --> 00:04:53.000]  外星人UFO入侵
[00:04:53.000 --> 00:04:56.000]  大瘟疫超級火山大地震
[00:04:56.000 --> 00:04:59.000]  聽到個個都心寒
[00:04:59.000 --> 00:05:01.000]  末世空笑
[00:05:01.000 --> 00:05:06.000]  在第21章耶穌提出的就是一個末世的空笑
[00:05:06.000 --> 00:05:09.000]  讓信徒是有所提防
[00:05:09.000 --> 00:05:13.000]  首先祂講出了是有危險的人物
[00:05:13.000 --> 00:05:17.000]  然後有危險的事情是會產生
[00:05:17.000 --> 00:05:20.000]  耶穌在講這些的時候
