
[00:00:00.000 --> 00:00:02.000]  大興展會平安
[00:00:02.000 --> 00:00:06.000]  很感謝張牧師給予我這個機會
[00:00:06.000 --> 00:00:10.000]  在這裡跟大家分享上帝的話語
[00:00:10.000 --> 00:00:14.000]  記得兩年多前,還在疫情之前
[00:00:14.000 --> 00:00:17.000]  有機會在大家的退休會當中
[00:00:17.000 --> 00:00:20.000]  和你們當中部分的大興展會
[00:00:20.000 --> 00:00:22.000]  我相信不會全部都在那裡
[00:00:22.000 --> 00:00:25.000]  部分的大興展會有機會
[00:00:25.000 --> 00:00:30.000]  一段時間至今還是很難以忘懷
[00:00:30.000 --> 00:00:32.000]  很好的一段時間
[00:00:32.000 --> 00:00:35.000]  感謝主,今天有機會在主日當中
[00:00:35.000 --> 00:00:39.000]  和大家一起來分享上帝的話語
[00:00:39.000 --> 00:00:43.000]  一切重贊恩典歸於上帝
[00:00:43.000 --> 00:00:46.000]  我們一起做一個祈禱
[00:00:46.000 --> 00:00:49.000]  天父上帝,我們感謝祢的恩典
[00:00:49.000 --> 00:00:54.000]  祢是唯一值得我們將生命獻上當作活祭
[00:00:54.000 --> 00:00:58.000]  是唯一值得將一切重贊歸於祢的神
[00:00:58.000 --> 00:01:02.000]  在這個時刻懇求祢臨駕到我們當中
[00:01:02.000 --> 00:01:06.000]  懇求聖靈在我們當中來說話
[00:01:06.000 --> 00:01:09.000]  讓我們聽祢的話語
[00:01:09.000 --> 00:01:11.000]  更加你卑微的僕人
[00:01:11.000 --> 00:01:15.000]  將這個港台分別為城
[00:01:15.000 --> 00:01:18.000]  求祢親自在當中
[00:01:18.000 --> 00:01:20.000]  特別是讓你的僕人
[00:01:20.000 --> 00:01:23.000]  能夠按照正義來分解真理的道
[00:01:23.000 --> 00:01:27.000]  將這一切獻上感恩,獻上禱告
[00:01:27.000 --> 00:01:30.000]  供耶穌基督的聖名,阿們
[00:01:30.000 --> 00:01:36.000]  大家看到這個題目
[00:01:36.000 --> 00:01:39.000]  聽,聽,聽,聽神的話語
[00:01:39.000 --> 00:01:41.000]  當你看到「聽」的時候
[00:01:41.000 --> 00:01:43.000]  你想到什麼呢?
[00:01:43.000 --> 00:01:45.000]  可能是聲音
[00:01:45.000 --> 00:01:47.000]  「聽」當然是耳朵
[00:01:47.000 --> 00:01:49.000]  你還有沒有聯想到
[00:01:49.000 --> 00:01:54.000]  別的東西跟「聽」有關?
[00:01:54.000 --> 00:01:59.000]  不要緊,我很少在這裡考人
[00:01:59.000 --> 00:02:05.000]  有時候港姐們很喜歡這樣問回答
[00:02:05.000 --> 00:02:07.000]  有時候問到的問題
[00:02:07.000 --> 00:02:09.000]  真的不容易回答
[00:02:09.000 --> 00:02:11.000]  坐在前面的人最麻煩
[00:02:11.000 --> 00:02:13.000]  被牧師看著你
[00:02:13.000 --> 00:02:15.000]  喂,是不是?
[00:02:15.000 --> 00:02:17.000]  我不會這樣做的
[00:02:17.000 --> 00:02:21.000]  你看看中文字這個「聽」字
[00:02:21.000 --> 00:02:23.000]  你在這裡看到什麼?
[00:02:23.000 --> 00:02:28.000]  看到有耳朵,還有呢?
[00:02:28.000 --> 00:02:31.000]  有人看到心,有人看到眼
[00:02:31.000 --> 00:02:33.000]  那個不是四字
[00:02:33.000 --> 00:02:36.000]  那個是目的眼,目的目,打橫
[00:02:36.000 --> 00:02:38.000]  是啊,是啊
[00:02:38.000 --> 00:02:41.000]  其實中文字真的很有意思
[00:02:41.000 --> 00:02:45.000]  其實「聽」不一定要用「耳」
[00:02:45.000 --> 00:02:47.000]  不一定要單單用「耳」
[00:02:47.000 --> 00:02:52.000]  「看」不是單單用「眼」
[00:02:52.000 --> 00:02:55.000]  有科學家他就這樣說
[00:02:55.000 --> 00:02:58.000]  他說如果我們可以
[00:02:58.000 --> 00:03:01.000]  把我們的視覺神經
[00:03:01.000 --> 00:03:04.000]  接到我們的耳朵那裡
[00:03:04.000 --> 00:03:07.000]  又把我們的聽覺神經
[00:03:07.000 --> 00:03:09.000]  接到我們的眼睛那裡
[00:03:09.000 --> 00:03:13.000]  這樣你就可以看見聲音
[00:03:13.000 --> 00:03:18.000]  聽到美麗的風景
[00:03:18.000 --> 00:03:21.000]  有這樣的事,是不是?
[00:03:21.000 --> 00:03:23.000]  沒錯,這個說法
[00:03:23.000 --> 00:03:25.000]  是有一點點科學幻想性
[00:03:25.000 --> 00:03:28.000]  但是不是沒有道理的
[00:03:28.000 --> 00:03:31.000]  事實上在大自然界裡面
[00:03:31.000 --> 00:03:34.000]  真的有這樣的事存在
[00:03:34.000 --> 00:03:37.000]  你們有沒有想過蝙蝠?
[00:03:37.000 --> 00:03:40.000]  蝙蝠是住在一些
[00:03:40.000 --> 00:03:44.000]  暗無天日,伸手不見五指的山洞裡面
[00:03:44.000 --> 00:03:47.000]  那些山洞真的什麼都看不到
[00:03:47.000 --> 00:03:49.000]  如果你的人進去
[00:03:49.000 --> 00:03:53.000]  不要說撐著霧燈
[00:03:53.000 --> 00:03:56.000]  即使你有手電筒,有火花進去
[00:03:56.000 --> 00:03:59.000]  你一不小心碰到那個
[00:03:59.000 --> 00:04:01.000]  鍾宇錫,大家知道
[00:04:01.000 --> 00:04:04.000]  或者一不小心一腳踩下去
[00:04:04.000 --> 00:04:06.000]  那個雪是一個水盆
[00:04:06.000 --> 00:04:08.000]  甚至可能是一些很深的潭
[00:04:08.000 --> 00:04:11.000]  在山洞裡面真的不簡單
[00:04:11.000 --> 00:04:15.000]  但是蝙蝠
