
[00:00:00.000 --> 00:00:02.000]  各位主持人弟兄姊妹平安
[00:00:02.000 --> 00:00:03.400]  各位朋友早晨
[00:00:03.400 --> 00:00:06.640]  我們今天會繼續去看
[00:00:06.640 --> 00:00:07.380]  三毛異忌
[00:00:07.380 --> 00:00:08.740]  剛才大家所讀的經文
[00:00:08.740 --> 00:00:10.680]  這個故事大家都很熟悉
[00:00:10.680 --> 00:00:12.380]  都是關於哥利亞
[00:00:12.380 --> 00:00:16.760]  和大衛的爭執
[00:00:16.760 --> 00:00:19.240]  我們其實日常當中
[00:00:19.240 --> 00:00:21.240]  有些事情是會令到大家很害怕的
[00:00:21.240 --> 00:00:22.200]  不知道大家
[00:00:22.200 --> 00:00:24.200]  每個人都有一點
[00:00:24.200 --> 00:00:25.280]  我自己也有
[00:00:25.280 --> 00:00:26.520]  我就算去醫院
[00:00:26.520 --> 00:00:27.720]  我兒子抽血
[00:00:27.720 --> 00:00:31.080]  一抽就多看兩眼我也暈
[00:00:31.080 --> 00:00:33.320]  我自己就很怕血
[00:00:33.320 --> 00:00:34.160]  那麼
[00:00:34.160 --> 00:00:37.240]  上網就有些做過統計
[00:00:37.240 --> 00:00:40.560]  就說究竟我們人裡面當中
[00:00:40.560 --> 00:00:43.960]  最十大最恐懼的事情是什麼呢?
[00:00:43.960 --> 00:00:45.320]  我看看表那裡
[00:00:45.320 --> 00:00:46.400]  大家有沒有
[00:00:46.400 --> 00:00:48.080]  最恐懼有十樣東西
[00:00:48.080 --> 00:00:49.280]  這個小朋友很害怕
[00:00:49.280 --> 00:00:50.040]  就說
[00:00:50.040 --> 00:00:51.040]  第一樣東西說
[00:00:51.040 --> 00:00:52.320]  社交恐懼
[00:00:52.320 --> 00:00:54.440]  不想見那麼多人
[00:00:54.440 --> 00:00:56.600]  見到人多我就不想躲起來
[00:00:56.600 --> 00:00:57.720]  有這些人的
[00:00:57.720 --> 00:00:59.240]  自己有些困難
[00:00:59.240 --> 00:01:01.440]  找人幫忙也很難
[00:01:01.440 --> 00:01:02.560]  因為有困難
[00:01:02.560 --> 00:01:03.520]  社交恐懼
[00:01:03.520 --> 00:01:05.560]  找人幫忙就很難
[00:01:05.560 --> 00:01:07.600]  有些怕畏高
[00:01:07.600 --> 00:01:10.360]  有些怕蛇、蟲
[00:01:10.360 --> 00:01:11.120]  那些很害怕
[00:01:11.120 --> 00:01:12.880]  另外一些就怕什麼?
[00:01:12.880 --> 00:01:14.520]  有個空間恐懼
[00:01:14.520 --> 00:01:15.920]  擠一點
[00:01:15.920 --> 00:01:16.880]  一起搭電梯
[00:01:16.880 --> 00:01:18.160]  我以前有些同學是這樣
[00:01:18.160 --> 00:01:19.240]  搭電梯也害怕
[00:01:19.240 --> 00:01:21.440]  因為好像有壓迫感
[00:01:21.440 --> 00:01:23.440]  或者怕搭飛機
[00:01:23.440 --> 00:01:25.280]  只是搭M-TRACK去旅行
[00:01:25.280 --> 00:01:26.480]  有些這樣的
[00:01:26.480 --> 00:01:27.720]  又怕黑
[00:01:27.720 --> 00:01:28.480]  又怕
[00:01:28.480 --> 00:01:29.160]  很怕
[00:01:29.160 --> 00:01:30.400]  我不想出街
[00:01:30.400 --> 00:01:31.600]  很想怕病
[00:01:31.600 --> 00:01:32.960]  害怕到一個地步
[00:01:32.960 --> 00:01:33.640]  又不出街
[00:01:33.640 --> 00:01:34.440]  又怕黑
[00:01:34.440 --> 00:01:35.360]  或者
[00:01:35.360 --> 00:01:36.320]  或者是怕血
[00:01:36.320 --> 00:01:37.160]  我自己
[00:01:37.160 --> 00:01:39.040]  或者怕打風下雨
[00:01:39.040 --> 00:01:39.640]  有些人
[00:01:39.640 --> 00:01:40.760]  我想問一下大家
[00:01:40.760 --> 00:01:41.400]  這個清單
[00:01:41.400 --> 00:01:43.320]  有沒有你心目中的東西
[00:01:43.320 --> 00:01:44.480]  有沒有自己害怕的東西
[00:01:44.480 --> 00:01:45.000]  有沒有?
[00:01:45.000 --> 00:01:45.680]  有舉手的
[00:01:45.680 --> 00:01:46.040]  是不是?
[00:01:46.040 --> 00:01:46.920]  如果沒有的
[00:01:46.920 --> 00:01:47.520]  沒有舉手的
[00:01:47.520 --> 00:01:48.120]  我想問一下
[00:01:48.120 --> 00:01:48.880]  還有什麼?
[00:01:48.880 --> 00:01:49.720]  還有些什麼?
[00:01:49.720 --> 00:01:50.800]  你究竟
[00:01:50.800 --> 00:01:51.880]  真的什麼都不害怕
[00:01:51.880 --> 00:01:52.640]  這麼厲害
[00:01:52.640 --> 00:01:54.280]  其實有
[00:01:54.280 --> 00:01:55.600]  其實害怕
[00:01:55.600 --> 00:01:56.360]  恐懼
[00:01:56.360 --> 00:01:58.400]  其實也有一個好處在當中
[00:01:58.400 --> 00:01:59.320]  怎麼樣呢?
[00:01:59.320 --> 00:02:00.320]  譬如說你看到
[00:02:00.320 --> 00:02:01.760]  這個地方危險
[00:02:01.760 --> 00:02:02.760]  我就不去
[00:02:02.760 --> 00:02:03.480]  我怕
[00:02:03.480 --> 00:02:04.840]  其實是不是一種保護?
[00:02:04.840 --> 00:02:05.400]  是不是?
[00:02:05.400 --> 00:02:06.240]  有一種保護
[00:02:06.240 --> 00:02:06.880]  有火
[00:02:06.880 --> 00:02:07.440]  我怕
[00:02:07.440 --> 00:02:08.320]  怕熱
[00:02:08.320 --> 00:02:09.160]  就是
[00:02:09.160 --> 00:02:10.800]  這個打風很害怕
[00:02:10.800 --> 00:02:12.000]  我就離開
[00:02:12.000 --> 00:02:14.360]  也有一種益處在當中
[00:02:14.360 --> 00:02:15.320]  其實當中
[00:02:15.320 --> 00:02:15.640]  是不是?
[00:02:15.640 --> 00:02:17.400]  我們要看到一些危險的情況
[00:02:17.400 --> 00:02:18.640]  我們會離開
[00:02:18.640 --> 00:02:19.600]  但是
[00:02:19.600 --> 00:02:20.520]  同一時間
[00:02:20.520 --> 00:02:22.360]  害怕到什麼地步呢?
[00:02:22.360 --> 00:02:24.840]  究竟是害怕到什麼地步?
[00:02:24.840 --> 00:02:26.160]  我們今天的故事
[00:02:26.160 --> 00:02:27.320]  其實也看到
[00:02:27.320 --> 00:02:28.440]  看到這個情況
[00:02:28.440 --> 00:02:29.160]  看到哥利亞
[00:02:29.160 --> 00:02:29.960]  大家都害怕
[00:02:29.960 --> 00:02:30.480]  是不是?
[00:02:30.480 --> 00:02:31.960]  這麼高大的
[00:02:31.960 --> 00:02:33.840]  有些聖經學者就說
[00:02:33.840 --> 00:02:35.760]  可能有九尺多高
[00:02:35.760 --> 00:02:37.480]  有些聖經學者說六尺多
[00:02:37.480 --> 00:02:38.680]  都是很高的
[00:02:38.680 --> 00:02:40.680]  比我們正常人高了很多
[00:02:40.680 --> 00:02:41.600]  那麼
[00:02:41.600 --> 00:02:44.600]  我們看回撒慕爾記一直的提醒
