
[00:00:00.000 --> 00:00:04.000]  不好意思,沒有英文翻譯
[00:00:04.000 --> 00:00:10.000]  簡單來說,其實這個短片告訴我們
[00:00:10.000 --> 00:00:17.000]  十個小朋友當中,有一個是跟他們爭拗的父母
[00:00:17.000 --> 00:00:20.000]  其中一個,或者兩個在一起
[00:00:20.000 --> 00:00:24.000]  你可以想像一個小朋友生活在這個環境當中
[00:00:24.000 --> 00:00:26.000]  他的感受是怎樣呢?
[00:00:26.000 --> 00:00:28.000]  可能我們沒有想過,是不是呢?
[00:00:28.000 --> 00:00:30.000]  因為小朋友都有感覺
[00:00:30.000 --> 00:00:33.000]  小朋友都有自己的看法
[00:00:33.000 --> 00:00:38.000]  事實上,有成千上萬,剛才最後有多少個數字
[00:00:38.000 --> 00:00:39.000]  我們不記得了
[00:00:39.000 --> 00:00:44.000]  那些小朋友,其實他們,因為家裡
[00:00:44.000 --> 00:00:47.000]  常常聽到父母在吵鬧的緣故
[00:00:47.000 --> 00:00:49.000]  他們有情緒病
[00:00:49.000 --> 00:00:52.000]  甚至有些嚴重些的,是抑鬱,是不是?
[00:00:52.000 --> 00:00:55.000]  當小朋友有情緒病,抑鬱的時候
[00:00:55.000 --> 00:00:58.000]  他們又不懂得怎樣表達,又不懂得怎樣處理
[00:00:58.000 --> 00:01:00.000]  那就糟糕了,所以剛才也有說到
[00:01:00.000 --> 00:01:04.000]  甚至可以去讀書,跟人相處
[00:01:04.000 --> 00:01:08.000]  在學校裡有行為失調的情況出現
[00:01:08.000 --> 00:01:10.000]  而最嚴重的是什麼呢?
[00:01:10.000 --> 00:01:12.000]  當他們長大了之後
[00:01:12.000 --> 00:01:15.000]  糟糕了,因為實際上每個看到父母的關係這樣的時候
[00:01:15.000 --> 00:01:19.000]  他們跟人的相處都出現問題
[00:01:19.000 --> 00:01:21.000]  當你跟人相處有問題的時候
[00:01:21.000 --> 00:01:23.000]  這個會影響他們的工作
[00:01:23.000 --> 00:01:26.000]  甚至影響他們的婚姻
[00:01:26.000 --> 00:01:30.000]  所以其實問題是相當嚴重的
[00:01:30.000 --> 00:01:35.000]  所以呢,其實說到家庭裡面
[00:01:35.000 --> 00:01:37.000]  一些矛盾、衝突
[00:01:37.000 --> 00:01:40.000]  是否只是夫妻之間才會出現的?
[00:01:40.000 --> 00:01:44.000]  你說呢,當然不是
[00:01:44.000 --> 00:01:46.000]  夫妻之間是最容易有的
[00:01:46.000 --> 00:01:48.000]  不過,很多時候我們也聽到很多
[00:01:48.000 --> 00:01:53.000]  其實我們跟自己的父母
[00:01:53.000 --> 00:01:57.000]  跟自己的在地人、岳父岳母、公公婆婆
[00:01:57.000 --> 00:02:00.000]  甚至跟自己的子女
[00:02:00.000 --> 00:02:04.000]  小時候就聲音大大,什麼都很吵
[00:02:04.000 --> 00:02:06.000]  他們就閉嘴了,對不對?
[00:02:06.000 --> 00:02:08.000]  再大一點,到teenager
[00:02:08.000 --> 00:02:10.000]  接著就有很多的衝突
[00:02:10.000 --> 00:02:14.000]  就在那個時間就飆出來了
[00:02:14.000 --> 00:02:17.000]  所以呢,難怪中國一句話是什麼
[00:02:17.000 --> 00:02:19.000]  換個題目
[00:02:19.000 --> 00:02:21.000]  不是這個,下一句是什麼?
[00:02:21.000 --> 00:02:23.000]  家衰就口不停
[00:02:23.000 --> 00:02:25.000]  家和才會萬事興
[00:02:25.000 --> 00:02:27.000]  我相信說出這句話的人
[00:02:27.000 --> 00:02:32.000]  就是因為他對婚姻、對家庭有這樣的觀察
[00:02:32.000 --> 00:02:35.000]  有這樣的了解、有這樣的體會
[00:02:35.000 --> 00:02:38.000]  所以就說出家和很重要的
[00:02:38.000 --> 00:02:40.000]  家和萬事興的
[00:02:40.000 --> 00:02:43.000]  如果你裡面經常有爭吵的時候
[00:02:43.000 --> 00:02:44.000]  那又怎樣?
[00:02:44.000 --> 00:02:48.000]  你家裡的衰落不是說你沒錢的問題
[00:02:48.000 --> 00:02:52.000]  是說你家裡會很不開心
[00:02:52.000 --> 00:02:56.000]  所以其實家庭裡的和諧很重要
[00:02:56.000 --> 00:02:58.000]  但我想問問大家
[00:02:58.000 --> 00:03:01.000]  有哪個家庭裡面沒有試過爭吵的?
