
[00:00:00.000 --> 00:00:02.880]  先祝大家母親節快樂
[00:00:02.880 --> 00:00:05.880]  還有所有跟母親有關的
[00:00:05.880 --> 00:00:09.480]  就是母親的老公
[00:00:09.480 --> 00:00:11.480]  母親的小孩
[00:00:11.480 --> 00:00:13.480]  通通都快樂
[00:00:13.480 --> 00:00:15.480]  當我答應教會
[00:00:15.480 --> 00:00:17.480]  在母親節這一天來分享的時候
[00:00:17.480 --> 00:00:18.720]  其實我就開始在想
[00:00:18.720 --> 00:00:21.280]  我要分享什麼樣的內容
[00:00:21.280 --> 00:00:24.480]  我應不應該先介紹一下我自己
[00:00:24.480 --> 00:00:26.480]  你們可能都不知道我是誰
[00:00:26.480 --> 00:00:27.980]  不好意思
[00:00:27.980 --> 00:00:29.280]  我姓徐 徐婉娣
[00:00:29.280 --> 00:00:31.080]  我從臺灣來的
[00:00:31.080 --> 00:00:34.580]  我跟我先生是在遠東廣播公司
[00:00:34.580 --> 00:00:36.580]  我們是做福音廣播的
[00:00:36.580 --> 00:00:38.580]  有18年的時間
[00:00:38.580 --> 00:00:42.080]  我們在菲律賓發射站那邊做宣教士
[00:00:42.080 --> 00:00:44.580]  在三年前我們的工作
[00:00:44.580 --> 00:00:50.080]  菲律賓宣教士的崗位我們就撤退了
[00:00:50.080 --> 00:00:53.580]  就調到香港的錄音室來這邊侍奉
[00:00:53.580 --> 00:00:56.580]  今天很高興能夠在這裡和大家一起分享
[00:00:56.580 --> 00:01:00.580]  說到我答應教會母親節來分享的時候
[00:01:00.580 --> 00:01:01.580]  我就開始想
[00:01:01.580 --> 00:01:07.580]  講什麼題目才切合母親節的節期
[00:01:07.580 --> 00:01:09.580]  我想說要講說
[00:01:09.580 --> 00:01:14.580]  怎麼樣教姐妹們做一個更好的媽媽
[00:01:14.580 --> 00:01:18.580]  還是要教姐妹們怎麼樣做一個更棒的老婆
[00:01:18.580 --> 00:01:21.580]  我想母親節姐妹們還要來聽我講道
[00:01:21.580 --> 00:01:22.580]  還要聽我教訓
[00:01:22.580 --> 00:01:25.580]  實在是不是很開心的一件事
[00:01:25.580 --> 00:01:28.580]  如果這個道只講給姐妹聽
[00:01:28.580 --> 00:01:32.580]  那在座的弟兄是不是應該屁股拍一拍可以回家了
[00:01:32.580 --> 00:01:33.580]  跟他們無關
[00:01:33.580 --> 00:01:35.580]  所以我想一想我就決定
[00:01:35.580 --> 00:01:40.580]  還是分享跟大家都有關係的就是愛
[00:01:40.580 --> 00:01:44.580]  所以我會從創世紀這邊
[00:01:44.580 --> 00:01:46.580]  剛剛你們讀的很多的經文
[00:01:46.580 --> 00:01:48.580]  其實我已經挑出來一部分一部分了
[00:01:48.580 --> 00:01:51.580]  應該是整張整張的這樣讀下來
[00:01:51.580 --> 00:01:54.580]  你們才容易進入到那個畫面裡面
[00:01:54.580 --> 00:01:55.580]  因為時間不夠
