
[00:00:00.000 --> 00:00:02.720]  很高興在復活節的主日
[00:00:02.720 --> 00:00:05.140]  可以跟大家一起分享神的信息
[00:00:05.140 --> 00:00:06.960]  這是一個祝福
[00:00:06.960 --> 00:00:09.380]  今天跟大家分享的題目就是
[00:00:09.380 --> 00:00:11.880]  「復活前後與主同行」
[00:00:11.880 --> 00:00:16.700]  在聖經裡面記載了不同的人如何跟隨主
[00:00:16.700 --> 00:00:21.580]  我們這次集中看看耶穌基督受苦之前
[00:00:21.580 --> 00:00:23.120]  以及復活之後
[00:00:23.120 --> 00:00:25.900]  人們如何跟隨主
[00:00:25.900 --> 00:00:31.760]  而這些人往往可能成為今天一些基督徒的寫照
[00:00:31.760 --> 00:00:34.360]  讓我們可以來帶去反思
[00:00:34.360 --> 00:00:37.080]  又或者可能我們某個時段裡面
[00:00:37.080 --> 00:00:38.680]  就是類似這些人
[00:00:38.680 --> 00:00:43.500]  第一種人往往是叛逃而退的
[00:00:43.500 --> 00:00:44.820]  為什麼呢?
[00:00:44.820 --> 00:00:45.740]  就是說
[00:00:45.740 --> 00:00:47.600]  有頭威沒有尾陣
[00:00:47.600 --> 00:00:49.980]  我們香港人所說的
[00:00:49.980 --> 00:00:52.860]  當主耶穌一出來傳道的時候
[00:00:52.860 --> 00:00:55.740]  很多人很喜歡耶穌
[00:00:55.740 --> 00:00:57.360]  因為耶穌說話
[00:00:57.360 --> 00:00:59.360]  就是很平民化
[00:00:59.360 --> 00:01:00.640]  很道地
[00:01:00.640 --> 00:01:03.320]  而也不會有很深奧的道理
[00:01:03.320 --> 00:01:04.520]  但是卻是什麼呢?
[00:01:04.520 --> 00:01:05.980]  是很重要的信息
[00:01:05.980 --> 00:01:07.060]  又說出來
[00:01:07.060 --> 00:01:08.680]  所以很多人歡迎祂
[00:01:08.680 --> 00:01:11.700]  這就是我們所說的蜜月期
[00:01:11.700 --> 00:01:14.940]  但是蜜月期往往很快就過了
[00:01:14.940 --> 00:01:18.340]  因為當時一群民事法理賽人
[00:01:18.340 --> 00:01:21.060]  以往是成為焦點給人歡迎
[00:01:21.060 --> 00:01:24.380]  但是現在耶穌似乎搶了他們風頭
[00:01:24.380 --> 00:01:27.140]  他們就很不喜歡整天針對耶穌
[00:01:27.140 --> 00:01:28.420]  煽動一些人來
[00:01:28.420 --> 00:01:30.600]  但是他們對耶穌不滿
[00:01:30.600 --> 00:01:32.720]  更加是耶穌指責他們
[00:01:32.720 --> 00:01:34.200]  指出他們的錯
[00:01:34.200 --> 00:01:36.420]  所以這群人就很不喜歡耶穌
[00:01:36.420 --> 00:01:39.540]  但是不得不承認耶穌當日一出來的時候
[00:01:39.540 --> 00:01:40.860]  聖經裡面告訴我們
[00:01:40.860 --> 00:01:42.780]  很多人為什麼會跟隨祂呢?
[00:01:42.780 --> 00:01:45.440]  在《約翰福音》第六章第二節就說到
[00:01:45.440 --> 00:01:51.640]  因為有很多人因為看到耶穌在病人身上所行的神蹟
[00:01:51.640 --> 00:01:53.260]  就跟隨了祂
[00:01:53.260 --> 00:01:58.060]  但是後來耶穌就繼續宣講天國的道理
[00:01:58.060 --> 00:02:00.840]  但是提出的條件
[00:02:00.840 --> 00:02:04.020]  對某些人來講可能是很苛刻
[00:02:04.020 --> 00:02:05.860]  很難去承擔的
[00:02:05.860 --> 00:02:08.280]  我們一起來聽聽弟兄讀出
[00:02:08.280 --> 00:02:12.340]  《馬克福音》第十章二十九到第三十節
[00:02:12.340 --> 00:02:15.700]  耶穌說:我實在告訴你們
[00:02:15.700 --> 00:02:22.500]  人為我、天下、房屋、弟兄、姊妹、父母、兒女、田地
[00:02:22.500 --> 00:02:25.020]  沒有不在今世得百倍
[00:02:25.020 --> 00:02:29.820]  就是房屋、弟兄、姊妹、母親、兒女、田地
[00:02:29.820 --> 00:02:31.640]  並且要受逼迫
