
[00:00:00.000 --> 00:00:04.160]  在聖經裏面和蛇有關的經文多半都是不好的
[00:00:04.160 --> 00:00:07.000]  但是因為今天是我們要面對新年的時候
[00:00:07.000 --> 00:00:09.720]  我們選了四段的經文是關於蛇有關
[00:00:09.720 --> 00:00:11.240]  但是好的經文
[00:00:11.240 --> 00:00:15.440]  包括了第一段的經文是約翰福音三章十四到十五節
[00:00:15.440 --> 00:00:19.800]  我們比較熟悉的經文是約翰福音三章十六節
[00:00:19.800 --> 00:00:21.520]  約翰福音三十節有人懂得背的
[00:00:21.520 --> 00:00:22.600]  和我一起背好嗎
[00:00:22.600 --> 00:00:26.840]  「神愛世人,甚至稱他獨生子
[00:00:26.840 --> 00:00:29.280]  叫一切信他的,不至滅亡
[00:00:29.280 --> 00:00:30.280]  凡得永生」
[00:00:30.280 --> 00:00:32.120]  這是約翰福音三章十六節
[00:00:32.120 --> 00:00:34.360]  但是在十四、十五節裏面就提到
[00:00:34.360 --> 00:00:36.760]  「摩西在曠野怎樣舉蛇
[00:00:36.760 --> 00:00:39.320]  人此也必照樣地被舉起來
[00:00:39.320 --> 00:00:43.000]  其一切信他的,都得著永生」
[00:00:43.000 --> 00:00:47.720]  這段經文是引用在舊約聖經裏面所發生的一件事蹟
[00:00:47.720 --> 00:00:51.960]  這件事蹟是記載在文數記第二章第四到第九節
[00:00:51.960 --> 00:00:53.240]  這段經文說
[00:00:53.240 --> 00:00:58.240]  「先人離開了河以山潮通往紅海的路裏走
[00:00:58.240 --> 00:01:00.600]  為的是要繞過以東的地區
[00:01:00.600 --> 00:01:03.000]  在路上人民不耐煩的起來
[00:01:03.000 --> 00:01:05.000]  他們就攻擊上帝和摩西處
[00:01:05.000 --> 00:01:06.880]  為甚麼把我們領出埃及
[00:01:06.880 --> 00:01:10.400]  要我們死在這沒有食物、沒有水的曠野呢
[00:01:10.400 --> 00:01:15.400]  我們在也焉不下這難吃的東西」
[00:01:15.400 --> 00:01:18.600]  稍後讀下去的時候你會問問題
[00:01:18.600 --> 00:01:22.200]  就是為甚麼上帝會這樣去懲罰他的子民
[00:01:22.200 --> 00:01:26.640]  他們只不過是埋怨和攻擊上帝和摩西
[00:01:26.640 --> 00:01:29.880]  第一,攻擊上帝和摩西是一件很大的罪
[00:01:29.880 --> 00:01:31.880]  在這個世代是不察覺的
[00:01:31.880 --> 00:01:35.120]  因為在互聯網上你見到很多人在攻擊很多人
[00:01:35.120 --> 00:01:36.720]  但是在舊約裏面
[00:01:36.720 --> 00:01:38.720]  這位上帝是不變的上帝
[00:01:38.720 --> 00:01:40.720]  雖然在西約裏面充滿了恩典
[00:01:40.720 --> 00:01:42.960]  但是我們見到舊約上帝在這一刻
[00:01:42.960 --> 00:01:45.920]  是會彰顯出他的憤怒
[00:01:45.920 --> 00:01:47.200]  為甚麼會這樣呢
[00:01:47.200 --> 00:01:51.400]  我們見到在西約裏面上帝是沒有恩典、慈愛、沒有忍耐
