
[00:00:00.000 --> 00:00:07.640]  是開始靜悼之詩 我們一起同心祈禱
[00:00:07.640 --> 00:00:09.560]  親愛的天父上帝
[00:00:09.560 --> 00:00:15.160]  多謝祢藉著耶穌基督賜給我們寶貴的救恩
[00:00:15.160 --> 00:00:17.800]  求聖靈親自在當中帶領
[00:00:17.800 --> 00:00:21.360]  讓我們在祢的話語當中更加明白
[00:00:21.360 --> 00:00:32.320]  怎樣在我們的生命裏活出信仰 見證基督 祈禱奉主耶穌基督的名
[00:00:32.320 --> 00:00:35.320]  阿們
[00:00:35.320 --> 00:00:41.320]  大家知不知道去年的奧運會是在哪裏舉行的?
[00:00:41.320 --> 00:00:42.560]  大家知不知道?
[00:00:42.560 --> 00:00:47.080]  都有了 都給大家了 是巴黎
[00:00:47.080 --> 00:00:54.720]  大家又知不知道1968年的奧運會是在哪裏舉行的呢?
[00:00:54.720 --> 00:00:58.760]  1968 可能在座很多人都還沒有出生
[00:00:58.760 --> 00:00:59.520]  在哪裏呢?
[00:00:59.520 --> 00:01:01.560]  不要緊 因為隔了這麼久
[00:01:01.560 --> 00:01:05.600]  大家不知道都是正常的 都不奇怪
[00:01:05.600 --> 00:01:08.640]  我告訴大家 大家猜一下
[00:01:08.640 --> 00:01:13.880]  是高原的城市 穆斯哥城
[00:01:13.880 --> 00:01:16.800]  不知道大家有沒有去過 或者我沒有去過
[00:01:16.800 --> 00:01:21.280]  因為那裏的特殊的地理條件和氣候
[00:01:21.280 --> 00:01:26.680]  那次奧運會的田徑比賽又破了很多的世界紀錄
[00:01:26.680 --> 00:01:32.920]  但是相比之下 馬拉松的比賽成績就一般般
[00:01:32.920 --> 00:01:39.840]  所以那時候觀眾和媒體都不是很關心他們的比賽
[00:01:39.840 --> 00:01:43.000]  頒獎禮完了之後
[00:01:43.000 --> 00:01:49.080]  田徑場其他項目比賽完了 大家就收工回家了
[00:01:49.080 --> 00:01:51.520]  誰知道過了一個小時之後
[00:01:51.520 --> 00:01:56.200]  主辦方通知馬拉松現場服務站收檔的時候
[00:01:56.200 --> 00:02:02.400]  突然發覺還有一個選手還在跑
[00:02:02.400 --> 00:02:10.800]  原來這個人就是來自非洲坦桑尼亞的選手
[00:02:10.800 --> 00:02:16.880]  他叫阿克瓦里
[00:02:16.880 --> 00:02:22.360]  他跑了五公里的時間 因為撞到其他選手就跌倒了
[00:02:22.360 --> 00:02:26.760]  膝蓋受傷 連肩膀都受傷了
[00:02:26.760 --> 00:02:29.200]  但是他沒有退出
[00:02:29.200 --> 00:02:33.880]  反而是這樣一直跑
[00:02:33.880 --> 00:02:37.960]  慢慢地所有的選手都超過了他
[00:02:37.960 --> 00:02:40.480]  天都黑了
[00:02:40.480 --> 00:02:43.240]  大家以為比賽已經結束了
[00:02:43.240 --> 00:02:48.760]  只剩下阿克瓦里一個人繼續在跑
[00:02:48.760 --> 00:02:53.240]  他覺得自己的比賽還沒完
[00:02:53.240 --> 00:02:56.640]  不過因為傷痛 我們都知道
[00:02:56.640 --> 00:03:02.120]  他的速度比其他人更慢地散步
[00:03:02.120 --> 00:03:07.320]  有位記者看到他很好奇地問
[00:03:07.320 --> 00:03:12.560]  你明知輸了 為什麼還跑
[00:03:12.560 --> 00:03:17.640]  阿克瓦里沒想到有人會問這樣的問題
[00:03:17.640 --> 00:03:24.840]  他跑了幾步 很堅定地說了一句話
[00:03:24.840 --> 00:03:29.680]  我的國家派我來參加奧運會
[00:03:29.680 --> 00:03:38.960]  不只是要我起跑 而是要我跑到終點
[00:03:38.960 --> 00:03:42.240]  這句話馬上感動了記者
[00:03:42.240 --> 00:03:45.360]  他們傳回新聞中心廣播出來
[00:03:45.360 --> 00:03:50.240]  很多原先回家的市民再次走出來
[00:03:50.240 --> 00:03:53.600]  站在路邊為他打氣
[00:03:53.600 --> 00:03:56.280]  在大家的鼓勵之下
[00:03:56.280 --> 00:04:08.040]  阿克瓦里一步一步地進入了開著燈等他的體育場
[00:04:08.040 --> 00:04:12.880]  幾乎是最後走到終點
[00:04:12.880 --> 00:04:14.880]  我們來看看這個視頻
[00:04:26.280 --> 00:04:36.880]  [音樂]
[00:04:36.880 --> 00:04:38.880]  後來寫下了
[00:04:38.880 --> 00:04:41.200]  今天我們看到一個年輕的阿克瓦里運動員
[00:04:41.200 --> 00:04:44.600]  他象徵著人類精神最好的一面
[00:04:44.600 --> 00:04:48.120]  一個讓運動獲得真正的榮譽的表演
[00:04:48.120 --> 00:04:50.920]  一個讓運動獲得
[00:04:50.920 --> 00:04:53.720]  男子體育界最高的榮譽
[00:04:53.720 --> 00:04:57.240]  一個讓運動獲得真正的榮譽
[00:04:57.240 --> 00:05:01.200]  全敬為阿克瓦里
[00:05:01.200 --> 00:05:04.800]  [音樂]
[00:05:04.800 --> 00:05:07.000]  可能阿克瓦里的言語
[00:05:07.000 --> 00:05:10.280]  貫徹了人類精神最好的一面
[00:05:10.280 --> 00:05:12.040]  當被問到他為什麼不放棄時
[00:05:12.040 --> 00:05:13.720]  他簡單地回答
[00:05:13.720 --> 00:05:18.120]  我的國家沒有派我五千公里去開跑
[00:05:18.120 --> 00:05:22.680]  他們派我五千公里去完成這場運動
[00:05:22.680 --> 00:05:29.720]  [音樂]
[00:05:29.720 --> 00:05:30.760]  最後
[00:05:30.760 --> 00:05:32.520]  這個阿克瓦里
[00:05:32.520 --> 00:05:34.760]  他被當作英雄
[00:05:34.760 --> 00:05:38.760]  受歡迎的程度遠遠超過了冠軍
[00:05:38.760 --> 00:05:42.360]  但是沒人記得他跑了多久
[00:05:42.360 --> 00:05:49.720]  因為只知道他是75位參賽者中
[00:05:49.720 --> 00:05:51.720]  第57名
[00:05:51.720 --> 00:05:53.720]  大家可以記下數目
