
[00:00:00.000 --> 00:00:08.000]  今天希伯來書裏面,我們去看希伯來書11章32至35節
[00:00:08.000 --> 00:00:15.000]  今天我的題目是《軟弱變成剛強》
[00:00:15.000 --> 00:00:19.000]  在當中,《軟弱變成剛強》
[00:00:19.000 --> 00:00:23.000]  開始之前,我們讀一讀這段經文
[00:00:23.000 --> 00:00:28.000]  比較短,我希望大家可以一起讀
[00:00:28.000 --> 00:00:32.000]  希伯來書11章32至35節
[00:00:32.000 --> 00:00:33.000]  第32節
[00:00:33.000 --> 00:00:36.000]  我又何必再說呢?
[00:00:36.000 --> 00:00:38.000]  若要一一細說
[00:00:38.000 --> 00:00:44.000]  基電、巴拉、參宣、耶佛他、大衛、撒姆爾
[00:00:44.000 --> 00:00:48.000]  和衆先知的事,事後就不夠了
[00:00:48.000 --> 00:00:53.000]  他們因着信,制伏了敵國,行了公義
[00:00:53.000 --> 00:01:00.000]  核了鷹許,鑄了獅子的口,滅了烈火的猛勢
[00:01:00.000 --> 00:01:05.000]  脫了刀劍的封印,軟弱變成剛強
[00:01:05.000 --> 00:01:11.000]  征戰顯出勇敢,打退外邦的全軍
[00:01:11.000 --> 00:01:15.000]  有苦人得自己的死人復活
[00:01:15.000 --> 00:01:21.000]  又有人忍受嚴刑,不肯曲且得釋放
[00:01:21.000 --> 00:01:25.000]  唯要得着更美的復活
[00:01:25.000 --> 00:01:29.000]  在當中,我不知道大家是怎樣
[00:01:29.000 --> 00:01:32.000]  我自己的看法是
[00:01:32.000 --> 00:01:37.000]  我們每一個人都想變成剛強
[00:01:37.000 --> 00:01:42.000]  我年輕時去當兵
[00:01:42.000 --> 00:01:52.000]  我都很想像一些年輕人那樣,練到很大,身材很厲害
[00:01:52.000 --> 00:02:00.000]  但當完兵出來,我的花名,他們叫我Cylinder
[00:02:00.000 --> 00:02:03.000]  就是沒有身材
[00:02:03.000 --> 00:02:08.000]  爲何我會那麼想變成剛強呢?
[00:02:08.000 --> 00:02:13.000]  原來當我搬到美國11歲的時候
[00:02:13.000 --> 00:02:17.000]  我是讀六年班,升了一級
[00:02:17.000 --> 00:02:22.000]  原來那些小孩在夏威夷
[00:02:22.000 --> 00:02:27.000]  和我來比,夏威夷的大小是雙倍我的
[00:02:27.000 --> 00:02:31.000]  每天都被人打,每一天都被人打
[00:02:31.000 --> 00:02:34.000]  真的,起碼有三個月
[00:02:34.000 --> 00:02:39.000]  真是很慘,我又想打他,又不夠他打
[00:02:39.000 --> 00:02:44.000]  整天在那裏,好像眼泛淚光,拿着書包在那裏搖
[00:02:44.000 --> 00:02:46.000]  你們走開,走開
[00:02:46.000 --> 00:02:55.000]  因爲我軟弱,因爲我沒有這個剛強,心沒有剛強
[00:02:55.000 --> 00:03:01.000]  很快我們就由一個宿舍搬到維傑基住
[00:03:01.000 --> 00:03:04.000]  在維傑基,你估計是遊客區
[00:03:04.000 --> 00:03:08.000]  但其實維傑基有些篩字區,我們就在那裏住
[00:03:08.000 --> 00:03:10.000]  也是很厲害的,也很厲害
[00:03:10.000 --> 00:03:15.000]  但是又給了我一個機會去改變我自己
[00:03:15.000 --> 00:03:19.000]  讓別人看到我的生命
[00:03:19.000 --> 00:03:23.000]  我要將我的剛強擺出來
[00:03:23.000 --> 00:03:27.000]  以前知道我是軟弱的人,已經不在這裏了
[00:03:27.000 --> 00:03:29.000]  我現在去到這個新的學校
[00:03:29.000 --> 00:03:31.000]  我要去欺負爸爸
[00:03:31.000 --> 00:03:36.000]  我就變成了,本來是別人欺負我,我就去欺負別人
[00:03:36.000 --> 00:03:39.000]  不過我是一個很好的欺負人
[00:03:39.000 --> 00:03:43.000]  變成了有很多人跟着我
[00:03:43.000 --> 00:03:45.000]  那時候我有自己的壁鏡
