
[00:00:00.000 --> 00:00:15.000]  首先我要在此感謝朱牧師和譚牧師,我的老朋友,在此服侍大家。
[00:00:15.000 --> 00:00:31.000]  It is with great joy to know that God is in our midst in spite of all our circumstances.
[00:00:31.000 --> 00:00:40.000]  But we must learn to look at our circumstances correctly.
[00:00:40.000 --> 00:00:47.000]  In one of the art galleries in London, there is an entire floor dedicated to Renaissance art.
[00:00:47.000 --> 00:01:14.000]  The Italian masterpieces were there.One day there was a professor of art who went to visit this museum and look at the art pieces.
[00:01:14.000 --> 00:01:32.000]  He is the professor of the history of art in Boston University.
[00:01:32.000 --> 00:01:53.000]  The professor Robert Cummings came to this piece called "The Virgin and Child" by Lippi.
[00:01:53.000 --> 00:02:11.000]  Lippi is a 15th century Italian artist and the professor can see the masterpieces of the art stroke and the colors.
[00:02:11.000 --> 00:02:19.000]  But somehow something is missing in this painting.
[00:02:19.000 --> 00:02:26.000]  But he can't tell what is missing in this painting.
[00:02:26.000 --> 00:02:30.000]  Suddenly the thought struck him.
[00:02:30.000 --> 00:02:44.000]  What if this painting wasn't commissioned for an art gallery but in a prayer room?
[00:02:44.000 --> 00:02:59.000]  And unlike a gallery where you stand to examine the art, in the prayer room you will be kneeling.
[00:02:59.000 --> 00:03:10.000]  So professor Cummings did something he has never done before in a public gallery, he knelt before the art painting.
[00:03:10.000 --> 00:03:23.000]  When he kneeled and looked up, everything is in perfect perspective and proportion.
[00:03:23.000 --> 00:03:35.000]  The principle is our posture determines our perspective.
[00:03:35.000 --> 00:03:41.000]  For things are not always what they seem.
[00:03:41.000 --> 00:03:46.000]  Appearances can be deceiving.
[00:03:46.000 --> 00:03:54.000]  The opposite of mere appearances is truth.
[00:03:54.000 --> 00:04:10.000]  Now there are two ways to view truth.The first is truth as content, propositions and principles.
[00:04:10.000 --> 00:04:16.000]  The second is to look at truth as connection.
[00:04:16.000 --> 00:04:24.000]  It is a connection to God and to reality.
[00:04:24.000 --> 00:04:31.000]  We must connect with reality.
[00:04:31.000 --> 00:04:43.000]  And we must see God in the reality of our life and experiences.
[00:04:43.000 --> 00:04:51.000]  Because it will help us get our perspective correct.
[00:04:51.000 --> 00:05:04.000]  And one of the realities we must connect with is the reality of the wilderness experiences in our lives.
[00:05:04.000 --> 00:05:18.000]  I want to talk to you about wilderness and warfare.Because all of us go through a spiritual wilderness.
[00:05:18.000 --> 00:05:27.000]  It is represented by the dark and difficult circumstances of our lives.
[00:05:27.000 --> 00:05:35.000]  But the Word of God tells us in Isaiah 40 verse 3, a voice cries out, "In the wilderness, prepare the way of the Lord."
[00:05:35.000 --> 00:05:40.000]  上帝的說話在二塞亞書第四十章三節告訴我們,
[00:05:40.000 --> 00:05:44.000]  曠野裡有聲音說,預備耶和華的道路。
[00:05:44.000 --> 00:05:47.000]  How do we prepare the way for the Lord?
[00:05:47.000 --> 00:05:49.000]  我們如何預備耶和華的道路呢?
[00:05:49.000 --> 00:05:53.000]  By preparing our hearts to look up to Him and trust Him.
[00:05:53.000 --> 00:05:57.000]  預備耶和華的道路就是透過預備我們的心去看耶和華,去相信祂。
[00:05:57.000 --> 00:06:00.000]  You see, discipleship is not a mere program.
[00:06:00.000 --> 00:06:03.000]  門徒訓練不是一個程序。
[00:06:03.000 --> 00:06:06.000]  Discipleship is a way of life.
[00:06:06.000 --> 00:06:09.000]  門徒訓練是一個生活的方式。
[00:06:09.000 --> 00:06:15.000]  So everywhere in the world, I tell them the IDMC conference is not just how to do church.
