
[00:00:00.000 --> 00:00:02.500]  培養愛麗的安道之先,我們再一次同心低頭祈禱
[00:00:02.500 --> 00:00:06.700]  創恩主,我們感謝祢,因為祢的話語是寶貴的
[00:00:06.700 --> 00:00:09.600]  讓我們能夠跟隨主祢的話語
[00:00:09.600 --> 00:00:13.400]  在我們的個人生命和教會生活當中
[00:00:13.400 --> 00:00:16.000]  聖靈,我們求祢向我們每一個人說話
[00:00:16.000 --> 00:00:19.800]  無論我們在網上的,在實體崇拜的
[00:00:19.800 --> 00:00:22.000]  我們的心是向神祢躺開
[00:00:22.000 --> 00:00:24.800]  我們不抗拒聖靈祢自己的感動
[00:00:24.800 --> 00:00:28.000]  並請我們去跟隨祢的聖靈的引導
[00:00:28.000 --> 00:00:29.100]  去回應神祢
[00:00:29.300 --> 00:00:31.500]  我們將以下時間,恭敬的仰望給天父
[00:00:31.500 --> 00:00:34.600]  求祢自己自由的在我們的生命當中去運行
[00:00:34.600 --> 00:00:37.900]  作供,祈禱,奉主耶穌基督的名求
[00:00:37.900 --> 00:00:41.500]  今日的講題是
[00:00:41.500 --> 00:00:44.400]  神為我們爭戰
[00:00:44.400 --> 00:00:47.600]  因為約書下第十章是很精彩的
[00:00:47.600 --> 00:00:49.900]  我一邊看的時候都覺得很雀躍的
[00:00:49.900 --> 00:00:54.500]  因為當我們想想,如果神跟你說我為你爭戰
[00:00:54.500 --> 00:00:55.900]  你第一個反應會是怎樣
[00:00:56.300 --> 00:00:59.500]  先坐下來,等祂打,因為祂說祂爭戰,所以祂打
[00:00:59.500 --> 00:01:02.800]  這一章的書是怎樣跟我們說的呢?
[00:01:02.800 --> 00:01:04.600]  究竟我們有什麼責任呢?
[00:01:04.600 --> 00:01:06.800]  我們怎樣可以跟神配合一起去做呢?
[00:01:06.800 --> 00:01:10.500]  其實要有少許背景才會有少許交代
[00:01:10.500 --> 00:01:14.000]  否則這一章是沒有那麼活靈活現的
[00:01:14.000 --> 00:01:16.800]  背景就是,你想一想
[00:01:16.800 --> 00:01:19.700]  這一群的以色列民
[00:01:19.700 --> 00:01:23.700]  其實我們剛才只是看了第八節到第十四節
[00:01:23.800 --> 00:01:26.600]  是我們今天核心要去研讀的經文
[00:01:26.600 --> 00:01:30.300]  但是第十章的第一至二十七節
[00:01:30.300 --> 00:01:32.000]  其實是講了一個很重要的故事
[00:01:32.000 --> 00:01:35.400]  就是一個五王之戰
[00:01:35.400 --> 00:01:40.100]  就是五個皇帝聯軍來打一個以色列民
[00:01:40.100 --> 00:01:42.800]  這場戰爭是一觸即發的
[00:01:42.800 --> 00:01:45.000]  當時以色列民在吉格
[00:01:45.000 --> 00:01:50.500]  他們剛剛才贏了耶利哥和艾城
[00:01:50.500 --> 00:01:51.600]  大家記得吧
[00:01:52.200 --> 00:01:59.600]  但是其餘的亞摩沃帝國裏面很多不同的國家
[00:01:59.600 --> 00:02:01.800]  那些皇帝就很害怕
[00:02:01.800 --> 00:02:04.100]  特別是這個基扁
[00:02:04.100 --> 00:02:07.200]  其實基扁是一個很強大的國家
[00:02:07.200 --> 00:02:09.800]  比前面那兩個更強大的
[00:02:09.800 --> 00:02:12.600]  士兵也是很強大的
[00:02:12.600 --> 00:02:15.200]  城池也是很厲害的
[00:02:15.200 --> 00:02:18.400]  但是他們聽到連耶利哥
[00:02:18.400 --> 00:02:21.600]  連艾城都淪陷了
[00:02:21.800 --> 00:02:22.600]  他們就害怕了
[00:02:22.600 --> 00:02:27.200]  所以其實這幾天的行程
[00:02:27.200 --> 00:02:31.600]  但是這五個皇帝
[00:02:31.600 --> 00:02:32.700]  就是耶路撒冷王
