
[00:00:00.000 --> 00:00:04.000]  今日和大家思想的題目
[00:00:04.000 --> 00:00:07.000]  顯出神的作為來
[00:00:07.000 --> 00:00:13.000]  大家麻煩再打開你們私人的聖經
[00:00:13.000 --> 00:00:18.000]  教會的聖經都比手機聖經好
[00:00:18.000 --> 00:00:23.000]  因為有些東西我希望你們圈住它
[00:00:23.000 --> 00:00:25.000]  畫住它
[00:00:25.000 --> 00:00:31.000]  你打開約翰福音第九章的時候
[00:00:31.000 --> 00:00:34.000]  耶穌過去的時候看見一個人生了黑眼的
[00:00:34.000 --> 00:00:38.000]  門徒問他這個人黑眼的是哪個人的罪呢?
[00:00:38.000 --> 00:00:42.000]  是他自己犯罪呢?或者他爸爸媽媽犯罪呢?
[00:00:42.000 --> 00:00:45.000]  好了,耶穌就在第三節回答
[00:00:45.000 --> 00:00:48.000]  用兩個也不是
[00:00:48.000 --> 00:00:50.000]  圈住兩個也不是
[00:00:50.000 --> 00:00:53.000]  耶穌回答說第三節
[00:00:53.000 --> 00:00:56.000]  不是這個人犯了甚麼罪
[00:00:56.000 --> 00:00:59.000]  又不是他爸爸媽媽犯了甚麼罪
[00:00:59.000 --> 00:01:05.000]  是要在他身上顯出神的作為來
[00:01:05.000 --> 00:01:06.000]  換句話說
[00:01:06.000 --> 00:01:09.000]  我們的主耶穌準備
[00:01:09.000 --> 00:01:12.000]  在這個人的身上行一個神蹟
[00:01:12.000 --> 00:01:16.000]  順便教導當時的門徒
[00:01:16.000 --> 00:01:24.000]  今日的我們有四個顯出神作為來的生活特徵
[00:01:24.000 --> 00:01:29.000]  看著下面的第四節
[00:01:29.000 --> 00:01:31.000]  趁著白日
[00:01:31.000 --> 00:01:33.000]  這是第一個感覺
[00:01:33.000 --> 00:01:38.000]  叫做趁機感
[00:01:38.000 --> 00:01:43.000]  趁著還有在世上的年日
[00:01:43.000 --> 00:01:45.000]  去為神工作
[00:01:45.000 --> 00:01:48.000]  第二就是我們這個字
[00:01:48.000 --> 00:01:50.000]  圈住我們這個字
[00:01:50.000 --> 00:01:53.000]  因為很少留意到我們這個字的重要性
[00:01:53.000 --> 00:01:55.000]  為甚麼呢?
[00:01:55.000 --> 00:01:59.000]  因為我們是出自耶穌的口中
[00:01:59.000 --> 00:02:02.000]  祂發出呼召
[00:02:02.000 --> 00:02:05.000]  祂發出邀請
[00:02:05.000 --> 00:02:09.000]  要我們和祂一起同工
[00:02:09.000 --> 00:02:12.000]  這就叫做我們
[00:02:12.000 --> 00:02:15.000]  我們一起去做
[00:02:15.000 --> 00:02:18.000]  你不需要害怕為神工作
[00:02:18.000 --> 00:02:23.000]  因為主耶穌與我們一起去做
[00:02:23.000 --> 00:02:25.000]  我們
[00:02:25.000 --> 00:02:27.000]  這是一個感覺
[00:02:27.000 --> 00:02:30.000]  就叫做同工感
[00:02:30.000 --> 00:02:32.000]  第三就是必須
[00:02:32.000 --> 00:02:34.000]  一定要做的
[00:02:34.000 --> 00:02:36.000]  沒有選擇的餘地
[00:02:36.000 --> 00:02:38.000]  一定要做
[00:02:38.000 --> 00:02:41.000]  這個叫做一種的使命感
[00:02:41.000 --> 00:02:43.000]  沒有選擇的餘地
[00:02:43.000 --> 00:02:45.000]  大家要留意
[00:02:45.000 --> 00:02:47.000]  我們活在世上
[00:02:47.000 --> 00:02:49.000]  有一個很大的使命
[00:02:49.000 --> 00:02:51.000]  無論怎樣也好
[00:02:51.000 --> 00:02:53.000]  無論你甚麼年紀也好
[00:02:53.000 --> 00:02:57.000]  無論甚麼的背景學問也好
[00:02:57.000 --> 00:02:59.000]  你都有這個使命
[00:02:59.000 --> 00:03:02.000]  就是要將福音傳開去
[00:03:02.000 --> 00:03:04.000]  你傳不傳
[00:03:04.000 --> 00:03:07.000]  是你要負上的責任
[00:03:07.000 --> 00:03:09.000]  你傳就負責任
[00:03:09.000 --> 00:03:12.000]  你不傳你就任由它
[00:03:12.000 --> 00:03:18.000]  你是一個不負還福音債的人
[00:03:18.000 --> 00:03:21.000]  最後一個感覺就是
[00:03:21.000 --> 00:03:23.000]  甚麼呢?
[00:03:23.000 --> 00:03:28.000]  是緊急感
[00:03:28.000 --> 00:03:31.000]  緊急感就是
[00:03:31.000 --> 00:03:36.000]  黑夜將到就沒有人能作供了
[00:03:36.000 --> 00:03:38.000]  四個感覺
[00:03:38.000 --> 00:03:42.000]  黑夜可以說是人生的黑夜
[00:03:42.000 --> 00:03:44.000]  很快的
