
[00:00:00.000 --> 00:00:02.000]  靜姐妹 平安
[00:00:02.000 --> 00:00:04.000]  你有沒有試過
[00:00:04.000 --> 00:00:06.000]  你本來決定了一件事
[00:00:06.000 --> 00:00:08.000]  但是突然間發生一些事
[00:00:08.000 --> 00:00:10.000]  或者你聽到一些
[00:00:10.000 --> 00:00:12.000]  很迫切的聲音
[00:00:12.000 --> 00:00:14.000]  而令到你改變了你的計劃呢
[00:00:14.000 --> 00:00:16.000]  大家知道
[00:00:16.000 --> 00:00:18.000]  我們每一個禮拜
[00:00:18.000 --> 00:00:20.000]  安排港元來港島
[00:00:20.000 --> 00:00:22.000]  其實我很早就要安排的了
[00:00:22.000 --> 00:00:24.000]  我現在其實很早之前
[00:00:24.000 --> 00:00:26.000]  我已經在找明年的港元
[00:00:26.000 --> 00:00:28.000]  之前就編了
[00:00:28.000 --> 00:00:30.000]  今天是我自己說
[00:00:30.000 --> 00:00:32.000]  但是大家也知道
[00:00:32.000 --> 00:00:34.000]  我們裝修這裡
[00:00:34.000 --> 00:00:36.000]  我們也說不到什麼時候才可以進來崇拜
[00:00:36.000 --> 00:00:38.000]  接著到後來
[00:00:38.000 --> 00:00:40.000]  我知道
[00:00:40.000 --> 00:00:42.000]  9月14號港島是我自己說的時候
[00:00:42.000 --> 00:00:44.000]  我就一直想
[00:00:44.000 --> 00:00:46.000]  第一堂是一個新的地方
[00:00:46.000 --> 00:00:48.000]  到底應該說什麼呢
[00:00:48.000 --> 00:00:50.000]  我其實想了很久
[00:00:50.000 --> 00:00:52.000]  直到上個禮拜日
[00:00:52.000 --> 00:00:54.000]  到晚上回家
[00:00:54.000 --> 00:00:56.000]  我都仍然是未定
[00:00:56.000 --> 00:00:58.000]  我當時還未能給奔風
[00:00:58.000 --> 00:01:00.000]  告訴他我要說什麼
[00:01:00.000 --> 00:01:02.000]  期間和牧師聊天
[00:01:02.000 --> 00:01:04.000]  我說
[00:01:04.000 --> 00:01:06.000]  可不可以說約書下記呢
[00:01:06.000 --> 00:01:08.000]  牧師說不如你說約書下記第一章
[00:01:08.000 --> 00:01:10.000]  我說
[00:01:10.000 --> 00:01:12.000]  如果真的不知道要說什麼
[00:01:12.000 --> 00:01:14.000]  說這一章也一定有話要說的
[00:01:14.000 --> 00:01:16.000]  加上這一章是我當年
[00:01:16.000 --> 00:01:18.000]  夢召的時候神給我的經文
[00:01:18.000 --> 00:01:20.000]  也很有特別的意義
[00:01:20.000 --> 00:01:22.000]  但不知為何
[00:01:22.000 --> 00:01:24.000]  總覺得
[00:01:24.000 --> 00:01:26.000]  心裡沒有
[00:01:26.000 --> 00:01:28.000]  很大的感動
[00:01:28.000 --> 00:01:30.000]  誰不知
[00:01:30.000 --> 00:01:32.000]  後來
[00:01:32.000 --> 00:01:34.000]  發生了一些事
[00:01:34.000 --> 00:01:36.000]  令我突然之間想到
[00:01:36.000 --> 00:01:38.000]  《馬其頓的呼聲》
[00:01:38.000 --> 00:01:40.000]  到底發生什麼事呢
[00:01:40.000 --> 00:01:42.000]  我現在就賣個關子
[00:01:42.000 --> 00:01:44.000]  暫時不告訴大家
[00:01:44.000 --> 00:01:46.000]  我們先來看看
[00:01:46.000 --> 00:01:48.000]  這一段《馬其頓的呼聲》
[00:01:48.000 --> 00:01:50.000]  這段經文
