
[00:00:00.000 --> 00:00:07.640]  上一個主日,和大家思想到《路加福音》第十一章的其中一個主要的經文
[00:00:07.640 --> 00:00:11.760]  就是提到我們心裡的燈需要亮著
[00:00:11.760 --> 00:00:14.380]  免治我們在黑暗的裏面
[00:00:14.380 --> 00:00:16.400]  上一次和大家也提過
[00:00:16.400 --> 00:00:24.040]  耶穌基督提到關乎聖靈與邪靈之間的一個對比分別
[00:00:24.040 --> 00:00:28.840]  亦提到聖靈幫助我們過聖潔的生活
[00:00:28.840 --> 00:00:31.200]  以致我們的燈能夠亮著
[00:00:31.200 --> 00:00:36.160]  它是針對之後第三十七節開始
[00:00:36.160 --> 00:00:38.160]  一直到十一章尾
[00:00:38.160 --> 00:00:41.880]  至十二章第十二節這一段
[00:00:41.880 --> 00:00:43.920]  是有一個連貫的關係的
[00:00:43.920 --> 00:00:50.840]  因為耶穌接著斥責那些法律錯人和律法司
[00:00:50.840 --> 00:00:56.000]  說他們是來虛有其表
[00:00:56.000 --> 00:00:59.560]  亦不去敬畏上帝
[00:00:59.560 --> 00:01:01.400]  甚至藐視聖靈
[00:01:01.400 --> 00:01:03.760]  所以亦拒絕了耶穌基督
[00:01:03.760 --> 00:01:08.840]  所以我們看到耶穌宣佈了六個禍在他們身上
[00:01:08.840 --> 00:01:10.840]  可見這是一個強烈的對比
[00:01:10.840 --> 00:01:12.960]  當人在黑暗的裏面
[00:01:12.960 --> 00:01:15.240]  心的燈昏迴
[00:01:15.240 --> 00:01:20.920]  他們不知道自己原來只是在錯的道路上
[00:01:20.920 --> 00:01:23.800]  死守著自己一些固執的思想
[00:01:23.800 --> 00:01:26.440]  卻不能夠遵行神的旨意
[00:01:26.440 --> 00:01:29.800]  他們用自己的觀念
[00:01:29.800 --> 00:01:32.200]  他們的文化
[00:01:32.200 --> 00:01:34.000]  他們的一些背景
[00:01:34.000 --> 00:01:36.120]  以及固執的思想
[00:01:36.120 --> 00:01:43.160]  卻沒有能夠有一個軟化的心被聖靈引導進入真理
[00:01:43.160 --> 00:01:44.200]  所以很可惜的
[00:01:44.200 --> 00:01:47.040]  他們就敵擋耶穌
[00:01:47.040 --> 00:01:48.560]  拒絕聖靈
[00:01:48.560 --> 00:01:54.200]  亦沒有一個真正去對神的敬畏
[00:01:54.200 --> 00:01:56.600]  所以耶穌基督親自在這裏
[00:01:56.600 --> 00:02:01.360]  再提出這六個禍患可以綜合
[00:02:01.360 --> 00:02:04.440]  有這四個主要方面
[00:02:04.440 --> 00:02:09.000]  就是提出這些在黑暗裏面
[00:02:09.000 --> 00:02:11.600]  不能夠有醒覺的能力
[00:02:11.600 --> 00:02:13.800]  他們這些法力賽人和法師
[00:02:13.800 --> 00:02:17.080]  他們只重外表的形式
[00:02:17.080 --> 00:02:20.400]  卻失去了實際的善行
[00:02:20.400 --> 00:02:25.120]  這是在黑暗當中
[00:02:25.120 --> 00:02:27.440]  法力賽人類法師的問題
[00:02:27.440 --> 00:02:28.680]  所以他們很著重外表
[00:02:28.680 --> 00:02:30.200]  一些移民
[00:02:30.200 --> 00:02:34.040]  著重外表他們定所有的規條
[00:02:34.040 --> 00:02:38.720]  但是他沒有實際裏面的善行
[00:02:38.720 --> 00:02:41.240]  所以只重外表
[00:02:41.240 --> 00:02:44.000]  沒有裏面的實際
[00:02:44.000 --> 00:02:48.560]  因為他們只著重人所看的東西
[00:02:48.560 --> 00:02:52.240]  他沒有看見神怎樣去測驗他們
[00:02:52.240 --> 00:02:53.480]  第二,我們亦看見
[00:02:53.480 --> 00:02:58.040]  這裏他們製造很多難擔的擔子
[00:02:58.040 --> 00:03:00.600]  自己卻不去履行
[00:03:00.600 --> 00:03:05.960]  他們增添了很多在律法以外的規條
[00:03:05.960 --> 00:03:08.200]  將他們弄得很難很難
[00:03:08.200 --> 00:03:10.440]  以致難倒很多的人
[00:03:10.440 --> 00:03:15.000]  所以有很多的擔子在其他人的身上
[00:03:15.000 --> 00:03:18.320]  但其實這些不是他們自己去遵行的
[00:03:18.320 --> 00:03:24.200]  以致他們又讓很多的人心靈軟弱
[00:03:24.200 --> 00:03:29.560]  並不能夠明白神的真理所得到的自由
[00:03:29.560 --> 00:03:33.960]  然後他們亦附和前人的錯誤
[00:03:33.960 --> 00:03:36.160]  在別人的罪上有份
[00:03:36.160 --> 00:03:41.240]  這裏指他們附和前人、列祖
[00:03:41.240 --> 00:03:43.480]  他們迫迫先知
[00:03:43.480 --> 00:03:47.440]  他們殺害神的僕人
[00:03:47.440 --> 00:03:49.680]  神的使者來拒絕
[00:03:49.680 --> 00:03:51.760]  現在耶穌親自來到
[00:03:51.760 --> 00:03:56.000]  他們更加地表示更嚴厲的拒絕和迫迫
[00:03:56.000 --> 00:03:57.520]  敵擋耶穌基督
[00:03:57.520 --> 00:04:00.480]  這正是耶穌很多的比喻當中
[00:04:00.480 --> 00:04:05.720]  提到葡萄園的主人差派他的兒子來
[00:04:05.720 --> 00:04:10.440]  但他們就像以往待其他那些僕人一樣
[00:04:10.440 --> 00:04:13.320]  來迫害迫迫他們
[00:04:13.320 --> 00:04:16.440]  所以他們附和前人的錯誤
[00:04:16.440 --> 00:04:18.000]  盲從地跟從
[00:04:18.000 --> 00:04:20.000]  卻沒有一個醒覺的能力
[00:04:20.000 --> 00:04:21.520]  沒有真理的原則
[00:04:21.520 --> 00:04:26.200]  以致能夠分辨在別人的罪上
[00:04:26.200 --> 00:04:28.000]  以致有份
[00:04:28.000 --> 00:04:32.880]  最後他們亦都是自己不去追求
[00:04:32.880 --> 00:04:35.760]  別人努力卻又阻擋
[00:04:35.760 --> 00:04:38.920]  所以他們自己不去追求神
[00:04:38.920 --> 00:04:40.160]  當別人這樣做的時候
[00:04:40.160 --> 00:04:42.560]  他們就覺得不用這麼認真
[00:04:42.560 --> 00:04:43.760]  不用這麼做
[00:04:43.760 --> 00:04:49.360]  或者不願意人能夠真正在主裡面得到恩典
[00:04:49.360 --> 00:04:53.600]  所以他們這種是自己疏懶
[00:04:53.600 --> 00:04:55.000]  亦都不鼓勵別人
[00:04:55.000 --> 00:04:56.360]  別人想去追求
[00:04:56.360 --> 00:05:03.720]  他們就覺得這個甚至是一種藐視或者覺得不需要這麼認真
[00:05:03.720 --> 00:05:05.320]  我們見到這個世界都是這樣
[00:05:05.320 --> 00:05:08.120]  有很多人見到基督徒或者是
[00:05:08.120 --> 00:05:09.880]  甚至有些基督徒之間都有
[00:05:09.880 --> 00:05:11.120]  用不著這麼認真
[00:05:11.120 --> 00:05:12.280]  做基督徒
