
[00:00:00.000 --> 00:00:02.860]  香港人很會說話,我真的很欣賞香港人
[00:00:02.860 --> 00:00:07.460]  當你存款在銀行沒有利息的時候
[00:00:07.460 --> 00:00:11.080]  美國銀行就說4月1號開始存款沒有利息
[00:00:11.080 --> 00:00:14.080]  但香港人不是這樣說話的,你聽了不會生氣的
[00:00:14.080 --> 00:00:17.080]  我們不排除沒有利息的可能性
[00:00:17.080 --> 00:00:21.840]  如果人家說你老了,你不要聽了,你已經老了
[00:00:21.840 --> 00:00:24.680]  有個人跟我說,吳博士
[00:00:24.680 --> 00:00:28.260]  我小時候就聽你說到,這個是我孫子
[00:00:29.560 --> 00:00:32.140]  沒得生氣吧,不要緊
[00:00:32.140 --> 00:00:35.600]  這個題目不是我出的
[00:00:35.600 --> 00:00:38.780]  我要多謝星期二晚茶經班
[00:00:38.780 --> 00:00:41.000]  在6個月之前出這個題目
[00:00:41.000 --> 00:00:43.880]  我心想,哇,你出個這樣的題目
[00:00:43.880 --> 00:00:46.880]  You guys are not interested in how much I know
[00:00:46.880 --> 00:00:49.060]  You are interested in how much I don't know
[00:00:49.060 --> 00:00:54.900]  我用了兩個月時間,做了兩個小時的講章
[00:00:54.900 --> 00:00:57.980]  剛剛我從美國回來香港那天
[00:00:57.980 --> 00:00:59.860]  霍金就離開世界
[00:00:59.860 --> 00:01:03.920]  我發現很合時
[00:01:03.920 --> 00:01:06.900]  我從星期二晚茶經班,May說
[00:01:06.900 --> 00:01:09.660]  我借你來,我沒講的
[00:01:09.660 --> 00:01:12.300]  我借你來講,講一半,講三分一
[00:01:12.300 --> 00:01:15.280]  星期二晚茶經班,我講了兩個小時
[00:01:15.280 --> 00:01:19.960]  我就發現當我講了,預備了信息之後
[00:01:19.960 --> 00:01:21.660]  有些經文我解得了
[00:01:21.660 --> 00:01:24.120]  以前我想的經文,有些我解不通
[00:01:24.120 --> 00:01:27.040]  知識終必歸於無有,爲何知識會終必歸於無有
[00:01:27.040 --> 00:01:29.240]  我們見到神問很多問題
[00:01:29.240 --> 00:01:30.460]  愛滋病怎麼醫
[00:01:30.460 --> 00:01:33.660]  HIV病毒進入人的身體,去到B-Cell
[00:01:33.660 --> 00:01:36.800]  怎麼掉出來,癌症怎麼醫
[00:01:36.800 --> 00:01:39.180]  原來將來,知識終必歸於無有
[00:01:39.180 --> 00:01:41.640]  我和大家解釋,爲何
[00:01:41.640 --> 00:01:47.100]  探索宇宙
