
[00:00:00.000 --> 00:00:02.960]  這樣的想法是錯誤的
[00:00:02.960 --> 00:00:03.800]  是錯誤的
[00:00:03.800 --> 00:00:05.120]  爲何是錯誤呢?
[00:00:05.120 --> 00:00:08.000]  因爲
[00:00:08.000 --> 00:00:11.040]  如果你去留心讀哥倫多前後書
[00:00:11.040 --> 00:00:13.360]  你會發現哥倫多的教會
[00:00:13.360 --> 00:00:16.240]  不是我們這樣一間教會的
[00:00:16.240 --> 00:00:19.320]  它其實有很多間家庭教會
[00:00:19.320 --> 00:00:20.360]  你明白嗎?
[00:00:20.360 --> 00:00:23.280]  所以保羅怎麼知道哥倫多里面
[00:00:23.280 --> 00:00:25.400]  發生這麼多奇靈怪怪的事呢?
[00:00:25.400 --> 00:00:29.280]  是因爲其中幾家人有去訪問他
[00:00:29.280 --> 00:00:30.560]  就是去見他
[00:00:30.560 --> 00:00:32.320]  於是保羅就會說
[00:00:32.320 --> 00:00:35.760]  我從某一家人那裏聽到你們當中有紛爭
[00:00:35.760 --> 00:00:36.360]  OK
[00:00:36.360 --> 00:00:37.760]  換言而之
[00:00:37.760 --> 00:00:42.800]  他聽到那家人是他自己比較忠心跟隨保羅的人
[00:00:42.800 --> 00:00:46.280]  他們所說的不是他們自己的教會里面的事情
[00:00:46.280 --> 00:00:49.800]  是說另外一個家庭教會里面發生的事情
[00:00:49.800 --> 00:00:50.560]  OK
[00:00:50.560 --> 00:00:53.760]  所以保羅寫這封信是寫給
[00:00:53.760 --> 00:00:58.000]  哥倫多城裏面我們不知道有多少個家庭的教會
[00:00:58.000 --> 00:01:00.840]  而當中是有好有壞的
[00:01:00.840 --> 00:01:04.040]  所以保羅說你們是基督裏面的聖徒
[00:01:04.040 --> 00:01:05.480]  其實本身是沒有錯的
[00:01:05.480 --> 00:01:06.800]  另外一件事就是說
[00:01:06.800 --> 00:01:09.360]  保羅其實一直很強調
[00:01:09.360 --> 00:01:11.960]  那些走歪了的家庭教會也好
[00:01:11.960 --> 00:01:13.400]  走歪了的基督徒也好
[00:01:13.400 --> 00:01:15.360]  一定要悔改
[00:01:15.360 --> 00:01:17.360]  真正的悔改
[00:01:17.360 --> 00:01:18.560]  持續的悔改
[00:01:18.560 --> 00:01:20.600]  纔可以得救的
[00:01:20.600 --> 00:01:22.640]  我們會看到一些經文
[00:01:22.640 --> 00:01:24.080]  很清楚地看到
[00:01:24.080 --> 00:01:25.320]  他在說他們一定要悔改
[00:01:25.320 --> 00:01:26.880]  如果他們不悔改
[00:01:27.240 --> 00:01:30.120]  他們是不會得救的
[00:01:30.120 --> 00:01:34.960]  再者你看保羅說哥倫多的時候
[00:01:34.960 --> 00:01:38.480]  他很強調有一些走歪了的人
[00:01:38.480 --> 00:01:40.360]  是要被割掉
[00:01:40.360 --> 00:01:41.800]  OK
[00:01:41.800 --> 00:01:43.480]  就是他說有一個行人的
[00:01:43.480 --> 00:01:45.400]  教會又不處罰他
[00:01:45.400 --> 00:01:47.400]  他說你一定要將這個人處罰
[00:01:47.400 --> 00:01:49.200]  你一定要將他踢出教會
[00:01:49.200 --> 00:01:53.880]  我不知道你有沒有看過一些戲
[00:01:53.880 --> 00:01:57.440]  在戲裏面是說那個爸爸
[00:01:57.440 --> 00:02:01.120]  是很友善地去救他的女兒的
[00:02:01.120 --> 00:02:02.720]  OK
[00:02:02.720 --> 00:02:04.960]  不是說叫你回家看
[00:02:04.960 --> 00:02:06.960]  我不知道你有沒有看過《雞蛋》
[00:02:06.960 --> 00:02:08.680]  《雞蛋》就有trilogy
[00:02:08.680 --> 00:02:10.680]  就是有1,2,3的
[00:02:10.680 --> 00:02:12.640]  每一套都是說過
[00:02:12.640 --> 00:02:13.400]  爸爸很厲害
[00:02:13.400 --> 00:02:14.440]  以前CIA
[00:02:14.440 --> 00:02:17.520]  然後女兒每次都被人抓了
[00:02:17.520 --> 00:02:19.360]  他就要走運全世界
[00:02:19.360 --> 00:02:21.880]  打完這些敵人
[00:02:21.880 --> 00:02:23.360]  然後就救了女兒
[00:02:23.360 --> 00:02:23.960]  OK
[00:02:23.960 --> 00:02:26.880]  現在最近成龍的戲都是這樣的
[00:02:26.880 --> 00:02:28.200]  他已經年紀大了
[00:02:28.200 --> 00:02:31.200]  於是他永遠都是救女兒的
[00:02:31.200 --> 00:02:33.720]  當你看一套這樣的戲的時候
[00:02:33.720 --> 00:02:35.720]  主角就不是女兒
[00:02:35.720 --> 00:02:37.400]  主角是爸爸
[00:02:37.400 --> 00:02:38.400]  你明白嗎
[00:02:38.400 --> 00:02:40.400]  所以你看哥倫多前書的時候
[00:02:40.400 --> 00:02:42.080]  你是在看同一套戲
[00:02:42.080 --> 00:02:45.320]  是爸爸怎麼奮不顧身
[00:02:45.320 --> 00:02:47.760]  去救女兒或者救兒子
[00:02:47.760 --> 00:02:48.320]  OK
[00:02:48.320 --> 00:02:50.960]  所以你不要當哥倫多教會是主角
