
[00:00:00.000 --> 00:00:03.320]  今日我想從一個比較獨特的角度
[00:00:03.320 --> 00:00:06.560]  去看二千年前
[00:00:06.560 --> 00:00:08.880]  耶穌基督來臨這個世間
[00:00:08.880 --> 00:00:11.600]  道成肉身所發生的事
[00:00:11.600 --> 00:00:14.160]  大家可以打開我們的程序單
[00:00:14.160 --> 00:00:16.680]  如果你中間那裡拔開了它
[00:00:16.680 --> 00:00:18.360]  就第三第四頁
[00:00:18.360 --> 00:00:20.840]  就是我們今天講到的大綱
[00:00:20.840 --> 00:00:22.840]  大家也可以打開
[00:00:22.840 --> 00:00:24.120]  接著看聖經
[00:00:24.120 --> 00:00:25.800]  今天主要我們是看
[00:00:25.800 --> 00:00:27.040]  是盧家福音
[00:00:27.040 --> 00:00:28.080]  第一第二章
[00:00:28.080 --> 00:00:31.000]  以及是馬太福音第一第二章
[00:00:31.000 --> 00:00:32.120]  如果有聖經在手
[00:00:32.120 --> 00:00:34.200]  待會我們看比較容易一點
[00:00:34.200 --> 00:00:35.520]  我們一起思想
[00:00:35.520 --> 00:00:37.680]  你留意到今天我們的題目叫做
[00:00:37.680 --> 00:00:42.280]  天使的訊息
[00:00:42.280 --> 00:00:46.240]  今天我們嘗試用天使的角度
[00:00:46.240 --> 00:00:48.240]  來看聖誕節
[00:00:48.240 --> 00:00:50.120]  我知道一想起聖誕節
[00:00:50.120 --> 00:00:51.480]  當然會想起天使
[00:00:51.480 --> 00:00:55.400]  就是想起我們家的聖誕樹上掛的公仔
[00:00:55.400 --> 00:00:56.880]  天使公仔
[00:00:56.880 --> 00:00:59.480]  天使公仔對於很多人來說
[00:00:59.480 --> 00:01:01.480]  甚至包括我們基督徒來說
[00:01:01.480 --> 00:01:04.560]  都是小朋友的玩意和裝飾
[00:01:04.560 --> 00:01:07.560]  從來都沒有什麼很深刻的想一想它
[00:01:07.560 --> 00:01:09.840]  究竟是什麼意思
[00:01:09.840 --> 00:01:13.200]  但是如果你真的留意到
