
[00:00:00.000 --> 00:00:03.200]  在教會的年曆裡,我們進入了大齋期
[00:00:03.200 --> 00:00:05.120]  已經過了三個星期了
[00:00:05.120 --> 00:00:09.280]  在這段大齋期的日子裡,你有什麼生活和往事不同了呢?
[00:00:09.280 --> 00:00:14.080]  想大家先看一看這一段
[00:00:14.080 --> 00:00:17.600]  我們應該在崇拜前會播放,因為剛才沒有機會看到
[00:00:17.600 --> 00:00:19.600]  想你安靜地看一看
[00:00:30.000 --> 00:00:59.760]  (國語)祂是我們的主人,祂是我們的主人,祂是我們的主人。
[00:00:59.760 --> 00:01:14.800]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:29.760 --> 00:01:43.120]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:43.120 --> 00:01:44.720]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:44.720 --> 00:01:46.720]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:46.720 --> 00:01:47.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:47.600 --> 00:01:49.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:49.600 --> 00:01:51.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:51.600 --> 00:01:53.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:53.600 --> 00:01:55.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:55.600 --> 00:01:57.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:57.600 --> 00:01:59.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:01:59.600 --> 00:02:01.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:01.600 --> 00:02:03.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:03.600 --> 00:02:05.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:05.600 --> 00:02:07.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:07.600 --> 00:02:09.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:09.600 --> 00:02:11.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:11.600 --> 00:02:13.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:13.600 --> 00:02:15.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:15.600 --> 00:02:17.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:17.600 --> 00:02:19.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:19.600 --> 00:02:21.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:29.600 --> 00:02:31.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:31.600 --> 00:02:33.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:33.600 --> 00:02:35.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:35.600 --> 00:02:37.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:37.600 --> 00:02:39.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:39.600 --> 00:02:41.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:41.600 --> 00:02:43.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:43.600 --> 00:02:45.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:45.600 --> 00:02:47.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:47.600 --> 00:02:49.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:49.600 --> 00:02:51.600]  (國語)祂是我們的主人,祂是我們的主人。
[00:02:59.600 --> 00:03:03.600]  (國語)你們若不悔改,都同樣要滅亡。
[00:03:03.600 --> 00:03:07.600]  (國語)從前西羅亞流倒塌,壓死了十八個人。
[00:03:07.600 --> 00:03:12.600]  (國語)你們以為那些人比一切住在耶路撒冷的人更有罪嗎?
[00:03:12.600 --> 00:03:15.600]  (國語)我告訴你們,不是的。
[00:03:15.600 --> 00:03:18.600]  (國語)你們若不悔改,都照樣要滅亡。
[00:03:18.600 --> 00:03:20.600]  (國語)於是耶穌用比喻說,
[00:03:20.600 --> 00:03:24.600]  (國語)有一個人在葡萄園裡栽了一棵無花果樹。
[00:03:24.600 --> 00:03:28.600]  (國語)他前來在樹上找果子,卻找不到。
[00:03:28.600 --> 00:03:30.600]  (國語)耶穌對圓丁說,
[00:03:30.600 --> 00:03:35.600]  (國語)看啊,我這三年來在這棵無花果樹前找果子,
[00:03:35.600 --> 00:03:38.600]  (國語)竟找不到,把它砍了罷。
[00:03:38.600 --> 00:03:40.600]  (國語)何必白佔土地呢?
[00:03:40.600 --> 00:03:44.600]  (國語)圓丁回答,主啊,今年且留著,
[00:03:44.600 --> 00:03:48.600]  (國語)讓我在樹周圍翻開土,加上肥料。
[00:03:48.600 --> 00:03:53.600]  (國語)以後若果子變罷,不然再把它砍了。
[00:03:53.600 --> 00:03:58.600]  好,這聖經裡面,耶穌跟一群身邊的門徒,
[00:03:58.600 --> 00:04:01.600]  那群跟著耶穌的人,他們一起有相聚。
[00:04:01.600 --> 00:04:04.600]  一開始的時候,第一節裡面說,
[00:04:04.600 --> 00:04:09.600]  正當那時,這是什麼事呢?
[00:04:09.600 --> 00:04:12.600]  先不說什麼事,我們先說說到底在討論什麼事。
[00:04:12.600 --> 00:04:16.600]  當時在討論,他們在交代兩件事件,是嗎?
[00:04:16.600 --> 00:04:20.600]  第一件事件是什麼事件?
[00:04:20.600 --> 00:04:26.600]  第一件事件是,有人將比拉多在加利利人的血參集在祭物裡。
[00:04:26.600 --> 00:04:31.600]  其實很簡單的,就是有些人被害,比拉多殺了一些加利利人。
[00:04:31.600 --> 00:04:35.600]  所以他們用這個描述,比拉多將加利利人的血參集在祭物裡。
[00:04:35.600 --> 00:04:39.600]  第二件事件是什麼事件呢?第二件事件是耶穌提到的。
[00:04:39.600 --> 00:04:42.600]  他提了一件事件,耶穌提了一件事件,在第四節就說,
[00:04:42.600 --> 00:04:47.600]  西羅亞流倒塌,壓死了18個人。
[00:04:47.600 --> 00:04:50.600]  如果你努力翻看聖經,或者看很多資料,
[00:04:50.600 --> 00:04:54.600]  你會發覺這兩件事件,除了在路加福音13章記載之外,
[00:04:54.600 --> 00:04:56.600]  基本上找不到其他資料。
[00:04:56.600 --> 00:04:59.600]  你不太知道西羅亞在哪裡,
[00:04:59.600 --> 00:05:01.600]  西羅亞池附近是不是呢?有人這樣猜測。
[00:05:01.600 --> 00:05:05.600]  又不知道究竟比拉多是怎樣殺害不同的加利利人。
[00:05:05.600 --> 00:05:09.600]  這段經文裡面,一開始的時候提了兩件事件,
[00:05:09.600 --> 00:05:11.600]  一件是那些人走來跟耶穌講題的,
[00:05:11.600 --> 00:05:14.600]  一件是耶穌主動回答的時候提的。
[00:05:14.600 --> 00:05:19.600]  為什麼無端端提兩件所謂社會的事件呢?
[00:05:19.600 --> 00:05:24.600]  如果我們回看聖經,在12章的尾段的時候,
