
[00:00:00.000 --> 00:00:01.640]  首先多謝弟兄姊妹
[00:00:01.640 --> 00:00:05.340]  無論是師班 或是我們的姊妹 師琴
[00:00:05.340 --> 00:00:07.040]  帶領我們好好去敬拜
[00:00:07.040 --> 00:00:08.400]  其實在敬拜當中
[00:00:08.400 --> 00:00:11.340]  我們都可以一起透過敬拜
[00:00:11.340 --> 00:00:14.900]  去培養我們教會和弟兄姊妹的
[00:00:14.900 --> 00:00:16.880]  很好的屬靈的土壤
[00:00:16.880 --> 00:00:18.400]  今天講到的經文
[00:00:18.400 --> 00:00:22.140]  繼續我們在《馬太福音》當中有所學習
[00:00:22.140 --> 00:00:26.600]  希望我們在屬靈土壤裏面繼續學習
[00:00:26.600 --> 00:00:28.920]  怎樣去優化我們的屬靈土壤
[00:00:28.920 --> 00:00:31.920]  屬靈土壤按照聖經的教導
[00:00:31.920 --> 00:00:36.220]  我們希望我們的生命的價值觀
[00:00:36.220 --> 00:00:38.920]  不斷地去更新和重整
[00:00:38.920 --> 00:00:41.820]  以至於離神的標準越來越近
[00:00:41.820 --> 00:00:47.020]  特別是因應整個環境的轉變過程裏面
[00:00:47.020 --> 00:00:50.020]  今天的題目是傲慢與偏見
[00:00:50.020 --> 00:00:51.320]  聽到這個題目的時候
[00:00:51.320 --> 00:00:52.820]  可能大家都想起一部電影
[00:00:52.820 --> 00:00:56.420]  不過今天不是講愛情的故事
[00:00:56.420 --> 00:00:58.020]  是講聖經裏面
[00:00:58.020 --> 00:01:01.920]  一班群體 一個叫做宗教領袖 法利塞人
[00:01:01.920 --> 00:01:04.720]  他們怎樣面對耶穌的時候
[00:01:04.720 --> 00:01:07.920]  他們那份傲慢和偏見
[00:01:07.920 --> 00:01:12.720]  我不知道大家怎樣理解偏見這個詞
[00:01:12.720 --> 00:01:16.320]  有時候都很難去很清晰地解釋
[00:01:16.320 --> 00:01:19.620]  有一位輔導方面很出色的弟兄
[00:01:19.620 --> 00:01:22.920]  余德順博士 他是這樣形容偏見的
[00:01:22.920 --> 00:01:26.720]  他說偏見是一個長期擁有的想法
[00:01:26.720 --> 00:01:32.420]  後來甚至用感情去擁抱思想的想法
[00:01:32.420 --> 00:01:34.720]  擁抱到好像朋友一樣
[00:01:34.720 --> 00:01:36.220]  你和他在一起了
[00:01:36.220 --> 00:01:39.620]  愛一個的見解愛到入心入肺
[00:01:39.620 --> 00:01:41.820]  愛到一個地步
[00:01:41.820 --> 00:01:45.620]  已經排斥了其他可能不同的看法
[00:01:45.620 --> 00:01:47.120]  所以讓我們看到
[00:01:47.120 --> 00:01:49.220]  原來偏見有一個特徵
[00:01:49.220 --> 00:01:52.020]  就是和情感有關係
[00:01:52.020 --> 00:01:55.220]  另外我們知道偏見往往都和
[00:01:55.220 --> 00:01:59.320]  自以為是和傲慢是扯上關係的
[00:01:59.320 --> 00:02:02.920]  傲慢的人通常都會覺得自己高人一等
[00:02:02.920 --> 00:02:04.520]  今天我們看的聖經裏面
[00:02:04.520 --> 00:02:06.920]  法利塞人正正是這樣的表表者
