
[00:00:00.000 --> 00:00:07.000]  我想問問大家, 記不記得你上次流淚的時候是甚麼事?
[00:00:07.000 --> 00:00:11.000]  還記不記得何時流過淚?
[00:00:11.000 --> 00:00:14.000]  記不記得?
[00:00:14.000 --> 00:00:21.000]  有些人是休息, 有些人是很開心, 沒甚麼眼淚流
[00:00:21.000 --> 00:00:27.000]  當然, 流淚我們試過大哭流淚, 忍泣又流淚
[00:00:27.000 --> 00:00:30.000]  有試過被人踩到流眼淚
[00:00:30.000 --> 00:00:34.000]  我都試過一鶴眼淚
[00:00:34.000 --> 00:00:36.000]  真是一鶴眼淚, 為甚麼這樣說呢?
[00:00:36.000 --> 00:00:40.000]  我記得大學的時候, 我的鼻做了一個手術
[00:00:40.000 --> 00:00:47.000]  做完手術之後, 兩條粗粗的棉花塞著鼻子
[00:00:47.000 --> 00:00:51.000]  塞了幾天, 你知不知道是甚麼後果呢?
[00:00:51.000 --> 00:00:55.000]  一塞下去就不斷流眼淚
[00:00:55.000 --> 00:00:58.000]  沒有停過, 日以繼夜地流眼淚
[00:00:58.000 --> 00:01:01.000]  真的流了幾天, 一鶴眼淚
[00:01:01.000 --> 00:01:07.000]  大家都知道, 為甚麼傷風鼻塞都會流眼淚
[00:01:07.000 --> 00:01:13.000]  你很容易試試, 捏著鼻子五分鐘, 眼淚就會流出來
[00:01:13.000 --> 00:01:18.000]  你想有些眼淚, 捏著鼻子就可以了
[00:01:18.000 --> 00:01:20.000]  不過要用口呼吸
[00:01:20.000 --> 00:01:25.000]  這個當然是流淚, 今天跟大家分享一段經文
[00:01:25.000 --> 00:01:28.000]  上個月跟大家分享過的題目
[00:01:28.000 --> 00:01:33.000]  把我的眼淚裝在你的皮袋裡
[00:01:33.000 --> 00:01:39.000]  本來會整篇詩篇一起看, 但最後我們看了四節
[00:01:39.000 --> 00:01:42.000]  上次我最終給的題目是
[00:01:42.000 --> 00:01:44.000]  恐懼時倚靠神
[00:01:44.000 --> 00:01:52.000]  來到第五到十一節, 我就給一個題目是流淚時呼求神
[00:01:52.000 --> 00:01:58.000]  這段第五到十一節, 大衛繼續記述他的遭遇
[00:01:58.000 --> 00:02:07.000]  這個遭遇是慘情, 很多的困苦, 很多的攻擊, 甚至害他的命
[00:02:07.000 --> 00:02:10.000]  所以仇敵要將他踐踏
[00:02:10.000 --> 00:02:17.000]  但是大衛卻在痛苦裡面相信, 神是沒有忘記他的
[00:02:17.000 --> 00:02:23.000]  就算他流淚流浪在不同的地方, 神都記掃, 神都記下
