
[00:00:00.000 --> 00:00:07.120]  很多教會對宣教或者對猜拳是有誤解的
[00:00:07.120 --> 00:00:13.380]  他們以為這是一個附屬的東西
[00:00:13.380 --> 00:00:16.400]  可以做、可以不做
[00:00:16.400 --> 00:00:18.400]  有錢就做多一點
[00:00:18.400 --> 00:00:20.740]  沒錢就做少一點
[00:00:20.740 --> 00:00:26.560]  有些教會比較積極
[00:00:26.560 --> 00:00:29.200]  設立了一個猜拳部
[00:00:29.200 --> 00:00:31.780]  但是在執事眼中
[00:00:31.780 --> 00:00:35.600]  這個猜拳部也是很多部門的其中一個
[00:00:35.600 --> 00:00:42.320]  教會首先收入就要搞定所有的工資
[00:00:42.320 --> 00:00:46.300]  租金或者是所有的東西
[00:00:46.300 --> 00:00:50.440]  剩下的一些給猜拳、一些給辭位
[00:00:50.440 --> 00:00:55.620]  猜拳部就好像和辭位部差不多
[00:00:55.620 --> 00:00:58.500]  我們傳音堂就不是這樣的
[00:00:58.500 --> 00:01:03.940]  我們的宣教預算和其它預算分開
[00:01:03.940 --> 00:01:06.420]  我覺得這個安排是比較好的
[00:01:06.420 --> 00:01:12.060]  信徒的十一奉獻就是為教會維持基本運作
[00:01:12.060 --> 00:01:14.660]  好像一個家庭的衣食住行
[00:01:14.660 --> 00:01:16.460]  在這個以外
[00:01:16.460 --> 00:01:20.620]  我們每年三月有個猜拳月
[00:01:20.620 --> 00:01:24.800]  信徒就在神面前去思想
[00:01:24.800 --> 00:01:27.460]  究竟我在十一奉獻以外
[00:01:27.460 --> 00:01:32.260]  我應該如何奉獻支持猜拳事工呢?
[00:01:32.260 --> 00:01:37.560]  你做這個決定的時候
[00:01:37.560 --> 00:01:39.480]  有什麼因素影響你呢?
[00:01:39.480 --> 00:01:42.680]  就是你對宣教的認識
[00:01:42.680 --> 00:01:48.840]  你對猜拳宣教的神學思想取決
[00:01:48.840 --> 00:01:51.660]  令你決定我應該如何支持
[00:01:51.660 --> 00:01:54.860]  是否支持教會的猜拳事工
[00:01:54.860 --> 00:01:57.460]  我曾經說過一句話
[00:01:57.460 --> 00:01:59.220]  我講道時提過
[00:01:59.220 --> 00:02:03.720]  神學思想是決定一切
[00:02:03.720 --> 00:02:06.820]  Theology determines everything
[00:02:06.820 --> 00:02:09.700]  神學思想就是你對神的認識
[00:02:09.700 --> 00:02:13.620]  即是你如何理解聖經的真理
