
[00:00:00.000 --> 00:00:02.000]  各位導演前輩晚安
[00:00:02.000 --> 00:00:06.000]  今天可以講這段經文其實都很開心的
[00:00:06.000 --> 00:00:08.000]  因為十二年之前我就神學畢業
[00:00:08.000 --> 00:00:12.000]  就有畢業一個形冊
[00:00:12.000 --> 00:00:15.000]  每個神學生就可以選一個經文
[00:00:15.000 --> 00:00:18.000]  我就選了《彼得前書》五章二到三節
[00:00:18.000 --> 00:00:20.000]  作為一個畢業的感言
[00:00:20.000 --> 00:00:24.000]  當時選的時候都是很希望提醒自己
[00:00:24.000 --> 00:00:26.000]  神學畢業了做傳道人
[00:00:26.000 --> 00:00:29.000]  神對我的呼召我要毋忘初心
[00:00:29.000 --> 00:00:31.000]  用心服侍一下
[00:00:31.000 --> 00:00:33.000]  不經不覺十二年過去了
[00:00:33.000 --> 00:00:35.000]  今天仍然可以默會
[00:00:35.000 --> 00:00:37.000]  都是上帝的恩典
[00:00:37.000 --> 00:00:41.000]  但當看整個一至七節的時候
[00:00:41.000 --> 00:00:48.000]  彼得其實是不是只是寫給傳道目者呢
[00:00:48.000 --> 00:00:50.000]  如果是的話
[00:00:50.000 --> 00:00:54.000]  可能大家都是不是需要在場呢
[00:00:54.000 --> 00:00:56.000]  其實不是的
[00:00:56.000 --> 00:01:02.000]  《聖經》的說話其實都是給我們這麼多人的
[00:01:02.000 --> 00:01:08.000]  如果我們去看一下這段經文
[00:01:08.000 --> 00:01:12.000]  其實彼得為什麼要寫作為目者
[00:01:12.000 --> 00:01:17.000]  要傳授一個什麼樣的心呢
[00:01:17.000 --> 00:01:19.000]  我們就看一下上文
[00:01:19.000 --> 00:01:22.000]  上文有這樣一句
[00:01:22.000 --> 00:01:26.000]  他說審判要從神的家開始
[00:01:26.000 --> 00:01:31.000]  所以彼得就寫了一番勸勉的說話
[00:01:31.000 --> 00:01:33.000]  審判從神的家
[00:01:33.000 --> 00:01:35.000]  就是我有份
[00:01:35.000 --> 00:01:37.000]  大家都有份
[00:01:37.000 --> 00:01:38.000]  目者有份
[00:01:38.000 --> 00:01:40.000]  信徒都有份
[00:01:40.000 --> 00:01:42.000]  審判什麼呢
[00:01:42.000 --> 00:01:44.000]  就是神要看一下
[00:01:44.000 --> 00:01:46.000]  已經聽了福音
