
[00:00:00.000 --> 00:00:01.840]  昨天早上我去到郵局
[00:00:01.840 --> 00:00:03.200]  我已經很久沒有去郵局
[00:00:03.200 --> 00:00:05.720]  因為昨天有些東西要寄給一個人
[00:00:05.720 --> 00:00:07.080]  所以就去了郵局
[00:00:07.080 --> 00:00:09.880]  我以為郵局應該沒什麼人
[00:00:09.880 --> 00:00:12.520]  因為美國的郵局越來越少
[00:00:12.520 --> 00:00:15.080]  因為這個世界已經開始用電郵
[00:00:15.080 --> 00:00:18.880]  用WhatsApp 用很多很多的途徑
[00:00:18.880 --> 00:00:21.920]  根本就不再需要郵局的存在
[00:00:21.920 --> 00:00:23.200]  所以我帶著這個心
[00:00:23.200 --> 00:00:25.200]  想著郵局一定沒什麼人
[00:00:25.200 --> 00:00:27.400]  但為什麼一去到居然要排隊
[00:00:27.400 --> 00:00:29.840]  我就開始拗頭 為什麼要排隊
[00:00:29.840 --> 00:00:31.760]  當然排隊的過程已經見到
[00:00:31.760 --> 00:00:35.560]  原來只有兩個郵局的員工在工作
[00:00:35.560 --> 00:00:36.520]  也沒什麼所謂
[00:00:36.520 --> 00:00:38.000]  因為郵局不是很大
[00:00:38.000 --> 00:00:40.760]  所以只有兩個窗口開了
[00:00:40.760 --> 00:00:44.240]  但是第一個窗口就見到一個男性
[00:00:44.240 --> 00:00:48.320]  一位男士就在跟一個郵局很多的爭論
[00:00:48.320 --> 00:00:50.480]  爭論的東西其實真的很細微
[00:00:50.480 --> 00:00:52.040]  對我來說都很細微
[00:00:52.040 --> 00:00:54.480]  就是當他寄掛號信的時候
[00:00:54.480 --> 00:00:57.640]  他給回那張修條
[00:00:57.640 --> 00:01:03.040]  究竟那個修條是不是要寄去那個地址的全部呢
[00:01:03.040 --> 00:01:05.000]  郵差就說 郵局的同伴就說
[00:01:05.000 --> 00:01:05.880]  寫幾個字就可以了
[00:01:05.880 --> 00:01:07.840]  因為最重要是那個號碼
[00:01:07.840 --> 00:01:08.920]  不是那個地址
[00:01:08.920 --> 00:01:10.040]  但那個男士就說
[00:01:10.040 --> 00:01:12.400]  不是 一定要寫完 一定要寫完
[00:01:12.400 --> 00:01:14.160]  爭論了十幾二十分鐘
[00:01:14.160 --> 00:01:17.320]  心裡邊暈 心裡邊淋 我不敢出聲
[00:01:17.320 --> 00:01:20.440]  搞錯 這樣都要爭論十幾分鐘
[00:01:20.440 --> 00:01:22.000]  浪費了我的時間
[00:01:22.000 --> 00:01:24.280]  但都算了 人生就是這樣
[00:01:24.280 --> 00:01:25.760]  好 排隊就繼續走
[00:01:25.760 --> 00:01:28.000]  還有一個窗口在工作 今天都很快很快
[00:01:28.000 --> 00:01:32.040]  去到前面 看到前面的人
[00:01:32.040 --> 00:01:35.400]  嘩 拖著一大堆信
[00:01:35.400 --> 00:01:36.880]  去到窗口下面
[00:01:36.880 --> 00:01:39.480]  嘩 逐封逐封給郵差
[00:01:39.480 --> 00:01:42.920]  逐封寫 搞錯 這是怎麼回事
[00:01:42.920 --> 00:01:46.560]  結果三十幾分鐘 我才寄了那封信
[00:01:46.560 --> 00:01:50.440]  心裡邊很多的不耐煩
[00:01:50.440 --> 00:01:52.840]  心裡邊很多的責備
[00:01:52.840 --> 00:01:55.480]  為什麼不開那個窗呢
[00:01:55.480 --> 00:01:57.760]  能夠快點搞定它
[00:01:57.760 --> 00:01:59.720]  如果有一天你去到餐廳
[00:01:59.720 --> 00:02:03.280]  坐下 服侍一個人 走到他身邊
[00:02:03.280 --> 00:02:05.680]  拿著那個菜單 一扔就扔到桌上
[00:02:05.680 --> 00:02:08.240]  你吃什麼 你會有什麼反應
[00:02:08.240 --> 00:02:10.400]  有沒有搞錯 誰給錢你
[00:02:10.400 --> 00:02:12.720]  誰給錢你 誰是老闆
[00:02:12.720 --> 00:02:16.480]  我去花錢 你這樣對我 馬上走
[00:02:16.480 --> 00:02:18.080]  我想我們的心境
[00:02:18.080 --> 00:02:22.360]  往往被這個環境所影響
[00:02:22.360 --> 00:02:23.600]  我想我們的心境
[00:02:23.600 --> 00:02:25.600]  我昨天都是被郵局
[00:02:25.600 --> 00:02:28.680]  帶給我很多內心的一種心急
[00:02:28.680 --> 00:02:30.360]  其實我是心急的人
[00:02:30.360 --> 00:02:31.800]  雖然現在已經好了很多
[00:02:31.800 --> 00:02:33.040]  因為年紀開始大
[00:02:33.040 --> 00:02:34.600]  但是仍然都心急
[00:02:34.600 --> 00:02:36.640]  覺得真的浪費我的時間
[00:02:36.640 --> 00:02:38.760]  為什麼香港文化這麼喜歡罵人呢
[00:02:38.760 --> 00:02:41.520]  你不罵人 那個地址寫得詳不詳細
[00:02:41.520 --> 00:02:43.080]  那就算了
[00:02:43.080 --> 00:02:47.200]  但是人所帶來的環境
[00:02:47.200 --> 00:02:49.120]  往往在影響我的心境
[00:02:49.120 --> 00:02:52.600]  今天我的題目就是環境和心境
[00:02:52.600 --> 00:02:55.520]  約伯記去到第三篇的講章
[00:02:55.520 --> 00:02:59.360]  也進入到第二章的第一節到第十節
[00:02:59.360 --> 00:03:01.640]  當我們看回這個題目的時候
[00:03:01.640 --> 00:03:03.040]  環境 心境
[00:03:03.040 --> 00:03:05.720]  我們看回約伯在第一章的時候
[00:03:05.720 --> 00:03:10.080]  當他在完全無所知道的情形底下
[00:03:10.080 --> 00:03:12.000]  上帝容讓撒旦
[00:03:12.000 --> 00:03:15.720]  將他所有的生物物完全拿走
[00:03:15.720 --> 00:03:17.840]  一夜之間沒有了子女
[00:03:17.840 --> 00:03:20.240]  一夜之間沒有了他所有的財富
[00:03:20.240 --> 00:03:23.160]  剩下他的太太和四個僕人
[00:03:23.160 --> 00:03:24.920]  以致到在過程當中
[00:03:24.920 --> 00:03:26.840]  撒旦是挑戰上帝
[00:03:26.840 --> 00:03:31.680]  他說如果你拿走了所有約伯的東西
[00:03:31.680 --> 00:03:36.000]  他說他一定會當面棄掉你
