
[00:00:00.000 --> 00:00:02.000]  好各位弟兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  好感謝神
[00:00:04.000 --> 00:00:08.000]  讓我最後機會和大家來分享講解神的話語
[00:00:08.000 --> 00:00:09.000]  我們教會主題
[00:00:09.000 --> 00:00:11.000]  敬畏上主責根聖賢
[00:00:11.000 --> 00:00:13.000]  傳揚福音活出使命
[00:00:13.000 --> 00:00:17.000]  我們特別會在下半年裏面看試圖行轉
[00:00:17.000 --> 00:00:18.000]  傳揚福音系列
[00:00:18.000 --> 00:00:22.000]  讓我們更加深的認識聖靈的工作
[00:00:22.000 --> 00:00:24.000]  也讓我們更加懂得去反思
[00:00:24.000 --> 00:00:28.000]  我們應該怎樣的來去衛生回應
[00:00:29.000 --> 00:00:32.000]  在過往三個月我們在安息假當中
[00:00:32.000 --> 00:00:33.000]  有休息的時間
[00:00:33.000 --> 00:00:35.000]  有閱讀的時間
[00:00:35.000 --> 00:00:37.000]  也都差不多一個月時間
[00:00:37.000 --> 00:00:38.000]  半辦公
[00:00:38.000 --> 00:00:42.000]  也都在當中有遊歷
[00:00:42.000 --> 00:00:45.000]  中國內地大江南北的時間
[00:00:45.000 --> 00:00:49.000]  當中更加了解中國的文化
[00:00:49.000 --> 00:00:50.000]  文生
[00:00:50.000 --> 00:00:52.000]  之前對中國的認識
[00:00:52.000 --> 00:00:53.000]  都是在書本上面的
[00:00:53.000 --> 00:00:54.000]  媒體上面
[00:00:54.000 --> 00:00:55.000]  文學上面
[00:00:55.000 --> 00:00:57.000]  西湖是怎樣怎樣的
[00:00:57.000 --> 00:00:58.000]  華山怎樣怎樣的
[00:00:58.000 --> 00:01:01.000]  這次旅程對我來說大開眼界了
[00:01:01.000 --> 00:01:03.000]  讀萬卷書很重要
[00:01:03.000 --> 00:01:04.000]  走萬里路
[00:01:04.000 --> 00:01:06.000]  原來都可以讓人對地方
[00:01:06.000 --> 00:01:07.000]  歷史
[00:01:07.000 --> 00:01:08.000]  人物
