
[00:00:00.000 --> 00:00:05.440]  不可偷渡第八屆的一些前瞻
[00:00:05.440 --> 00:00:09.000]  原來到了第八屆
[00:00:09.000 --> 00:00:11.240]  大家以為是很簡單的一件事
[00:00:11.240 --> 00:00:13.400]  其實是越來越複雜的事情
[00:00:13.400 --> 00:00:17.320]  所以我覺得如果我先給你一點前瞻
[00:00:17.320 --> 00:00:18.800]  下個星期回來的時候
[00:00:18.800 --> 00:00:22.280]  你就比較容易掌握到那件事
[00:00:22.280 --> 00:00:23.840]  待會兒我再告訴你
[00:00:23.840 --> 00:00:26.680]  如果當我們去看第八屆的時候
[00:00:26.680 --> 00:00:28.440]  其實有一個挑戰
[00:00:28.440 --> 00:00:32.560]  就是你怎麼可以將第八屆和前面第七屆
[00:00:32.560 --> 00:00:34.760]  是連貫一起去看的
[00:00:34.760 --> 00:00:36.920]  他說你到了第八屆的時候
[00:00:36.920 --> 00:00:39.680]  其中有一個感覺就是
[00:00:39.680 --> 00:00:43.520]  不可偷渡不是一個這麼嚴重的罪惡
[00:00:43.520 --> 00:00:45.880]  如果你留心去看前面
[00:00:45.880 --> 00:00:47.520]  譬如說我們看五屆
[00:00:47.520 --> 00:00:50.880]  必無他神 必無他像 必無他名
[00:00:50.880 --> 00:00:53.160]  當紀念安息日
[00:00:53.160 --> 00:00:55.520]  接著當孝敬父母
[00:00:55.520 --> 00:00:58.120]  當你不守這五屆的時候
[00:00:58.120 --> 00:01:00.280]  後果是什麼
[00:01:00.280 --> 00:01:01.560]  是死刑
[00:01:01.560 --> 00:01:03.600]  如果你回去看舊約聖經
[00:01:03.600 --> 00:01:07.360]  屆屆不守的時候都是死刑
[00:01:07.360 --> 00:01:10.560]  接著我們去到下面那五屆
[00:01:10.560 --> 00:01:11.760]  不可殺人
[00:01:11.760 --> 00:01:13.440]  殺了人之後
[00:01:13.440 --> 00:01:14.880]  那個後果是什麼
[00:01:14.880 --> 00:01:16.640]  死刑
[00:01:16.640 --> 00:01:17.480]  不可奸淫
[00:01:17.480 --> 00:01:19.400]  你被人捉姦在床
[00:01:19.400 --> 00:01:21.480]  你是猶太人
[00:01:21.480 --> 00:01:22.880]  會有什麼後果
[00:01:22.880 --> 00:01:24.520]  都是死刑
[00:01:24.520 --> 00:01:25.840]  咦
[00:01:25.840 --> 00:01:27.880]  不可偷渡呢
[00:01:27.880 --> 00:01:28.840]  咦 不是
[00:01:28.840 --> 00:01:32.320]  不可偷渡好像沒死
[00:01:32.320 --> 00:01:35.680]  當我們一想不可偷渡的時候
[00:01:35.680 --> 00:01:37.480]  我問你不可偷渡什麼
[00:01:37.480 --> 00:01:38.760]  不可以偷什麼
[00:01:38.760 --> 00:01:40.320]  你立刻會想到很多東西
[00:01:40.320 --> 00:01:41.440]  一定是說
[00:01:41.440 --> 00:01:45.520]  不要偷你的輪舍的東西
[00:01:45.520 --> 00:01:46.160]  錢財
[00:01:46.160 --> 00:01:48.480]  很自然的我們會想
[00:01:48.480 --> 00:01:50.560]  不要偷輪舍的錢財
[00:01:50.560 --> 00:01:52.320]  我們將不可偷渡
[00:01:52.320 --> 00:01:55.280]  放在愛輪舍那一部分
[00:01:55.280 --> 00:01:56.080]  但如果你記得
[00:01:56.080 --> 00:01:59.960]  我們一直說每一個誡命的時候
[00:01:59.960 --> 00:02:02.040]  其實每一個誡命不單止是說愛輪舍
[00:02:02.040 --> 00:02:03.840]  更加是說愛上帝
[00:02:03.840 --> 00:02:06.280]  因為所有的誡命
[00:02:06.280 --> 00:02:07.960]  都是跟著第一屆去行的
[00:02:07.960 --> 00:02:12.120]  第一屆除我以外變無他神
[00:02:12.120 --> 00:02:15.920]  猶太的拉比很有趣
[00:02:15.920 --> 00:02:19.720]  他覺得上帝在和我們玩一個猜謎遊戲
[00:02:19.720 --> 00:02:24.120]  他說當你去看第八屆不可偷渡的時候
[00:02:24.120 --> 00:02:25.400]  上帝從來沒有跟你說
[00:02:25.400 --> 00:02:27.120]  不可以偷什麼
[00:02:27.120 --> 00:02:29.720]  因為不可偷渡只有一個動詞
[00:02:29.720 --> 00:02:31.040]  只有一個verb
[00:02:31.040 --> 00:02:32.720]  You shall not steal
[00:02:32.720 --> 00:02:34.360]  Steal what?
[00:02:34.360 --> 00:02:36.040]  欠一個名詞
[00:02:36.040 --> 00:02:37.640]  於是他覺得
[00:02:37.640 --> 00:02:41.960]  上帝是故意將名詞留空給他
[00:02:41.960 --> 00:02:45.880]  以至叫我們和他玩一個猜謎遊戲
[00:02:45.880 --> 00:02:47.440]  猶太的拉比會怎樣猜呢
[00:02:47.440 --> 00:02:49.160]  他們是很聰明的
[00:02:49.160 --> 00:02:51.000]  就好像查聖經那樣
[00:02:51.000 --> 00:02:54.320]  他們就去摩西五經裡面看
[00:02:54.320 --> 00:02:56.160]  在摩西五經裡面問
[00:02:56.160 --> 00:02:57.400]  在摩西五經裡面
[00:02:57.400 --> 00:03:00.720]  上帝叫我們不可以偷些什麼
[00:03:00.720 --> 00:03:04.440]  他們就找到四樣東西
[00:03:04.440 --> 00:03:06.000]  他說當你去看摩西五經
[00:03:06.000 --> 00:03:08.800]  摩西五經就是創出你紋身
[00:03:08.800 --> 00:03:10.080]  你會發現第一
[00:03:10.080 --> 00:03:16.080]  上帝說你不可以偷渡宰賣偶羊
[00:03:16.080 --> 00:03:16.840]  第二
[00:03:16.840 --> 00:03:19.240]  上帝有說另外一種偷渡的方法
[00:03:19.240 --> 00:03:20.600]  就是裸而地戒
[00:03:20.600 --> 00:03:21.400]  你知道嗎
[00:03:21.400 --> 00:03:23.760]  當他們進去認知地之後
