
[00:00:00.000 --> 00:00:07.600]  主持人:鄧英姐妹早晨 十月的第一個主日 大家都很意識到
[00:00:07.600 --> 00:00:13.800]  原來這個二零二五年已經到了第四季 最後一季
[00:00:13.800 --> 00:00:19.800]  大家不知道有沒有覺得時間這麼快就過去了
[00:00:19.800 --> 00:00:25.800]  對於我們日常的生活有什麼反省呢
[00:00:25.800 --> 00:00:34.800]  在我們繼續今年的主題
[00:00:34.800 --> 00:00:41.800]  有時候我們都要彼此提醒主題的八個字
[00:00:41.800 --> 00:00:45.800]  時代幻變 基督為牢
[00:00:45.800 --> 00:00:49.800]  很多時候我們大概知道那個意思
[00:00:49.800 --> 00:00:54.800]  但是有時候要再重溫一下這八個字
[00:00:54.800 --> 00:00:58.800]  我跟大家分享《但以理書》第一章
[00:00:58.800 --> 00:01:06.800]  再次在第三季 第四季的時候再思想主題
[00:01:06.800 --> 00:01:12.800]  預備很快就會二零二六年了
[00:01:12.800 --> 00:01:17.800]  這樣想起時間過得這麼快 覺得很奇怪
[00:01:17.800 --> 00:01:19.800]  我們再次大家一起祈禱
[00:01:19.800 --> 00:01:21.800]  多謝我們天上的父
[00:01:21.800 --> 00:01:24.800]  祢愛我們 看顧我們
[00:01:24.800 --> 00:01:29.800]  以致我們日常的生活都有主祢的靈與我們同在
[00:01:29.800 --> 00:01:33.800]  帶領我們前面走的每一步
[00:01:33.800 --> 00:01:37.800]  無論我們個人 我們的家庭 我們的教會
[00:01:37.800 --> 00:01:42.800]  我們都繼續降伏在祢的說領之下
[00:01:42.800 --> 00:01:49.800]  求祢教導我們更明白祢的真理 由實踐真理
[00:01:49.800 --> 00:01:52.800]  祈禱奉耶穌的名 阿們
[00:02:19.800 --> 00:02:29.800]  這個叫做充滿敵意 對耶穌 對我們的信仰
[00:02:29.800 --> 00:02:33.800]  充滿敵意的這個世代 這個社會
[00:02:33.800 --> 00:02:37.800]  現在二十一世紀是這樣
[00:02:37.800 --> 00:02:40.800]  如果我們回想《但以理》的時代
[00:02:40.800 --> 00:02:43.800]  它的背景其實也是一樣
[00:02:43.800 --> 00:02:51.800]  所以說日光之下無生事 連到主前幾百年的時候
[00:02:51.800 --> 00:02:59.800]  以色列神的子民 都是面對同樣的一種衝擊
[00:02:59.800 --> 00:03:03.800]  一種社會的狀況
[00:03:03.800 --> 00:03:08.800]  但是今天我不想只是說看看《但以理》這個人
[00:03:08.800 --> 00:03:11.800]  我們怎樣學習他的榜樣
[00:03:11.800 --> 00:03:13.800]  因為很多時候我們讀聖經
[00:03:13.800 --> 00:03:15.800]  第一步我們會想的就是
[00:03:15.800 --> 00:03:18.800]  這些人物對我們來說有些什麼啟發
