
[00:00:00.000 --> 00:00:01.720]  我們先一起禱告
[00:00:01.720 --> 00:00:05.360]  親愛的主耶穌,我們在禰的面前禱告
[00:00:05.360 --> 00:00:08.700]  因爲我們知道禰就是我們的神
[00:00:08.700 --> 00:00:10.540]  無論我們在哪裏
[00:00:10.540 --> 00:00:14.040]  無論我們在什麼的情況
[00:00:14.040 --> 00:00:16.880]  禰都是我們的神,沒有改變
[00:00:16.880 --> 00:00:19.540]  所以我們今天打開你的身經
[00:00:19.540 --> 00:00:22.140]  好好地念,好好地明白
[00:00:22.140 --> 00:00:25.760]  你在身經裏頭記錄這個乃曼
[00:00:25.760 --> 00:00:30.560]  祂的生命,祂的經歷要告訴我們是什麼的事情
[00:00:30.560 --> 00:00:33.060]  求禰就打開我們的心
[00:00:33.060 --> 00:00:35.360]  好好對我們的說話
[00:00:35.360 --> 00:00:37.960]  因爲禰就是我們獨一的神
[00:00:37.960 --> 00:00:40.160]  我們所投靠的神
[00:00:40.160 --> 00:00:41.560]  聽我們的禱告
[00:00:41.560 --> 00:00:44.960]  引領我們在以下
[00:00:44.960 --> 00:00:47.060]  我們分享聖經的時候
[00:00:47.060 --> 00:00:50.960]  讓我們明白聖靈對我們的說
[00:00:50.960 --> 00:00:53.960]  奉主耶穌的名求,阿們
[00:00:55.060 --> 00:00:57.660]  剛纔我們看見了聖經
[00:00:57.660 --> 00:01:05.160]  我們先看一看第五章裏頭第一跟第三節
[00:01:05.160 --> 00:01:09.860]  剛纔我們聽見聖經的描述
[00:01:09.860 --> 00:01:13.160]  我們看見這個乃曼
[00:01:13.160 --> 00:01:19.160]  聖經說亞蘭王的元帥乃曼
[00:01:19.160 --> 00:01:24.160]  好像我們看見一個很重要的人出現,是不是
[00:01:24.160 --> 00:01:27.160]  他說是亞蘭王的元帥
[00:01:27.160 --> 00:01:34.160]  這個明清就好像看見一個很隆重的人站在我們的面前
[00:01:34.160 --> 00:01:38.160]  其實隆重貴重的人出場
[00:01:38.160 --> 00:01:43.160]  平常我們都不會很安靜,沒有聲音
[00:01:43.160 --> 00:01:47.160]  而且看見一個穿得很普通的人,是不是
[00:01:47.160 --> 00:01:50.160]  隆重的人就用隆重的方法
[00:01:50.160 --> 00:01:58.160]  所以我想象裏頭就是每一次這個元帥出場的時候
[00:01:58.160 --> 00:02:01.160]  人們都在疏離,是不是
[00:02:01.160 --> 00:02:05.160]  然後很隆重的可能是一陣鼓聲
[00:02:05.160 --> 00:02:10.160]  也可能是很多的歡呼的聲音
[00:02:10.160 --> 00:02:16.160]  元帥,元帥,我們的元帥,乃曼出來了,是不是
[00:02:16.160 --> 00:02:21.160]  平常我們看見一個人就是一個元帥
