
[00:00:00.000 --> 00:00:03.080]  好 今天主人我們一起繼續在當中崇拜
[00:00:03.080 --> 00:00:06.860]  也很開心有很多不同的新朋友來到當中
[00:00:06.860 --> 00:00:08.660]  歡迎你們
[00:00:08.660 --> 00:00:11.660]  好 我們一起有個祈禱
[00:00:11.660 --> 00:00:14.360]  主人我求您去開我們的眼睛
[00:00:14.360 --> 00:00:16.460]  我們需要一個清晰的淑靈的眼睛
[00:00:16.460 --> 00:00:19.000]  去看到上帝您說話的寶貴
[00:00:19.000 --> 00:00:21.800]  或許有時候我們讀聖經好像很沉悶
[00:00:21.800 --> 00:00:24.960]  但原來您的話語是充滿亮光
[00:00:24.960 --> 00:00:26.420]  我們有淑靈的眼睛的時候
[00:00:26.420 --> 00:00:30.560]  我們看得見就知道主人您是何等的愛我們
[00:00:30.560 --> 00:00:32.800]  求您讓我們能夠有這種的體見
[00:00:32.800 --> 00:00:34.800]  幫助我們 聽我們祈禱
[00:00:34.800 --> 00:00:38.600]  奉耶穌名字而求 阿妹
[00:00:38.600 --> 00:00:40.600]  今天跟大家思考的題目是
[00:00:40.600 --> 00:00:42.460]  神必看顧二人
[00:00:42.460 --> 00:00:46.060]  不過在未講到經文的內容之先
[00:00:46.060 --> 00:00:51.820]  我們也希望問一問大家一個問題
[00:00:51.820 --> 00:00:55.520]  不知道大家有沒有經常聽別人說
[00:00:55.520 --> 00:00:57.220]  如果別人罵你
[00:00:57.220 --> 00:00:58.760]  通常會怎樣罵你呢
[00:00:58.760 --> 00:01:01.360]  最惡劣的狀況是什麼呢
[00:01:01.360 --> 00:01:05.020]  罵你祖宗十八代
[00:01:05.020 --> 00:01:07.360]  有沒有聽過別人這樣罵
[00:01:07.360 --> 00:01:10.520]  不過有時候別人罵你祖宗十八代的時候
[00:01:10.520 --> 00:01:11.720]  我就想
[00:01:11.720 --> 00:01:16.000]  究竟你知不知道祖宗十八代是哪十八代
[00:01:16.000 --> 00:01:18.000]  有沒有人知道
[00:01:18.000 --> 00:01:20.900]  我今天已經預備了禮物
[00:01:20.900 --> 00:01:22.000]  你能夠回答我
[00:01:22.000 --> 00:01:25.060]  待會我一定會獎勵你
