
[00:00:00.000 --> 00:00:02.000]  各位弟兄妹早晨
[00:00:02.000 --> 00:00:04.000]  多謝師班跟我們說
[00:00:04.000 --> 00:00:05.000]  唱了詩歌
[00:00:05.000 --> 00:00:07.000]  我們的神是我們的目者
[00:00:07.000 --> 00:00:09.000]  他會怎樣帶領我們的生命呢?
[00:00:09.000 --> 00:00:12.000]  我們的目者亦會給我們一個名字
[00:00:12.000 --> 00:00:15.000]  所以今天我繼續接續我們
[00:00:15.000 --> 00:00:19.000]  呼召與承擔這個議題
[00:00:19.000 --> 00:00:22.000]  當我們思想在哪一個聖經人物裏面
[00:00:22.000 --> 00:00:24.000]  當他領受了上帝的召命
[00:00:24.000 --> 00:00:27.000]  而可以繼續好好地持守下去
[00:00:27.000 --> 00:00:29.000]  去承擔這個召命呢?
[00:00:29.000 --> 00:00:32.000]  我就想起耶利米先知
[00:00:32.000 --> 00:00:35.000]  很多人都會記得耶利米先知
[00:00:35.000 --> 00:00:38.000]  有一個綽號或一個花名
[00:00:38.000 --> 00:00:40.000]  有些人叫他流淚的先知
[00:00:40.000 --> 00:00:42.000]  因為他經常哭
[00:00:42.000 --> 00:00:43.000]  為何經常哭呢?
[00:00:43.000 --> 00:00:45.000]  其實耶利米是生於
[00:00:45.000 --> 00:00:50.000]  主前第六百年附近的時段
[00:00:50.000 --> 00:00:54.000]  他夢照的時間是主前六百二十六年
[00:00:54.000 --> 00:00:56.000]  接著四十年之後
[00:00:56.000 --> 00:00:57.000]  耶路撒冷就淪陷
[00:00:57.000 --> 00:01:00.000]  被北方的巴比倫所滅
[00:01:00.000 --> 00:01:02.000]  如果你熟悉以色列的歷史
[00:01:02.000 --> 00:01:05.000]  你就知道當時南國猶大
[00:01:05.000 --> 00:01:08.000]  是一個很敬拜偶像
[00:01:08.000 --> 00:01:09.000]  背棄律法
[00:01:09.000 --> 00:01:13.000]  受到上帝憤怒的一個國家
[00:01:13.000 --> 00:01:18.000]  北國的以色列已經被亞述帝國滅亡了
[00:01:18.000 --> 00:01:19.000]  百多年
[00:01:19.000 --> 00:01:21.000]  南國的猶大面對著
[00:01:21.000 --> 00:01:23.000]  北方一個很大的新勢力
[00:01:23.000 --> 00:01:26.000]  巴比倫重重欲動
[00:01:26.000 --> 00:01:29.000]  很多先知都代表耶路撒冷宣告
[00:01:29.000 --> 00:01:31.000]  他們要悔改
[00:01:31.000 --> 00:01:34.000]  上帝可以拯救他們
[00:01:34.000 --> 00:01:37.000]  耶利米亦都承擔了先知的積罰
[00:01:37.000 --> 00:01:41.000]  向南國猶大宣告他們要回歸神
[00:01:41.000 --> 00:01:42.000]  放下偶像
[00:01:42.000 --> 00:01:44.000]  但他們卻不聽
[00:01:44.000 --> 00:01:45.000]  相反的
[00:01:45.000 --> 00:01:48.000]  他們繼續不聽耶利米的宣告
[00:01:48.000 --> 00:01:50.000]  還要逼迫耶利米
[00:01:50.000 --> 00:01:52.000]  還要為耶利米賣國賊
[00:01:52.000 --> 00:01:56.000]  上帝怎會用北方的巴比倫來滅我們
[00:01:56.000 --> 00:01:58.000]  所以耶利米在他的生命當中
[00:01:58.000 --> 00:02:00.000]  在先知的生涯當中
[00:02:00.000 --> 00:02:02.000]  受盡了很多苦
[00:02:02.000 --> 00:02:03.000]  被鞭打
[00:02:03.000 --> 00:02:04.000]  被傷害
[00:02:04.000 --> 00:02:06.000]  當我們回看他被傷害的時候
[00:02:06.000 --> 00:02:08.000]  他有幾段經文
[00:02:08.000 --> 00:02:10.000]  我們沒有時間逐一看
