
[00:00:00.000 --> 00:00:03.780]  今天是我們中國人的農曆年初三
[00:00:03.780 --> 00:00:09.740]  今天是中國人的年曆農曆年初三
[00:00:09.740 --> 00:00:11.300]  農曆年初三
[00:00:11.300 --> 00:00:17.700]  我為了應節穿了這包封禮飾和大家來
[00:00:17.700 --> 00:00:22.060]  所以牧師為了應節就穿了好像一個歷史封的樣子見大家
[00:00:22.060 --> 00:00:25.660]  在這裡祝賀弟兄姊妹新年蒙福 主恩常在
[00:00:25.660 --> 00:00:31.420]  在這裡祝賀弟兄姊妹新年蒙福 主恩常在
[00:00:31.420 --> 00:00:36.140]  其實能夠平安健康不是必然的事情
[00:00:36.140 --> 00:00:39.180]  其實可以平安健康不是必然的事情
[00:00:39.180 --> 00:00:43.540]  過年前我去探訪了一位年輕的姐妹
[00:00:43.540 --> 00:00:46.380]  過年前去探訪了一位年輕的姐妹
[00:00:46.380 --> 00:00:51.420]  可能大家在組群上都看到
[00:00:51.420 --> 00:00:56.380]  Matthew 男子兄的堂妹 Matthew 男子兄的堂妹
[00:00:56.380 --> 00:01:01.020]  一個我想是二十三四歲的一個年輕少女
[00:01:01.020 --> 00:01:04.860]  一個年齡就是二十三四歲的年輕少女
[00:01:04.860 --> 00:01:07.020]  上個禮拜一場的交通意外
[00:01:07.020 --> 00:01:09.100]  上個禮拜一場的交通意外
[00:01:09.100 --> 00:01:12.260]  一個現在很嚴重的外傷
[00:01:12.260 --> 00:01:14.980]  所以令她現在有一個很嚴重的外傷
[00:01:14.980 --> 00:01:17.060]  我都希望大家特別為她祈禱
[00:01:17.060 --> 00:01:19.580]  我都希望大家特別為她禱告
[00:01:19.580 --> 00:01:23.580]  她可能要經歷大概六個月至九個月的康復時間
[00:01:23.580 --> 00:01:26.460]  她可能要經歷六到九個月的康復時間
[00:01:26.460 --> 00:01:30.340]  甚至身體受傷的地方可能永久傷殘
[00:01:30.340 --> 00:01:36.660]  也許身體有些地方受傷是令她永久的傷殘
[00:01:36.660 --> 00:01:39.300]  我為她祈禱的時候她就馬上哭了
[00:01:39.300 --> 00:01:41.260]  我為她禱告的時候她就馬上哭了
[00:01:41.260 --> 00:01:45.180]  一個年輕的女子要面對一個她生命很難跨過的關口
[00:01:45.180 --> 00:01:49.140]  一個年輕的女孩子要面對她生命中很難跨過的關口
[00:01:49.140 --> 00:01:51.900]  中國人稱新年為春節
[00:01:51.900 --> 00:01:54.900]  中國人稱新年為春節
[00:01:54.900 --> 00:02:00.020]  通常是農夫種田播種的時間
[00:02:00.020 --> 00:02:03.940]  這是通常農夫種田播種的時間
[00:02:03.940 --> 00:02:09.020]  聖經寫作很多時候都跟農耕的日子相關
