
[00:00:00.000 --> 00:00:03.300]  今日呢就去到8月27號啦
[00:00:03.300 --> 00:00:04.720]  咁我想問下大家喎
[00:00:04.720 --> 00:00:08.860]  其實呢大家呢去到即係暑假嘅當期尾聲喇
[00:00:08.860 --> 00:00:12.720]  有冇捉住呢個夏天嘅尾巴去咗旅行呀
[00:00:12.720 --> 00:00:13.820]  有呀吓
[00:00:13.820 --> 00:00:15.660]  大家去旅行嘅時候呢
[00:00:15.660 --> 00:00:18.360]  我相信大家呢一定要做好準備係咪
[00:00:18.360 --> 00:00:19.360]  買咗咁多錢
[00:00:19.360 --> 00:00:21.320]  買機票訂酒店
[00:00:21.320 --> 00:00:22.960]  預備行程
[00:00:22.960 --> 00:00:25.000]  不過當你去到機場
[00:00:25.000 --> 00:00:27.120]  當你去check in嗰下
[00:00:27.120 --> 00:00:28.460]  打開本passport
[00:00:28.460 --> 00:00:31.700]  發現你嘅旅遊證件過咗期
[00:00:31.700 --> 00:00:34.400]  咁點算呀
[00:00:34.400 --> 00:00:36.160]  跟住返屋企係咪
[00:00:36.160 --> 00:00:39.160]  我哋話呢我哋呢要去出發去旅行嘅時候呢
[00:00:39.160 --> 00:00:43.200]  我哋要為每一樣呢重要嘅事情做好準備
[00:00:43.200 --> 00:00:44.500]  但係當我哋去諗
[00:00:44.500 --> 00:00:47.300]  我哋要為重要嘅事情做準備嘅時候
[00:00:47.300 --> 00:00:50.060]  我哋面對主宰嚟嘅時候
[00:00:50.060 --> 00:00:52.600]  我哋有做好準備未呢
[00:00:52.600 --> 00:00:54.800]  我今日同大家分享一個題目
[00:00:54.800 --> 00:00:58.400]  就係為我嘅未來作準備
[00:00:58.400 --> 00:01:01.200]  為我哋嘅未來做好準備
[00:01:01.200 --> 00:01:03.200]  我所選嘅經文呢
[00:01:03.200 --> 00:01:05.660]  就係《馬太福音》二十五章
[00:01:05.660 --> 00:01:08.300]  十四去到三十節
[00:01:08.300 --> 00:01:09.400]  咁呢段經文呢
[00:01:09.400 --> 00:01:10.700]  個背景就係
[00:01:10.700 --> 00:01:13.800]  耶穌佢預言啦佢預告啦
[00:01:13.800 --> 00:01:17.400]  佢話我將會呢走上十字架受苦受死
[00:01:17.400 --> 00:01:19.100]  我會復活升天
[00:01:19.100 --> 00:01:21.500]  並且我會再返嚟
[00:01:21.500 --> 00:01:23.900]  而耶穌去講呢一句說話
[00:01:23.900 --> 00:01:25.700]  去到啟示錄
[00:01:25.700 --> 00:01:28.900]  最尾即係新約最尾嗰卷書呢
[00:01:28.900 --> 00:01:30.900]  繼續嘅都係講呢一句說話
[00:01:30.900 --> 00:01:31.700]  耶穌話
[00:01:31.700 --> 00:01:33.800]  螢光幕嗰四個字係咩呀
[00:01:33.800 --> 00:01:35.900]  我必快嚟
[00:01:35.900 --> 00:01:36.900]  耶穌話
[00:01:36.900 --> 00:01:38.700]  我必快嚟
[00:01:38.700 --> 00:01:41.400]  當耶穌佢再嚟嘅時候
