
[00:00:00.000 --> 00:00:04.000]  秋天賦,多謝您讓我們能夠再次回到您的說話面前
[00:00:04.000 --> 00:00:09.000]  能夠有這樣的機會去細讀當中的教訓
[00:00:09.000 --> 00:00:14.000]  秋天賦讓我們真的能夠在您的教訓當中尋找出
[00:00:14.000 --> 00:00:22.000]  您讓我們在崇靈的道路上每一個學習的片段當學習的教訓
[00:00:22.000 --> 00:00:27.000]  菩薩我們在每一個時間都有充足的預備
[00:00:27.000 --> 00:00:31.000]  去面對隨時會出現的時空的危機
[00:00:31.000 --> 00:00:32.000]  求祢讓我們同在
[00:00:32.000 --> 00:00:36.000]  讓我們有一個信服天秘受教的心智
[00:00:36.000 --> 00:00:39.000]  當聽盡主祢的教訓之後
[00:00:39.000 --> 00:00:41.000]  我們已經能夠好的消化
[00:00:41.000 --> 00:00:45.000]  在我們的生命生活當中能夠融會半通
[00:00:45.000 --> 00:00:47.000]  求主祢讓我們同在
[00:00:47.000 --> 00:00:49.000]  多謝您讓我們同心的祈禱
[00:00:49.000 --> 00:00:53.000]  感謝同主耶穌基督得聖賢子
[00:01:19.000 --> 00:01:23.000]  並且去讓人看見屬於神的子民
[00:01:23.000 --> 00:01:24.000]  神的審判是彌臨
[00:01:24.000 --> 00:01:26.000]  而真是來到第十五章的時候
[00:01:26.000 --> 00:01:32.000]  我們就發覺原來這個就是真是神的審判的開頭的時間
[00:01:32.000 --> 00:01:35.000]  在我們回到這段聖經之前
[00:01:35.000 --> 00:01:39.000]  讓我們先去看看今天我們教會所處的侍奉的光景
[00:01:39.000 --> 00:01:45.000]  因為在第十五章開始也講到教會的信徒怎樣去參與侍奉
[00:01:45.000 --> 00:01:51.000]  今天的教會的侍奉的侍奉可謂有五花八門
[00:01:51.000 --> 00:01:54.000]  有最原始的我們所說的
[00:01:54.000 --> 00:01:57.000]  崇拜、讀經、主教學
[00:01:57.000 --> 00:01:59.000]  這一類型的活動
[00:01:59.000 --> 00:02:01.000]  以至於近年比較流行的
[00:02:01.000 --> 00:02:03.000]  譬如去西伯利亞
[00:02:03.000 --> 00:02:10.000]  或者阿拉斯加、加勒比海旅遊式的一種侍奉模式
[00:02:10.000 --> 00:02:16.000]  或者報道模式、信徒退休模式等等
[00:02:16.000 --> 00:02:21.000]  教會從過去的日子以集中氣去教導神的話
[00:02:21.000 --> 00:02:27.000]  至到今天漸漸為了迎合信徒的口味
[00:02:27.000 --> 00:02:35.000]  這個改變造成了教會以迎合人的喜悅
