
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 我們一起先低頭祈禱
[00:00:03.000 --> 00:00:06.000]  天父願祢帶領我們
[00:00:06.000 --> 00:00:10.000]  將今天我們要聽的聖經信息的內容
[00:00:10.000 --> 00:00:12.000]  交到你的手中
[00:00:12.000 --> 00:00:14.000]  願祢給我們有領受的心
[00:00:14.000 --> 00:00:16.000]  有聆聽的耳朵
[00:00:16.000 --> 00:00:18.000]  將僕人交到你的手中
[00:00:18.000 --> 00:00:21.000]  給我們所聽的所說的
[00:00:21.000 --> 00:00:23.000]  都是一齊面前 在神面前夢寓
[00:00:23.000 --> 00:00:26.000]  奉耶穌基督的祈求 阿們
[00:00:26.000 --> 00:00:31.000]  好了 今天我們繼續去思想傳道書第六章的時候
[00:00:31.000 --> 00:00:34.000]  剛才已經讀過傳道書第六章
[00:00:34.000 --> 00:00:41.000]  這一章基本上都是一章非常之陰暗的一章
[00:00:41.000 --> 00:00:44.000]  即是它當中所講到的事情
[00:00:44.000 --> 00:00:48.000]  其實是很多時候如果有得選
[00:00:48.000 --> 00:00:51.000]  我們都不想去討論 不想去講的
[00:00:51.000 --> 00:00:58.000]  但是我覺得正正就是因為我們很少去正面去面對的時候
[00:00:58.000 --> 00:01:02.000]  傳道書就好像給我們一個當頭棒喝
[00:01:02.000 --> 00:01:04.000]  要真的敲一敲你的頭
[00:01:04.000 --> 00:01:07.000]  喂 你看那些是真實的
[00:01:07.000 --> 00:01:10.000]  那我們一齊來到思想
[00:01:10.000 --> 00:01:13.000]  今天傳道書這裡所講的
[00:01:13.000 --> 00:01:17.000]  特別其實好像今天我所給的題目
[00:01:17.000 --> 00:01:19.000]  就講到死亡的悲哀
[00:01:19.000 --> 00:01:23.000]  其實這一章整章跟死很有關係
[00:01:23.000 --> 00:01:26.000]  即是不單止是中國人
[00:01:26.000 --> 00:01:29.000]  其實在外國人都有這樣的觀念
[00:01:29.000 --> 00:01:35.000]  對於死亡這個話題都比較少去正面面對
[00:01:35.000 --> 00:01:42.000]  因為人總是對於死亡有一種恐懼也好
[00:01:42.000 --> 00:01:45.000]  覺得不能夠掌握也好
[00:01:45.000 --> 00:01:50.000]  所以既然都不能夠掌握又不知道
[00:01:50.000 --> 00:01:52.000]  未知生便焉知死
[00:01:52.000 --> 00:01:54.000]  何須要講呢
[00:01:54.000 --> 00:01:57.000]  這是孔夫子教我們的態度
[00:01:57.000 --> 00:02:03.000]  但是聖經就不是這樣看的
[00:02:03.000 --> 00:02:05.000]  聖經就不是這樣看
[00:02:05.000 --> 00:02:10.000]  事實上當我去預備這一章的經文的時候
[00:02:10.000 --> 00:02:13.000]  我想到死亡這個態度的時候
[00:02:13.000 --> 00:02:16.000]  我就發覺一個很真實的事情
[00:02:16.000 --> 00:02:21.000]  就是對於大部分的人來說
[00:02:21.000 --> 00:02:25.000]  死亡都是很抽象
[00:02:25.000 --> 00:02:28.000]  抽象的意思就是說是不真實的
[00:02:28.000 --> 00:02:32.000]  有一個希臘的哲學家爾比古勞
[00:02:32.000 --> 00:02:37.000]  他曾經說過死亡根本就是不存在的
[00:02:37.000 --> 00:02:43.000]  這個人說了一些廢話為什麼死亡不存在
[00:02:43.000 --> 00:02:44.000]  每個人都會死的
[00:02:44.000 --> 00:02:46.000]  他解釋了
[00:02:46.000 --> 00:02:50.000]  他說當你還沒死的時候
[00:02:50.000 --> 00:02:52.000]  那就是死亡不存在
[00:02:52.000 --> 00:02:55.000]  當你死的時候你也不知道
[00:02:55.000 --> 00:02:57.000]  那也是不存在
[00:02:57.000 --> 00:02:59.000]  意思就是其實因為爾比古勞
[00:02:59.000 --> 00:03:02.000]  他整天聖經都有這個名字的
[00:03:02.000 --> 00:03:04.000]  即是保羅在雅典那裡跟別人辯論
[00:03:04.000 --> 00:03:06.000]  有講到爾比古勞派
