
[00:00:00.000 --> 00:00:02.000]  第一次會議平安
[00:00:02.000 --> 00:00:09.000]  感恩我們能夠有機會在這裡敬拜
[00:00:09.000 --> 00:00:11.000]  思想上帝的說話
[00:00:11.000 --> 00:00:14.000]  我們一起有一個簡單的祈禱
[00:00:14.000 --> 00:00:16.000]  主我們求祢
[00:00:16.000 --> 00:00:20.000]  當我們打開聖經思想祢的說話的時候
[00:00:20.000 --> 00:00:22.000]  聖靈都感動我們
[00:00:22.000 --> 00:00:26.000]  讓我們從心裡面去應和
[00:00:26.000 --> 00:00:29.000]  用行動來去回應
[00:00:29.000 --> 00:00:34.000]  上主祢自己對我們的吩咐
[00:00:34.000 --> 00:00:35.000]  我們的教導
[00:00:35.000 --> 00:00:37.000]  願講的和聽的
[00:00:37.000 --> 00:00:42.000]  都一同遵依主祢自己的旨意
[00:00:42.000 --> 00:00:44.000]  祈禱奉耶穌基督的名
[00:00:44.000 --> 00:00:46.000]  誠心所願
[00:00:46.000 --> 00:00:51.000]  今天我們讀的聖經馬可福音第二章
[00:00:51.000 --> 00:00:54.000]  剛才主席讀了第一至五節
[00:00:54.000 --> 00:00:56.000]  當我預備的時候
[00:00:56.000 --> 00:01:02.000]  我給的經文應該去到十二節才完整
[00:01:02.000 --> 00:01:04.000]  所以大家可以打開聖經
[00:01:04.000 --> 00:01:13.000]  我的講道裡面要涉及的是
[00:01:13.000 --> 00:01:16.000]  第一節至十二節
[00:01:16.000 --> 00:01:20.000]  我讀完第六節至十二節出來
[00:01:20.000 --> 00:01:26.000]  有幾個文士坐在那裡心裡議論說
[00:01:26.000 --> 00:01:28.000]  這人為什麼這樣說呢
[00:01:28.000 --> 00:01:29.000]  他說說俗的話了
[00:01:29.000 --> 00:01:32.000]  除了神一位之外誰能赦罪呢
[00:01:32.000 --> 00:01:37.000]  耶穌心中立刻知道他們心裡這樣議論就說
[00:01:37.000 --> 00:01:40.000]  你們心裡為什麼這樣議論呢
[00:01:40.000 --> 00:01:42.000]  對坦子說你的罪赦了
[00:01:42.000 --> 00:01:45.000]  或說喜來拿你的玉子行走
[00:01:45.000 --> 00:01:47.000]  哪一樣容易呢
[00:01:47.000 --> 00:01:51.000]  但要讓你們知道人子在地上有赦罪的權柄
[00:01:51.000 --> 00:01:53.000]  在對坦子說
[00:01:53.000 --> 00:01:56.000]  我吩咐你喜來拿你的玉子回家去吧
[00:01:56.000 --> 00:01:58.000]  那人就喜來立刻拿著玉子
[00:01:58.000 --> 00:02:01.000]  當著眾人面前出去了
[00:02:01.000 --> 00:02:04.000]  以致眾人都驚其歸榮耀給神說
[00:02:04.000 --> 00:02:08.000]  我們從來沒有見過這樣的事
[00:02:08.000 --> 00:02:11.000]  一會兒我們會詩上這段聖經
