
[00:00:00.000 --> 00:00:04.540]  尊禮 長者同弟兄姊妹平安
[00:00:04.540 --> 00:00:07.300]  今日同你們分享一個題目是
[00:00:07.300 --> 00:00:09.660]  教會生活的指南
[00:00:09.660 --> 00:00:11.140]  我們如果講到教會
[00:00:11.140 --> 00:00:14.060]  我們一定會想到教會應該有小組
[00:00:14.060 --> 00:00:17.860]  應該有團體 應該有敬拜
[00:00:17.860 --> 00:00:19.000]  這些這些東西
[00:00:19.000 --> 00:00:24.960]  但是如果我們只是想有這些東西
[00:00:24.960 --> 00:00:30.800]  有沒有生活來講呢 就變成一個活動
[00:00:30.800 --> 00:00:35.600]  不是真正的基督徒或332的生活
[00:00:35.600 --> 00:00:39.900]  所以今日我要和你們在希伯來區
[00:00:39.900 --> 00:00:44.960]  來看看332要給我們在教會的生活
[00:00:44.960 --> 00:00:46.460]  是什麼氣氛
[00:00:46.460 --> 00:00:52.600]  或者我們應該在教會有什麼
[00:00:52.600 --> 00:00:54.860]  或者小組有什麼生活呢
[00:00:54.860 --> 00:00:58.660]  我們在希伯來區 希伯來區的目的
[00:00:58.660 --> 00:01:01.060]  如果我們看希伯來區
[00:01:01.060 --> 00:01:03.860]  他的作者到現在
[00:01:03.860 --> 00:01:08.160]  還不知道確定是哪個作者
[00:01:08.160 --> 00:01:11.220]  但是我們知道他寫的對象是
[00:01:11.220 --> 00:01:13.100]  猶太人的基督徒
[00:01:13.100 --> 00:01:14.260]  所以我們不是
[00:01:14.260 --> 00:01:18.300]  如果有些人跟我們講猶太人的時候
[00:01:18.300 --> 00:01:20.760]  可能我們以為猶太人
[00:01:20.760 --> 00:01:24.500]  不是基督徒 是猶太人 猶太教徒
[00:01:24.500 --> 00:01:26.860]  不是一定 因為我們要記得
[00:01:26.860 --> 00:01:34.720]  當時主耶穌叫門徒傳福音出去的時候
[00:01:34.720 --> 00:01:37.960]  他們是對猶太人傳福音的
[00:01:37.960 --> 00:01:40.560]  所以是有猶太人的基督徒的
[00:01:40.560 --> 00:01:44.200]  所以當時希伯來區那個時代
[00:01:44.200 --> 00:01:47.760]  當然有更多的猶太人基督徒
[00:01:47.760 --> 00:01:54.560]  但是他們在猶太人基督徒裡面
[00:01:54.560 --> 00:01:59.620]  他們信耶穌不是很容易的
[00:01:59.620 --> 00:02:06.560]  因為第一他們受到羅馬政府的逼迫
[00:02:06.560 --> 00:02:09.160]  羅馬政府是被逼迫基督徒
[00:02:09.160 --> 00:02:10.960]  當然他們是被逼迫的
[00:02:10.960 --> 00:02:18.960]  不單是這樣 他們是要受到基督徒
[00:02:18.960 --> 00:02:21.580]  不是基督徒的猶太人
[00:02:21.580 --> 00:02:27.780]  因為猶太人不是每一個人都信耶穌基督
[00:02:27.780 --> 00:02:29.580]  有些人是不信的
[00:02:29.580 --> 00:02:32.580]  他們還是猶太教的
[00:02:32.580 --> 00:02:35.280]  所以他們對這些人說
[00:02:35.280 --> 00:02:42.960]  你們真的忘記了你們的主宗不是基督徒
[00:02:42.960 --> 00:02:46.380]  不是基督的 應該是猶太教的
[00:02:46.380 --> 00:02:49.480]  所以他們就排擠他們 攻擊他們
[00:02:49.480 --> 00:02:52.080]  所以因為這樣的情況
[00:02:52.080 --> 00:03:01.080]  這些猶太人基督徒在這樣的情況下
[00:03:01.080 --> 00:03:04.960]  他們就有些信心就失落了
[00:03:04.960 --> 00:03:06.280]  所以他們不但失落
[00:03:06.280 --> 00:03:10.920]  他們說是不是我信錯了耶穌基督
[00:03:10.920 --> 00:03:16.960]  他們有些人想我應該是回到猶太教
[00:03:16.960 --> 00:03:19.720]  找一個猶太教的律法
[00:03:19.720 --> 00:03:23.580]  不應該是信耶穌基督 而是信清義
[00:03:23.580 --> 00:03:25.680]  他們有這樣的信心
[00:03:25.680 --> 00:03:28.120]  因為被逼迫的環境
[00:03:28.120 --> 00:03:30.760]  有這樣的失落 失去的
[00:03:30.760 --> 00:03:34.360]  所以希伯來書作者就寫了這樣的書
[00:03:34.360 --> 00:03:41.560]  就寫了這樣的書
[00:03:41.560 --> 00:03:47.160]  跟他們說請大家讀十九節和二十節
[00:04:03.160 --> 00:04:11.360]  所以作者現在就用這節來解釋基督徒基礎的信仰
[00:04:11.360 --> 00:04:17.560]  他說教育的祭司每一年都要用牛和羊的血
[00:04:17.560 --> 00:04:20.560]  為百姓自己贖罪
[00:04:20.560 --> 00:04:22.760]  因為他們贖罪要流血
[00:04:22.760 --> 00:04:27.760]  流血要用什麼 要用羊和牛
[00:04:27.760 --> 00:04:35.160]  所以每一次都要獻給祭司
[00:04:35.160 --> 00:04:39.160]  但你要知道 祭司每一次去節聖所
[00:04:39.160 --> 00:04:42.760]  只是祭司可以去節聖所 因為他要獻祭
[00:04:42.760 --> 00:04:47.360]  去節聖所 祭司不是很輕鬆地進去的
[00:04:47.360 --> 00:04:51.960]  他是要很害怕地進去的
[00:04:51.960 --> 00:04:54.960]  因為如果你看教育就知道了
[00:04:54.960 --> 00:05:00.360]  祭司進去的時候是有一個繩子綁著他們
[00:05:00.360 --> 00:05:03.760]  綁著他們 外面有一個繩子
[00:05:03.760 --> 00:05:08.360]  因為他一進去 如果他有犯罪或者他有得罪神
[00:05:08.360 --> 00:05:13.560]  他會死在節聖所 誰都不敢進去
[00:05:13.560 --> 00:05:16.760]  他死了怎麼辦
[00:05:16.760 --> 00:05:21.760]  不可以被屍體在裡面攔住
