
[00:00:00.000 --> 00:00:04.340]  感謝天父讓我們透過剛才的一些紀錄片
[00:00:04.340 --> 00:00:09.300]  去看回過去到目前為止
[00:00:09.300 --> 00:00:16.660]  神在尖沙咀心靈堂一些的作為
[00:00:16.660 --> 00:00:18.980]  至於我們現在同在這個地方
[00:00:18.980 --> 00:00:23.260]  為了過去我們不能夠不感恩
[00:00:23.260 --> 00:00:27.860]  但是感恩只是為了自己已經得到一些東西
[00:00:27.860 --> 00:00:30.800]  或者過去的一些體會
[00:00:30.800 --> 00:00:36.960]  我相信這個不是基督徒一個真正的感恩
[00:00:36.960 --> 00:00:40.260]  在奴教篇記載當法利塞人祈禱的時候
[00:00:40.260 --> 00:00:44.240]  他第一句說話
[00:00:44.240 --> 00:00:46.120]  主啊 我感謝你
[00:00:46.120 --> 00:00:48.780]  因為我有食一奉獻
[00:00:48.780 --> 00:00:50.740]  因為我有禁食
[00:00:50.740 --> 00:00:53.700]  他為了過去所做過的事情感恩
[00:00:53.700 --> 00:00:58.160]  但是他沒有為未發生的事情感恩
[00:00:58.160 --> 00:01:00.160]  光蒙赦免的罪人
[00:01:00.160 --> 00:01:03.040]  求你可憐我這個罪人的時候
[00:01:03.040 --> 00:01:06.240]  他要知道他的罪已經犯了
[00:01:06.240 --> 00:01:11.000]  但是將要或者在他祈禱的時候得到赦免
[00:01:11.000 --> 00:01:13.920]  今天我們一起在這個感恩的時刻裏面
[00:01:13.920 --> 00:01:18.480]  看看我們今天的感恩到底是什麼感恩呢?
[00:01:18.480 --> 00:01:21.760]  我們透過歷史上聖經的記載一個人物
[00:01:21.760 --> 00:01:24.340]  阿伯拉罕 我們看看他的生平
[00:01:24.340 --> 00:01:27.280]  因為他剛剛又是75歲
[00:01:27.280 --> 00:01:29.760]  蒙召起行
[00:01:29.760 --> 00:01:32.960]  我們今年75年
[00:01:32.960 --> 00:01:37.660]  感謝神過去這幾天歐柏平牧師帶來的訊息
[00:01:37.660 --> 00:01:39.420]  講得很清楚
[00:01:39.420 --> 00:01:42.280]  那個奉獻可以是小孩子的奉獻
[00:01:42.280 --> 00:01:45.160]  也可以是一個長者的奉獻
