
[00:00:00.000 --> 00:00:04.600]  今年我們教會二十一天醫治步道大會馬上就要開始
[00:00:04.600 --> 00:00:09.600]  可能你會問說爲什麼我們不就是舉辦步道大會就好了
[00:00:09.600 --> 00:00:11.300]  還要加上醫治呢
[00:00:11.300 --> 00:00:13.700]  你知道在過去
[00:00:13.700 --> 00:00:17.100]  中國教會一直是不大注重醫治事工
[00:00:17.100 --> 00:00:22.300]  我覺得最大的一個原因就是因爲缺乏正確的教導
[00:00:22.300 --> 00:00:27.400]  事實上過去影響中國教會最深遠的
[00:00:27.800 --> 00:00:30.700]  就是一種所謂的受苦神學
[00:00:30.700 --> 00:00:34.000]  就認爲受苦是與我們有益的
[00:00:34.000 --> 00:00:36.700]  既然受苦是與我們有益的
[00:00:36.700 --> 00:00:39.900]  那我們就不應該求神挪去這些苦難
[00:00:39.900 --> 00:00:42.400]  我還記得有一次在問題解答的時候
[00:00:42.400 --> 00:00:44.900]  有一位弟兄就問出這樣一個問題
[00:00:44.900 --> 00:00:47.500]  他說既然受苦是與我們有益的
[00:00:47.500 --> 00:00:51.800]  那爲什麼我們需要爲病人禱告尋求醫治呢
[00:00:51.800 --> 00:00:54.400]  其實問這個問題的人
[00:00:54.800 --> 00:01:00.600]  他已經錯誤地把疾病跟受苦混爲一談
[00:01:00.600 --> 00:01:04.600]  以爲疾病就等於受苦
[00:01:04.600 --> 00:01:09.400]  但如果你仔細看我們今天剛剛所讀的經文
[00:01:09.400 --> 00:01:13.700]  你就會發現這兩件事情不見得是有關聯的
[00:01:13.700 --> 00:01:17.900]  十三節雅各在這裏說你們中間有受苦的呢
[00:01:17.900 --> 00:01:19.700]  他就該禱告
[00:01:19.700 --> 00:01:20.900]  爲什麼要禱告
[00:01:20.900 --> 00:01:23.000]  因爲要明白神的心意
[00:01:23.700 --> 00:01:26.800]  可是十四節接下來好像另外一段
[00:01:26.800 --> 00:01:28.900]  但你們中間有病的人呢
