
[00:00:00.000 --> 00:00:02.000]  各位好爸爸
[00:00:02.000 --> 00:00:05.280]  今天是你的日子
[00:00:05.280 --> 00:00:10.000]  各位有爸爸的
[00:00:10.000 --> 00:00:14.360]  都是你的日子
[00:00:14.360 --> 00:00:17.880]  我作為一個爸爸
[00:00:17.880 --> 00:00:20.880]  作為一個grandpa
[00:00:20.880 --> 00:00:23.560]  即是阿公
[00:00:23.560 --> 00:00:27.480]  即是再升一級的爸爸
[00:00:28.800 --> 00:00:30.800]  今天也是我的日子
[00:00:30.800 --> 00:00:33.320]  今天想和大家
[00:00:33.320 --> 00:00:35.880]  吐一下苦水
[00:00:35.880 --> 00:00:40.120]  好爸爸好父親
[00:00:40.120 --> 00:00:42.880]  好難做
[00:00:42.880 --> 00:00:49.480]  不知道你父親的形象是怎樣的呢?
[00:00:49.480 --> 00:00:52.800]  先解釋一下
[00:00:52.800 --> 00:00:55.480]  你當然有爸爸生的
[00:00:55.800 --> 00:00:58.800]  那麼你心目中的爸爸父親的形象
[00:00:58.800 --> 00:01:02.800]  在你心目中是怎樣的呢?
[00:01:02.800 --> 00:01:06.800]  和你什麼關係呢?
[00:01:06.800 --> 00:01:12.800]  如果你是爸爸
[00:01:12.800 --> 00:01:14.800]  即是做父親的話
[00:01:14.800 --> 00:01:16.800]  那麼你的自我形象
[00:01:16.800 --> 00:01:18.800]  你自己是做父親的
[00:01:18.800 --> 00:01:21.800]  那你覺得你自己
[00:01:21.800 --> 00:01:23.800]  做爸爸做得怎樣呢?
[00:01:24.800 --> 00:01:26.800]  是不是自我感覺良好呢?
[00:01:26.800 --> 00:01:28.800]  我都是個好爸爸
[00:01:28.800 --> 00:01:31.800]  或者說我的父親形象低落
[00:01:31.800 --> 00:01:33.800]  即是自己的父親形象低落
[00:01:33.800 --> 00:01:36.800]  今天父親節比起母親節
[00:01:36.800 --> 00:01:39.800]  我的子女對我的待遇
[00:01:39.800 --> 00:01:42.800]  你就令到你形象就很低落
[00:01:42.800 --> 00:01:49.800]  或者說我沒有父親的形象
[00:01:51.800 --> 00:01:54.800]  我的父親是一個absent father
[00:01:54.800 --> 00:01:56.800]  很少見他的
[00:01:56.800 --> 00:01:58.800]  很多原因
[00:01:58.800 --> 00:02:01.800]  父親曾經行船過海
[00:02:01.800 --> 00:02:04.800]  有些太空人
[00:02:04.800 --> 00:02:10.800]  或者有些自小就沒有了父親
[00:02:10.800 --> 00:02:14.800]  你心目中就有一個空缺
[00:02:14.800 --> 00:02:16.800]  有一個空位
[00:02:16.800 --> 00:02:18.800]  我爸爸的形象是怎樣的呢?
[00:02:19.800 --> 00:02:22.800]  我都有那個空缺
[00:02:22.800 --> 00:02:26.800]  因為我小時候就死了爸爸
[00:02:26.800 --> 00:02:29.800]  我爸爸是憑著
[00:02:29.800 --> 00:02:32.800]  那些很有限的印象
[00:02:32.800 --> 00:02:34.800]  看過一些照片
[00:02:34.800 --> 00:02:36.800]  就知道怎樣
[00:02:36.800 --> 00:02:38.800]  但是你父親的形象
[00:02:38.800 --> 00:02:39.800]  我父親的形象
[00:02:39.800 --> 00:02:41.800]  大家一起想想
[00:02:41.800 --> 00:02:44.800]  今天的經文是講父親的形象
[00:02:44.800 --> 00:02:48.800]  我為了尋找父親的形象
[00:02:48.800 --> 00:02:51.800]  我曾經去過兩次
[00:02:51.800 --> 00:02:54.800]  聖彼得堡
[00:02:54.800 --> 00:02:57.800]  那個下宮博物館
[00:02:57.800 --> 00:03:00.800]  那裡有一幅名畫
[00:03:00.800 --> 00:03:02.800]  那幅名畫大家都知道的
[00:03:02.800 --> 00:03:04.800]  叫浪子回頭的名畫
[00:03:04.800 --> 00:03:06.800]  是Ramboin畫的名畫
[00:03:06.800 --> 00:03:08.800]  這一幅名畫
[00:03:08.800 --> 00:03:10.800]  現在是世界之名
[00:03:10.800 --> 00:03:12.800]  尤其是有一個
[00:03:12.800 --> 00:03:14.800]  Henry Lawin劉雲寫了一本書
[00:03:14.800 --> 00:03:17.800]  講他怎樣去到博物館
[00:03:17.800 --> 00:03:19.800]  坐在那裡就抹上這幅畫
[00:03:19.800 --> 00:03:20.800]  寫了一本書
[00:03:20.800 --> 00:03:22.800]  出了名字
[00:03:22.800 --> 00:03:23.800]  好了
[00:03:23.800 --> 00:03:26.800]  無論你有沒有看過這幅畫
[00:03:26.800 --> 00:03:28.800]  有沒有聽過這幅畫的故事
[00:03:28.800 --> 00:03:31.800]  今天都跟大家去想一想
[00:03:31.800 --> 00:03:34.800]  父親的形象
[00:03:34.800 --> 00:03:37.800]  我們就有一個這樣的說法
[00:03:37.800 --> 00:03:40.800]  Like father, like son
[00:03:40.800 --> 00:03:41.800]  是不是?
[00:03:41.800 --> 00:03:43.800]  有其父必有其子
[00:03:43.800 --> 00:03:44.800]  是不是?
[00:03:44.800 --> 00:03:45.800]  那你同不同意?
