
[00:00:00.000 --> 00:00:06.000]  首先要感激中年好師範
[00:00:06.000 --> 00:00:11.000]  代表一宣呈獻這麼好的師哥
[00:00:11.000 --> 00:00:18.000]  原來孫教士是一個人類學家
[00:00:18.000 --> 00:00:23.000]  要研究文化,要去觀察,要去聆聽
[00:00:23.000 --> 00:00:28.000]  要去分析,要去解釋,要去形容
[00:00:28.000 --> 00:00:33.000]  我回來香港才知道英雄出宗年
[00:00:33.000 --> 00:00:38.000]  整個都是宗年的文化,宗年好崇拜
[00:00:38.000 --> 00:00:45.000]  所以我都要學習,繼續用我人類學的眼睛
[00:00:45.000 --> 00:00:50.000]  以德,寧靜,分析
[00:00:50.000 --> 00:00:54.000]  首先我介紹一下我的家人
[00:00:54.000 --> 00:00:58.000]  我們是家人,你看到我是唯一的中文台
[00:00:58.000 --> 00:01:00.000]  其他都是英文台
[00:01:00.000 --> 00:01:04.000]  所以我遊走中英之間,我要中立
[00:01:04.000 --> 00:01:07.000]  好像港島似的,站在中間
[00:01:07.000 --> 00:01:11.000]  牧師提醒我,要站在中間
[00:01:11.000 --> 00:01:16.000]  而我四個孫子裡面,我教他們說中文一句
[00:01:16.000 --> 00:01:19.000]  Yeah, Yeah, 爺爺
[00:01:19.000 --> 00:01:22.000]  所以他叫我爺爺
[00:01:22.000 --> 00:01:27.000]  我是唯一一個留下廣東話
[00:01:27.000 --> 00:01:35.000]  以後我又是Good stuff,完結了
[00:01:35.000 --> 00:01:42.000]  在1991年,我走進一個迷你的世界
[00:01:42.000 --> 00:01:45.000]  孫教士很好玩的,在不同的角度裡面
[00:01:45.000 --> 00:01:49.000]  這個是牛魔王的角度
[00:01:49.000 --> 00:01:53.000]  逛街的時候,牛是大小的
[00:01:53.000 --> 00:01:57.000]  牛不只是大小,無論牠的糞便
[00:01:57.000 --> 00:02:02.000]  無論牠的撒尿的時候,牠都是特別聖潔
[00:02:02.000 --> 00:02:08.000]  有很多嬉皮士是外國人留在印度
[00:02:08.000 --> 00:02:13.000]  跟印度教徒,相信牛尿是潔淨
[00:02:13.000 --> 00:02:15.000]  是幫助有醫療的作用
[00:02:15.000 --> 00:02:19.000]  有一次我真的目睹一個外國人
[00:02:19.000 --> 00:02:23.000]  走去牛,因為牛是奶尿,走去洗臉
[00:02:23.000 --> 00:02:27.000]  你試過用尿洗臉嗎?
[00:02:27.000 --> 00:02:30.000]  印度政府請提倡
[00:02:30.000 --> 00:02:33.000]  如果火車是最方便的交通工具
[00:02:33.000 --> 00:02:35.000]  去提供食物、飲料
[00:02:35.000 --> 00:02:40.000]  就說用100%送牛尿
[00:02:40.000 --> 00:02:44.000]  紙包牛尿就做飲品
[00:02:44.000 --> 00:02:46.000]  我就不贊成
[00:02:46.000 --> 00:02:49.000]  幸好沒有,不然就很困難
[00:02:49.000 --> 00:02:52.000]  但是在印度會很成功
[00:02:52.000 --> 00:02:56.000]  有很多重要的節日,或者重要的節目
[00:02:56.000 --> 00:02:59.000]  有新火,或者有一些事
[00:02:59.000 --> 00:03:02.000]  他們會用牛糞去擦
[00:03:02.000 --> 00:03:06.000]  我問過一個中國的醫生
[00:03:06.000 --> 00:03:09.000]  他在尼泊爾做宣教士
[00:03:09.000 --> 00:03:11.000]  問他,你面對的困難是什麼?
[00:03:11.000 --> 00:03:14.000]  寶寶出生的時候最大困難是
[00:03:14.000 --> 00:03:21.000]  媽媽把牛糞擦在寶寶的肚子裡
[00:03:21.000 --> 00:03:26.000]  在前幾年,當COVID-19流行的時候
[00:03:26.000 --> 00:03:31.000]  很多印度教徒把牛糞擦在身上
[00:03:31.000 --> 00:03:34.000]  南華早報都賣出來了
[00:03:34.000 --> 00:03:43.000]  可以作為醫治疾病
[00:03:43.000 --> 00:03:45.000]  在印度,有很多時候
[00:03:45.000 --> 00:03:47.000]  我都誤會了他們
[00:03:47.000 --> 00:03:49.000]  我都經常被誤會
[00:03:49.000 --> 00:03:51.000]  我的名字叫閻鳳山
[00:03:51.000 --> 00:03:53.000]  我讀書的時候,特別是神學院
[00:03:53.000 --> 00:03:56.000]  有一次,眾多神學院的人合謀
[00:03:56.000 --> 00:04:00.000]  有一個神學生退休日
[00:04:00.000 --> 00:04:03.000]  我呢,宿舍找不到我的名字
[00:04:03.000 --> 00:04:06.000]  原來把我放在女神宿舍裡
[00:04:06.000 --> 00:04:08.000]  我今天都很開心
[00:04:08.000 --> 00:04:10.000]  因為有一個牧師叫孫寶玲
