
[00:00:00.000 --> 00:00:02.540]  歡迎大家來到我們的「周到崇拜」
[00:00:02.540 --> 00:00:04.320]  由去年一月開始
[00:00:04.320 --> 00:00:07.880]  我們一直在研讀《馬可福音》
[00:00:07.880 --> 00:00:12.920]  我們講到的總題是叫做「非凡的見證」
[00:00:12.920 --> 00:00:15.600]  不是因為馬可是一個非凡的作者
[00:00:15.600 --> 00:00:19.840]  而是因為主耶穌基督是一個非凡的救主
[00:00:19.840 --> 00:00:21.600]  今天我們講到的經文是
[00:00:21.600 --> 00:00:25.800]  《馬可福音》第九章第三十至四十二節
[00:00:25.800 --> 00:00:30.940]  講到的題目是「耶穌與門徒在路上」
[00:00:30.940 --> 00:00:34.200]  「耶穌與門徒在路上」
[00:00:34.200 --> 00:00:35.280]  或者你會問
[00:00:35.280 --> 00:00:39.200]  林牧師你說耶穌與門徒在路上
[00:00:39.200 --> 00:00:42.380]  究竟這條路是哪一條路呢?
[00:00:42.380 --> 00:00:45.200]  這條路是什麼樣的呢?
[00:00:45.200 --> 00:00:48.080]  你問得非常好這個問題
[00:00:48.080 --> 00:00:52.400]  而這個問題的答案也是整篇道的一個關鍵
[00:00:52.400 --> 00:00:56.120]  今天有很多基督徒他們都很喜歡一句金句
[00:00:56.120 --> 00:00:58.760]  《馬可福音》第十四章第六節這樣講
[00:00:58.760 --> 00:01:03.800]  「耶穌對他們說:我就是道路、真理、生命」
[00:01:03.800 --> 00:01:08.200]  所以有很多人很喜歡說耶穌就是他們的道路
[00:01:08.200 --> 00:01:11.880]  他們還很喜歡和其他人見證
[00:01:11.880 --> 00:01:17.520]  見證耶穌是怎樣帶領他們在這條生命的路上行走
[00:01:17.520 --> 00:01:19.280]  但是問題來了
[00:01:19.280 --> 00:01:22.040]  究竟這條路是什麼樣的路
[00:01:22.040 --> 00:01:24.960]  究竟你正在走的那條路是不是聖經那條路
[00:01:24.960 --> 00:01:27.920]  是不是耶穌基督要你走
[00:01:27.920 --> 00:01:30.840]  和你走的那條路
[00:01:30.840 --> 00:01:36.760]  這是我今天想和大家一起思想的經文
[00:01:36.760 --> 00:01:40.640]  《馬可福音》第九章第三十節這樣開始
[00:01:40.640 --> 00:01:44.080]  「他們離開那地方經過加尼尼」
[00:01:44.080 --> 00:01:48.000]  第三十三節「他們來到加伯隆」
[00:01:48.000 --> 00:01:49.680]  故事開始的時候
[00:01:49.680 --> 00:01:53.880]  耶穌帶領著他的門徒在路上行走
[00:01:53.880 --> 00:01:55.680]  他們離開了一個地方
[00:01:55.680 --> 00:01:58.000]  他們經過了加尼尼
[00:01:58.000 --> 00:02:01.080]  他們來到了加伯隆
[00:02:01.080 --> 00:02:03.280]  你可以想像耶穌和他的門徒
[00:02:03.280 --> 00:02:05.960]  其實他們出差去做事工
[00:02:05.960 --> 00:02:09.720]  去港島都已經有好幾個月的時候
[00:02:09.720 --> 00:02:14.280]  現在終於他們有機會回來自己的家
[00:02:14.280 --> 00:02:16.160]  在《馬可福音》裡面
[00:02:16.160 --> 00:02:18.760]  加伯隆這個地方出現過兩次
[00:02:18.760 --> 00:02:20.320]  這次是第二次
[00:02:20.320 --> 00:02:21.760]  第一次我不知道你記不記得
[00:02:21.760 --> 00:02:25.840]  第一次加伯隆的出現在哪裡
[00:02:25.840 --> 00:02:27.440]  在《馬可福音》的第一章
[00:02:27.440 --> 00:02:28.760]  在第一章裡面
[00:02:28.760 --> 00:02:32.640]  耶穌行了第一件在《馬可福音》裡面的神蹟
[00:02:32.640 --> 00:02:34.480]  就在加伯隆那裡
[00:02:34.480 --> 00:02:35.880]  在加伯隆的那一天
[00:02:35.880 --> 00:02:37.120]  在安息日裡面
[00:02:37.120 --> 00:02:40.000]  耶穌進入了一個會堂
[00:02:40.000 --> 00:02:44.560]  他用上帝給他的權能的教訓
[00:02:44.560 --> 00:02:47.400]  不僅是那些民事的教導
[00:02:47.400 --> 00:02:50.760]  是他權能的教導
[00:02:50.760 --> 00:02:53.800]  而在同時有隻烏鬼出來
[00:02:53.800 --> 00:02:57.200]  於是耶穌不僅是權能的港島
[00:02:57.200 --> 00:02:59.800]  也是權能的港鬼
[00:02:59.800 --> 00:03:01.600]  望完一晚之後
[00:03:01.600 --> 00:03:02.880]  一天之後
[00:03:02.880 --> 00:03:05.520]  耶穌回到西門彼得的家
[00:03:05.520 --> 00:03:07.080]  你記不記得那個故事
[00:03:07.080 --> 00:03:10.920]  接著西門彼得的惡母又病了
[00:03:10.920 --> 00:03:14.240]  於是耶穌將她治好
[00:03:14.240 --> 00:03:15.200]  治完之後
[00:03:15.200 --> 00:03:16.720]  西門彼得的惡母
[00:03:16.720 --> 00:03:21.360]  還立刻起來服侍他們
[00:03:21.360 --> 00:03:25.680]  你一想起西門彼得惡母那一餐
[00:03:25.680 --> 00:03:27.360]  就真的流口水了
[00:03:27.360 --> 00:03:29.760]  難怪耶穌這麼想回家
[00:03:29.760 --> 00:03:31.320]  這麼想、這麼期待
[00:03:31.320 --> 00:03:34.960]  帶著門徒一起回到加伯隆
[00:03:34.960 --> 00:03:38.480]  有家的味道
[00:03:38.480 --> 00:03:41.040]  我想你留意第九章第三十節
[00:03:41.040 --> 00:03:43.760]  他說「他們離開那地方」
[00:03:43.760 --> 00:03:47.760]  你記不記得「那地方」是哪一個地方
[00:03:47.760 --> 00:03:50.120]  如果你回去看上下文
[00:03:50.120 --> 00:03:51.320]  看看上文的時候
[00:03:51.320 --> 00:03:54.760]  你會發現「那地方」是高山
[00:03:54.760 --> 00:03:58.040]  是一個不知名的高山
[00:03:58.040 --> 00:03:59.640]  在這個高山之上
[00:03:59.640 --> 00:04:05.040]  耶穌自編、自導、自演了一場天國的劇場
[00:04:05.040 --> 00:04:06.200]  早幾個星期
[00:04:06.200 --> 00:04:08.680]  我們一起看過這個天國的劇場
[00:04:08.680 --> 00:04:12.120]  題目叫做「登山變象」
[00:04:12.120 --> 00:04:14.720]  「登山變象」是關於什麼的
[00:04:14.720 --> 00:04:16.560]  我不知道你有沒有記得
[00:04:16.560 --> 00:04:18.840]  我幾個星期前所說的
[00:04:18.840 --> 00:04:22.080]  「登山變象」所說的是
[00:04:22.080 --> 00:04:24.520]  耶穌基督的受死復活
[00:04:24.520 --> 00:04:28.320]  耶穌基督在天上、在山上登山變象
[00:04:28.320 --> 00:04:30.960]  彰顯了祂復活的榮耀
[00:04:30.960 --> 00:04:32.360]  但是說祂要復活
[00:04:32.360 --> 00:04:37.280]  即是告訴我們祂先要為我們受死
[00:04:37.280 --> 00:04:39.800]  所以在整個故事的背景
[00:04:39.800 --> 00:04:42.000]  整個旅程的背景裡面
[00:04:42.000 --> 00:04:45.880]  有這個登山變象的一個圖畫
[00:04:45.880 --> 00:04:47.280]  這個登山變象
[00:04:47.280 --> 00:04:49.480]  這個受死復活的圖畫
[00:04:49.480 --> 00:04:53.280]  是我們明白整個故事的關鍵
[00:04:53.280 --> 00:04:55.120]  我想帶你去看一下
