
[00:00:00.000 --> 00:00:04.040]  多謝各位平安,我們先一齊祈禱
[00:00:04.040 --> 00:00:08.360]  再次感謝暫領者恩典,讓我們在主一日的清晨
[00:00:08.360 --> 00:00:13.320]  可以一同聚集敬拜祢,亦可以聆聽祢的話語
[00:00:13.320 --> 00:00:17.080]  祈求聖靈幫助我們明白祢的教導
[00:00:17.080 --> 00:00:20.080]  奉耶穌基督的名,祈禱,阿們
[00:00:26.080 --> 00:00:31.080]  今日我們講恩典管道的禱告
[00:00:31.080 --> 00:00:36.080]  我們信了主的人,當然有主的恩典
[00:00:36.080 --> 00:00:40.080]  在我們的生命和生活中
[00:00:40.080 --> 00:00:44.080]  在二弗所第一章保羅提到
[00:00:44.080 --> 00:00:50.080]  他在基督裡曾把天上各樣屬靈的福氣賜給我們
[00:00:50.080 --> 00:00:55.080]  因為祂從創世以前在基督裡揀選了我們
[00:00:55.080 --> 00:01:02.080]  在我們在丹裡面成為聖傑,沒有瑕疵,滿有愛心
[00:01:02.080 --> 00:01:10.080]  各樣屬靈的福氣包括今生和來生的福氣
[00:01:10.080 --> 00:01:18.080]  今生的福氣包括蒙救贖,過犯得以赦免的恩典
[00:01:18.080 --> 00:01:23.080]  雖然保羅沒有直接提到禱告的恩典
[00:01:23.080 --> 00:01:29.080]  但保羅自己是一個經常禱告的人
[00:01:29.080 --> 00:01:33.080]  雖然在寫信,但裡面有很多禱告
[00:01:33.080 --> 00:01:37.080]  在第一章十五至二十三節
[00:01:37.080 --> 00:01:44.080]  他為二弗所教會做了幾場禱告
[00:01:44.080 --> 00:01:48.080]  然後在二章一至三章十三節
[00:01:48.080 --> 00:01:52.080]  保羅提到救贖的恩典
[00:01:52.080 --> 00:01:56.080]  還有他自己是蒙召成為使徒
[00:01:56.080 --> 00:02:00.080]  可以傳揚福音奧秘的恩典
[00:02:00.080 --> 00:02:03.080]  接下來就是今天的經文
[00:02:03.080 --> 00:02:05.080]  他在說什麼呢?
[00:02:05.080 --> 00:02:09.080]  沒有說,他在禱告,又是禱告
[00:02:09.080 --> 00:02:13.080]  禱告真是上帝恩典的管道
[00:02:13.080 --> 00:02:18.080]  我們要從保羅的禱告來學習一下
[00:02:18.080 --> 00:02:20.080]  他是怎樣禱告的
[00:02:20.080 --> 00:02:25.080]  並且我們最近的體驗經文都是讀詩篇
[00:02:25.080 --> 00:02:30.080]  詩篇裡面其實有很多都是禱告和讚美
[00:02:30.080 --> 00:02:33.080]  今天我們讀了詩篇二十六篇
[00:02:33.080 --> 00:02:39.080]  我們都來思想一下其中有關禱告的事
[00:02:39.080 --> 00:02:44.080]  使我們可以學習從禱告當中
[00:02:44.080 --> 00:02:47.080]  來經歷上帝的恩典
[00:02:47.080 --> 00:02:52.080]  我們先來看看保羅和以弗所教會的情況
[00:02:52.080 --> 00:02:59.080]  他們當時是處於一個怎樣的境況當中呢?
[00:02:59.080 --> 00:03:04.080]  在三章十三節
[00:03:04.080 --> 00:03:06.080]  以弗所說三章十三節
[00:03:06.080 --> 00:03:07.080]  保羅說
[00:03:07.080 --> 00:03:18.080]  所以我求你們不要因為我為你們所受的患難, 喪膽, 且原是你們的光榮
[00:03:18.080 --> 00:03:24.080]  當時保羅不是處於一個順境的情況
[00:03:24.080 --> 00:03:28.080]  相反他是處於一個患難當中
[00:03:28.080 --> 00:03:35.080]  他當時應該是在羅馬並且在自己租住的地方坐牢
[00:03:35.080 --> 00:03:40.080]  雖然說自己租住的地方我們今天叫house of rest
