
[00:00:00.000 --> 00:00:03.640]  今天我們會繼續看《希伯來書》
[00:00:03.640 --> 00:00:05.640]  今天我們會講神的道
[00:00:05.640 --> 00:00:08.140]  如何帶我們去成長
[00:00:08.140 --> 00:00:10.940]  今天我的focus良莫比我的經文
[00:00:10.940 --> 00:00:13.540]  其實是在十二、十三節
[00:00:13.540 --> 00:00:15.240]  這段經是這麼說的
[00:00:15.240 --> 00:00:18.640]  它說:要知道神的道是活的
[00:00:18.640 --> 00:00:20.600]  是有功效的
[00:00:20.600 --> 00:00:23.900]  比任何兩人的利劍更鋒利
[00:00:23.900 --> 00:00:28.780]  甚至可以刺入剖開靈魂和靈
[00:00:28.780 --> 00:00:31.100]  撿關節與骨髓
[00:00:31.100 --> 00:00:35.400]  並且能夠辨明心內的思想和意念
[00:00:35.400 --> 00:00:37.440]  受之物在神面前
[00:00:37.440 --> 00:00:39.280]  沒有一樣不是顯明的
[00:00:39.280 --> 00:00:42.580]  萬物在他的眼前都是赤裸
[00:00:42.580 --> 00:00:43.800]  赤裸敞開
[00:00:43.800 --> 00:00:47.200]  我們都必須向他較量
[00:00:47.200 --> 00:00:49.700]  這句經文是《金句》
[00:00:49.700 --> 00:00:51.700]  所謂《金句》是有些經文
[00:00:51.700 --> 00:00:52.840]  我們用得多
[00:00:52.840 --> 00:00:53.840]  被人quote得多
[00:00:53.840 --> 00:00:55.440]  就越來越popular
[00:00:55.440 --> 00:00:58.240]  就成爲一個所謂的《金句》
[00:00:58.240 --> 00:00:59.800]  《金句》有個好處
[00:00:59.800 --> 00:01:00.900]  就是它容易用
[00:01:00.900 --> 00:01:02.100]  容易記
[00:01:02.100 --> 00:01:04.800]  例如《約翰福音》三章十六節
[00:01:04.800 --> 00:01:06.600]  最出名的《金句》
[00:01:06.600 --> 00:01:07.600]  神愛世人
[00:01:07.600 --> 00:01:10.240]  甚至將他的獨生指使給他們
[00:01:10.240 --> 00:01:11.800]  叫所有信他的
[00:01:11.800 --> 00:01:13.940]  不自滅亡反得永生
[00:01:13.940 --> 00:01:16.240]  很多人信主之後
[00:01:16.240 --> 00:01:17.700]  《聖經》沒有讀過一次
[00:01:17.700 --> 00:01:19.780]  但是你會記得那些《金句》
[00:01:19.780 --> 00:01:22.280]  《約翰福音》三章十六節
[00:01:22.280 --> 00:01:23.240]  只要你傳福音
[00:01:23.240 --> 00:01:24.440]  你不用背《聖經》
[00:01:24.440 --> 00:01:26.000]  你只要識這一句
[00:01:26.000 --> 00:01:28.540]  就已經傳到福音了
[00:01:28.540 --> 00:01:30.200]  我們今天看這節經文
[00:01:30.200 --> 00:01:33.100]  也是其中一句很出名的《金句》
[00:01:33.100 --> 00:01:36.200]  《金句》它的好處就是它很容易用
[00:01:36.200 --> 00:01:37.840]  容易記
[00:01:37.840 --> 00:01:39.380]  但是又利又弊
[00:01:39.380 --> 00:01:40.380]  弊的地方就是
[00:01:40.380 --> 00:01:42.740]  因爲《金句》太popular了
[00:01:42.740 --> 00:01:44.840]  就經常被人單獨用
[00:01:44.840 --> 00:01:47.240]  就是從那個上下文的context裏面
[00:01:47.240 --> 00:01:48.580]  拿出來用
[00:01:48.580 --> 00:01:49.480]  用得多
[00:01:49.480 --> 00:01:50.780]  你就自然覺得那個意思
[00:01:50.780 --> 00:01:53.300]  就是那句《金句》的意思
[00:01:53.300 --> 00:01:54.980]  有時候就忘記了
[00:01:54.980 --> 00:01:56.700]  其實將那句《金句》
[00:01:56.700 --> 00:01:59.000]  如果你放回上下文
[00:01:59.000 --> 00:02:01.680]  原來它的意思有點不同
[00:02:01.680 --> 00:02:04.300]  它有更深一層的意義
[00:02:04.300 --> 00:02:05.840]  所以我以前的professor
[00:02:05.840 --> 00:02:07.100]  這個鄧斯汗博士
[00:02:07.100 --> 00:02:08.400]  就特別寫一本書叫做
[00:02:08.400 --> 00:02:11.140]  《常被誤解的金句》
[00:02:11.140 --> 00:02:12.940]  他就說有些金句經常被誤解
[00:02:12.940 --> 00:02:15.880]  你放回去看的時候有更深的意思
[00:02:15.880 --> 00:02:19.180]  我們今天看的這段《金句》也一樣
[00:02:19.180 --> 00:02:21.180]  我so far已經聽了大概
[00:02:21.180 --> 00:02:22.840]  已經超過二十篇
[00:02:22.840 --> 00:02:24.980]  有關這兩節經文的講道
[00:02:24.980 --> 00:02:27.340]  或者一些article
[00:02:27.340 --> 00:02:30.840]  我就發覺基本上所有講道的人
[00:02:30.840 --> 00:02:34.180]  都會單獨抽出這兩段經文來講
[00:02:34.180 --> 00:02:37.880]  成爲本身成爲一篇講章
[00:02:37.880 --> 00:02:40.640]  因爲這段《聖經》的好處就是
[00:02:40.640 --> 00:02:44.380]  這兩節《聖經》本身內容已經很豐富
[00:02:44.380 --> 00:02:46.280]  因爲講道神的話是活的
[00:02:46.280 --> 00:02:48.240]  是有功效的
[00:02:48.240 --> 00:02:49.880]  你很多東西可以發揮
[00:02:49.880 --> 00:02:53.780]  就是神的話可以在你人生很徬徨的時候
[00:02:53.780 --> 00:02:55.380]  點明你的方向
[00:02:55.380 --> 00:02:56.980]  有時候你人生很無力的時候
[00:02:56.980 --> 00:02:58.840]  神的話給你能力
[00:02:58.840 --> 00:03:00.140]  有時候你受傷的時候
[00:03:00.140 --> 00:03:01.980]  神的話給你意志
[00:03:01.980 --> 00:03:03.440]  所以很多東西可以發揮
[00:03:03.440 --> 00:03:05.940]  所以這兩段經文本身成爲一篇講章
