
[00:00:00.000 --> 00:00:04.320]  我們在七月期間有一個兒童聖經班
[00:00:04.320 --> 00:00:05.960]  大家都有幫忙
[00:00:05.960 --> 00:00:08.640]  我感謝那些童工
[00:00:08.640 --> 00:00:13.680]  他們在我們浸泥之前的那一星期舉行
[00:00:13.680 --> 00:00:15.800]  他們付出的辛勞我們感謝他們
[00:00:15.800 --> 00:00:20.640]  剛才那些小朋友都有部份參加這個活動
[00:00:20.640 --> 00:00:22.800]  我期望主耶穌基督在他們心裏面
[00:00:22.800 --> 00:00:24.640]  聖靈在他們心裏面動工
[00:00:24.640 --> 00:00:27.600]  我們不只是教會有
[00:00:27.600 --> 00:00:31.600]  如果我們看看周圍的地方
[00:00:31.600 --> 00:00:33.480]  周圍很多地方都有
[00:00:33.480 --> 00:00:36.280]  就算在烏克蘭都有
[00:00:36.280 --> 00:00:40.360]  烏克蘭那裏在我們八月的
[00:00:40.360 --> 00:00:42.560]  Christianity Today 的雜誌上
[00:00:42.560 --> 00:00:44.000]  都有段文章
[00:00:44.000 --> 00:00:48.720]  它分享了他們在烏克蘭那班童工
[00:00:48.720 --> 00:00:51.160]  他們怎樣為主而侍奉
[00:00:51.160 --> 00:00:53.720]  大家都知道烏克蘭是一個戰場
[00:00:53.720 --> 00:00:56.320]  他們在侍奉當中都很困難
[00:00:56.320 --> 00:00:59.200]  他們在心裏上都有一定的壓力
[00:00:59.200 --> 00:01:01.560]  但是他們在這個環境當中
[00:01:01.560 --> 00:01:04.640]  他們仍然可以為主而做見證
[00:01:04.640 --> 00:01:07.320]  藉著這個福音營
[00:01:07.320 --> 00:01:12.000]  將這個福音去介紹給這班的孤兒
[00:01:12.000 --> 00:01:13.280]  他們都是流離失所
[00:01:13.280 --> 00:01:18.200]  被遷移 因為戰場打仗的關係
[00:01:18.200 --> 00:01:19.960]  他們都要流離失所
[00:01:19.960 --> 00:01:21.000]  很多都是
[00:01:21.000 --> 00:01:23.440]  他們這班童工
[00:01:23.440 --> 00:01:27.480]  怎樣可以在這個用他們的個人見證
[00:01:27.480 --> 00:01:30.160]  用這個聖經的話語當中
[00:01:30.160 --> 00:01:33.800]  在將這個無界限 地方界限
[00:01:33.800 --> 00:01:37.440]  沒有教會宗派的限制之下
[00:01:37.440 --> 00:01:38.760]  因為福音
[00:01:38.760 --> 00:01:41.120]  因為主耶穌基督的話語
[00:01:41.120 --> 00:01:43.080]  藉著這個基礎上面
[00:01:43.080 --> 00:01:45.480]  將這個聖經的信息去介紹
[00:01:45.480 --> 00:01:47.760]  去宣揚出去
[00:01:47.760 --> 00:01:49.160]  保羅在聖經當中
[00:01:49.160 --> 00:01:51.880]  在提摩太后書都鼓勵我們
[00:01:51.880 --> 00:01:55.600]  鼓勵提摩太這位的牧者
[00:01:55.600 --> 00:01:57.000]  以忽所的牧者
[00:01:57.000 --> 00:01:58.680]  怎樣在患難當中
[00:01:58.680 --> 00:02:03.760]  怎樣在這個聖經話語的偏差上面
[00:02:03.760 --> 00:02:05.000]  他們當中有假教師
[00:02:05.000 --> 00:02:07.880]  有離棄真道的童工
[00:02:07.880 --> 00:02:09.160]  在這個環境當中
[00:02:09.160 --> 00:02:10.760]  這個困難當中
[00:02:10.760 --> 00:02:14.320]  他們怎樣去為主而傳揚這個福音
[00:02:14.320 --> 00:02:17.280]  他們 我們在這個主題上面
[00:02:17.280 --> 00:02:21.360]  我們在 今天是第三講
[00:02:21.360 --> 00:02:23.520]  一齊去看提摩太后書
[00:02:23.520 --> 00:02:25.360]  剛才大家所讀的經文當中
[00:02:25.360 --> 00:02:27.440]  在第一節到第七節裏面
[00:02:27.440 --> 00:02:29.840]  都提出了 介紹了
[00:02:29.840 --> 00:02:31.760]  原來在侍奉裏面
[00:02:31.760 --> 00:02:34.880]  我們要從神裏面得到力量
[00:02:34.880 --> 00:02:36.760]  我們一從去祈禱
[00:02:36.760 --> 00:02:41.320]  你繼續去 先繼續去聽神的話語
[00:02:41.320 --> 00:02:42.320]  愛你的主耶穌基督
[00:02:42.320 --> 00:02:43.960]  我們再次感謝你
[00:02:43.960 --> 00:02:45.600]  你藉著使徒保羅
[00:02:45.600 --> 00:02:46.920]  寫下提摩太后書
[00:02:46.920 --> 00:02:48.760]  去鼓勵提摩太
[00:02:48.760 --> 00:02:51.520]  又鼓勵我們當中能夠聽到的
[00:02:51.520 --> 00:02:54.520]  看到聖經的弟兄姊妹和朋友
[00:02:54.520 --> 00:02:57.040]  求神給我們有個聆聽的耳朵
[00:02:57.040 --> 00:02:58.480]  打開我們的心
[00:02:58.480 --> 00:03:00.800]  去明白 去接受這個訊息
[00:03:00.800 --> 00:03:02.560]  求聖靈去幫助我們
[00:03:02.560 --> 00:03:04.560]  求神去捆綁撒旦的作為
[00:03:04.560 --> 00:03:06.720]  好使你的話語能夠釋放
[00:03:06.720 --> 00:03:08.160]  不受捆綁
[00:03:08.160 --> 00:03:09.440]  求你聽我們禱告
[00:03:09.440 --> 00:03:11.800]  帶領我們以下的時間
[00:03:11.800 --> 00:03:13.200]  我們的禱告是奉主耶穌
[00:03:13.200 --> 00:03:14.600]  不死的名字祈求
[00:03:14.600 --> 00:03:15.640]  阿們
[00:03:15.640 --> 00:03:17.680]  真的 我們在主裏面侍奉
[00:03:17.680 --> 00:03:18.880]  是很有困難
[00:03:18.880 --> 00:03:20.880]  很多的苦難能夠遇到
[00:03:20.880 --> 00:03:22.880]  今天我們會看主題的時候
[00:03:22.880 --> 00:03:24.760]  我們再次看回提摩太後書
[00:03:24.760 --> 00:03:26.280]  第1章第8節
[00:03:26.280 --> 00:03:27.280]  我們上個主日
[00:03:27.280 --> 00:03:29.800]  跟他分享了這個訊息
[00:03:29.800 --> 00:03:32.720]  在提摩太後書第1章第8節這樣說
[00:03:32.720 --> 00:03:36.080]  我不以給我們主作見證為恥
[00:03:36.080 --> 00:03:42.080]  也不要以我者為主被囚為的為恥
[00:03:42.080 --> 00:03:43.840]  總要按著神的能力
[00:03:43.840 --> 00:03:48.080]  與我為福音同受苦難
[00:03:48.080 --> 00:03:49.160]  神的能力
[00:03:49.160 --> 00:03:51.760]  藉著福音的能力是何等的大
[00:03:51.760 --> 00:03:54.960]  雖然保羅困在監獄裏面
[00:03:54.960 --> 00:03:58.280]  但是他不是單獨去面對
[00:03:58.280 --> 00:04:01.040]  因為他知道主耶穌基督同在一起
[00:04:01.040 --> 00:04:02.280]  藉著他的能力
[00:04:02.280 --> 00:04:06.160]  可以跨過勝過他所遇到的困難
[00:04:06.160 --> 00:04:08.280]  所以我們今天看第2章的時候
[00:04:08.280 --> 00:04:09.920]  究竟在困難裏面
[00:04:09.920 --> 00:04:11.560]  我們侍奉上面
[00:04:11.560 --> 00:04:13.320]  是活了很多苦難
[00:04:13.320 --> 00:04:15.160]  我們知道是要忍耐
[00:04:15.160 --> 00:04:16.400]  我們在很多會中
[00:04:16.400 --> 00:04:19.240]  我們大軒子媒都知道是要忍耐
[00:04:19.240 --> 00:04:22.240]  但是忍耐的秘訣是什麼呢
[00:04:22.240 --> 00:04:24.120]  其實在提摩太後書第2章
[00:04:24.120 --> 00:04:26.560]  那裏會有一些提示給我們
[00:04:26.560 --> 00:04:28.000]  如果大家手上有聖經的
[00:04:28.000 --> 00:04:29.280]  可以一起打開去讀
[00:04:29.280 --> 00:04:30.320]  一起去看
[00:04:30.320 --> 00:04:32.880]  我們看第2章第1節的時候
[00:04:32.880 --> 00:04:34.760]  剛才大家
[00:04:34.760 --> 00:04:37.360]  師會領大家讀的經文當中
[00:04:37.360 --> 00:04:38.960]  第2章的第1第2節
[00:04:38.960 --> 00:04:42.440]  其實是第1第2章的一個簡介
[00:04:42.440 --> 00:04:45.000]  就是主子的信息在當中
[00:04:45.000 --> 00:04:46.760]  在第1節那裏提到說
[00:04:46.760 --> 00:04:48.480]  「我兒啊」
[00:04:48.480 --> 00:04:51.640]  「你要在基督耶穌的恩典上」
[00:04:51.640 --> 00:04:55.240]  「肝強起來」
[00:04:55.240 --> 00:04:57.080]  原來這個「肝強起來」
[00:04:57.080 --> 00:04:59.760]  我們做一個肝強的僕人的時候
[00:04:59.760 --> 00:05:02.400]  看回這個「肝強」這個字
[00:05:02.400 --> 00:05:03.520]  在文法上面
[00:05:03.520 --> 00:05:06.720]  是一個被動詞
[00:05:06.720 --> 00:05:09.520]  那就是我不是靠自己的能力
[00:05:09.520 --> 00:05:15.800]  是被基督耶穌裏面的恩典
[00:05:15.800 --> 00:05:19.080]  所以我們能夠藉著這個能力
[00:05:19.080 --> 00:05:20.680]  剛才第1章第8節提到
[00:05:20.680 --> 00:05:21.600]  「沒有能力」
[00:05:21.600 --> 00:05:22.560]  藉著他的能力
[00:05:22.560 --> 00:05:24.800]  使我們能夠「strengthen」
[00:05:24.800 --> 00:05:26.440]  「肝強起來」
[00:05:26.440 --> 00:05:29.000]  這個動詞是被動式
[00:05:29.000 --> 00:05:31.000]  是被神的恩典
[00:05:31.000 --> 00:05:32.000]  主耶穌基督的恩典
[00:05:32.000 --> 00:05:33.400]  使我們能夠「肝強起來」
[00:05:33.400 --> 00:05:34.800]  不止這麼簡單
[00:05:34.800 --> 00:05:37.080]  這個是一個命令
[00:05:37.080 --> 00:05:39.360]  「要」是一個命令詞
[00:05:39.360 --> 00:05:42.320]  「提摩太」不是你得到的選擇
[00:05:42.320 --> 00:05:43.920]  是神的話語
[00:05:43.920 --> 00:05:46.920]  是「你要」是一個命令
[00:05:46.920 --> 00:05:48.960]  「你要」被「肝強起來」
[00:05:48.960 --> 00:05:51.920]  被「建立起來」
[00:05:51.920 --> 00:05:54.360]  這個關係不是只是一個
[00:05:54.360 --> 00:05:56.760]  「老師教導學生」
[00:05:56.760 --> 00:05:58.640]  「你要做你就做」
[00:05:58.640 --> 00:05:59.920]  其實這個「提摩太」
[00:05:59.920 --> 00:06:02.280]  和保羅的關係
[00:06:02.280 --> 00:06:05.480]  是一個屬靈父子的關係
[00:06:05.480 --> 00:06:07.480]  所以這個勸勉當
[00:06:07.480 --> 00:06:09.040]  是帶著一個勸勉
[00:06:09.040 --> 00:06:10.320]  一個命令
[00:06:10.320 --> 00:06:12.560]  「你要」藉著主耶穌基督的恩典
[00:06:12.560 --> 00:06:14.120]  能夠「肝強起來」
[00:06:14.120 --> 00:06:17.440]  去面對你的苦難
[00:06:17.440 --> 00:06:19.840]  如同我面對苦難一樣
[00:06:19.840 --> 00:06:21.360]  我們看第二支
[00:06:21.360 --> 00:06:23.680]  你在許多見證人面前
[00:06:23.680 --> 00:06:25.560]  聽到我的教訓
[00:06:25.560 --> 00:06:28.920]  同時你又要教託
[00:06:28.920 --> 00:06:31.760]  忠心能教導別人的人
[00:06:31.760 --> 00:06:33.400]  又是一個命令
[00:06:33.400 --> 00:06:34.800]  告訴他
[00:06:34.800 --> 00:06:36.240]  「提摩太」
[00:06:36.240 --> 00:06:39.280]  你不是自己去面對這個苦難
[00:06:39.280 --> 00:06:41.440]  你侍奉上面遇到很多困難
[00:06:41.440 --> 00:06:42.720]  你不是自己面對
[00:06:42.720 --> 00:06:43.920]  你是從神的恩典
[00:06:43.920 --> 00:06:45.800]  去得到力量 能力
[00:06:45.800 --> 00:06:48.840]  還有你要有個同工團隊
[00:06:48.840 --> 00:06:55.400]  你可以交託你的忠心的同工
[00:06:55.400 --> 00:06:57.160]  那這些同工是怎樣的呢
[00:06:57.160 --> 00:06:59.000]  那夏文就說
[00:06:59.000 --> 00:07:01.040]  就會說 繼續在第二章說
