
[00:00:00.000 --> 00:00:07.000]  在《路加福音》的十四章十六至到耶四節
[00:00:07.000 --> 00:00:10.000]  即是剛才讀之前一段的經文
[00:00:10.000 --> 00:00:17.000]  是講到因為對家人和財產的執著
[00:00:17.000 --> 00:00:25.000]  而人都會很多時拒絕上帝這個福音的筵席
[00:00:25.000 --> 00:00:30.000]  在這裡耶穌提醒他的跟隨者
[00:00:30.000 --> 00:00:36.000]  是要以神國為中心來生活
[00:00:36.000 --> 00:00:40.000]  這裡解釋到這段經文有兩部分
[00:00:40.000 --> 00:00:45.000]  第一部分是二十五至二十七節的經文
[00:00:45.000 --> 00:00:52.000]  耶穌是教導他的門徒要撇下一切來跟隨他
[00:00:52.000 --> 00:01:01.000]  而這裡路加其實在他這卷書都多次來強調這個主題
[00:01:01.000 --> 00:01:04.000]  正如剛才第一段的經文
[00:01:04.000 --> 00:01:10.000]  是講到主他呼召利微成為他的門徒
[00:01:10.000 --> 00:01:14.000]  第二部分是二十八至到三十三節
[00:01:14.000 --> 00:01:19.000]  用一個計算代價的經文作為一個中心思想
[00:01:19.000 --> 00:01:26.000]  人必須要深思熟慮去計算清楚
[00:01:26.000 --> 00:01:31.000]  作為主的門徒要付上什麼代價呢?
[00:01:31.000 --> 00:01:34.000]  你願不願意去跟隨他呢?
[00:01:34.000 --> 00:01:36.000]  你想清楚之後
[00:01:36.000 --> 00:01:41.000]  你就會作出決定會不會繼續去跟隨耶穌
[00:01:41.000 --> 00:01:46.000]  但是一個只會計算代價的人
[00:01:46.000 --> 00:01:53.000]  如果不是將他自己的事情撇下的時候
[00:01:53.000 --> 00:01:59.000]  主說他不配不能夠成為他的門徒
[00:01:59.000 --> 00:02:03.000]  所以蓋留和打仗的比喻
[00:02:03.000 --> 00:02:09.000]  都是指出人不能夠靠著自己的資源、財富
[00:02:09.000 --> 00:02:14.000]  或者家人來建立或者去爭戰
[00:02:14.000 --> 00:02:17.000]  在十四章的二十五節講到
[00:02:17.000 --> 00:02:21.000]  有極多的人仍然在耶穌的身旁
[00:02:21.000 --> 00:02:27.000]  是講到群眾和他們的宗教領袖的分別
[00:02:27.000 --> 00:02:32.000]  自從耶穌在加利利侍奉傳道的日子
[00:02:32.000 --> 00:02:38.000]  花利賽人和民事就不斷和他為敵
[00:02:38.000 --> 00:02:44.000]  他們更加彼此商議如何來處置耶穌
[00:02:44.000 --> 00:02:51.000]  但是群眾卻仍然緊緊跟隨這位主耶穌
[00:02:51.000 --> 00:02:52.000]  聽他講道
[00:02:52.000 --> 00:02:56.000]  正如在路加福音四章四十二節說
[00:02:56.000 --> 00:02:59.000]  耶穌出來走到曠野地方
[00:02:59.000 --> 00:03:01.000]  眾人去找他
[00:03:01.000 --> 00:03:05.000]  到了他那裡要留住他
[00:03:05.000 --> 00:03:07.000]  不要他離開他們
[00:03:07.000 --> 00:03:09.000]  另外五章一節
[00:03:09.000 --> 00:03:12.000]  耶穌站在加利利撒勒湖邊
[00:03:12.000 --> 00:03:15.000]  眾人擁擠他
[00:03:15.000 --> 00:03:17.000]  要聽神的道
[00:03:17.000 --> 00:03:21.000]  主向他們發出呼召
[00:03:21.000 --> 00:03:24.000]  如果要作他的門徒
[00:03:24.000 --> 00:03:26.000]  需要第一
[00:03:26.000 --> 00:03:29.000]  愛主是多過愛自己
[00:03:29.000 --> 00:03:31.000]  或者自己的家人
[00:03:31.000 --> 00:03:33.000]  在二十六節這裡說
[00:03:33.000 --> 00:03:42.000]  人到我這裡來 若不愛我勝過愛自己的父母妻子兒女弟兄姐妹我自己的姓名
[00:03:42.000 --> 00:03:45.000]  就不能作我的門徒
[00:03:45.000 --> 00:03:52.000]  其實耶穌要求門徒將他擺在優先首位
[00:03:52.000 --> 00:03:58.000]  甚至要愛他勝過愛他至親的親人
[00:03:58.000 --> 00:04:01.000]  或者自己的姓名
[00:04:01.000 --> 00:04:04.000]  在猶太人的傳統當中
[00:04:04.000 --> 00:04:10.000]  愛邦人如果要接納去信奉猶太教
[00:04:10.000 --> 00:04:16.000]  他們就要離開自己的父母 妻子 兒女 弟兄 姐妹
[00:04:16.000 --> 00:04:19.000]  甚至他過去的一切
[00:04:19.000 --> 00:04:22.000]  如果有人要成為耶穌的門徒
[00:04:22.000 --> 00:04:29.000]  他就需要改變自己的思想 行為
[00:04:29.000 --> 00:04:34.000]  並且跟隨這一位的救主
[00:04:34.000 --> 00:04:41.000]  何時你會離開你的家人呢?
[00:04:41.000 --> 00:04:45.000]  可能是去外國升學的時候
[00:04:45.000 --> 00:04:49.000]  你追求你的理想
[00:04:49.000 --> 00:04:51.000]  你的夢想
[00:04:51.000 --> 00:04:54.000]  盼望將來學成
[00:04:54.000 --> 00:04:58.000]  可以找到合適自己的工作
[00:04:58.000 --> 00:05:00.000]  學以致用
[00:05:00.000 --> 00:05:04.000]  或者你想做一位社工
[00:05:04.000 --> 00:05:07.000]  一位輔導員
[00:05:07.000 --> 00:05:11.000]  醫生 藥劑師 會計
[00:05:11.000 --> 00:05:14.000]  或者工商管理等等
[00:05:14.000 --> 00:05:18.000]  一位教師
[00:05:18.000 --> 00:05:21.000]  很感恩
[00:05:21.000 --> 00:05:26.000]  我們當中有一班很穩定回來的弟兄姊妹
