
[00:00:00.000 --> 00:00:04.000]  今日跟大家來思想的題目是
[00:00:04.000 --> 00:00:08.000]  「思比愁更為有福」
[00:00:08.000 --> 00:00:11.000]  這句話是保羅記得
[00:00:11.000 --> 00:00:13.000]  是主給他的金句
[00:00:13.000 --> 00:00:15.000]  所以保羅很清楚地說
[00:00:15.000 --> 00:00:19.000]  由當紀念主耶穌的話說
[00:00:19.000 --> 00:00:22.000]  「思比愁更為有福」
[00:00:22.000 --> 00:00:29.000]  這句話是保羅在第三次的旅行報道
[00:00:29.000 --> 00:00:35.000]  當時就去到小亞西亞的土耳其的耳筆所
[00:00:35.000 --> 00:00:37.000]  跟他們道別
[00:00:37.000 --> 00:00:40.000]  因為保羅想去耶路撒冷
[00:00:40.000 --> 00:00:43.000]  上耶路撒冷的時候就有危險
[00:00:43.000 --> 00:00:49.000]  因為耶路撒冷有二萬的信徒在等他
[00:00:49.000 --> 00:00:55.000]  等他就預備去審判他
[00:00:55.000 --> 00:00:59.000]  甚至是迫害他、質問他
[00:00:59.000 --> 00:01:05.000]  為什麼保羅叫那些外邦的信徒
[00:01:05.000 --> 00:01:06.000]  不用守國例
[00:01:06.000 --> 00:01:10.000]  不用守摩西定下的一些規條
[00:01:10.000 --> 00:01:12.000]  所以他去的時候
[00:01:12.000 --> 00:01:14.000]  保羅就面對兩群人
[00:01:14.000 --> 00:01:16.000]  一群是教會的
[00:01:16.000 --> 00:01:19.000]  一群是教會的猶太基督徒
[00:01:19.000 --> 00:01:20.000]  自己人來的
[00:01:20.000 --> 00:01:21.000]  自己人來的
[00:01:21.000 --> 00:01:26.000]  另外一群就是文士、祭司
[00:01:26.000 --> 00:01:29.000]  那些反對耶穌基督是尼塞亞的人
[00:01:29.000 --> 00:01:34.000]  所以兩群人等著保羅圍欄保羅
[00:01:34.000 --> 00:01:40.000]  已經有很多信徒知道保羅這麼偉大的仕途
[00:01:40.000 --> 00:01:41.000]  這麼有恩賜
[00:01:41.000 --> 00:01:43.000]  你不要上耶路撒冷
[00:01:43.000 --> 00:01:47.000]  留在小亞西亞就好了
[00:01:47.000 --> 00:01:48.000]  保羅說不行
[00:01:48.000 --> 00:01:49.000]  不一定要上
[00:01:49.000 --> 00:01:52.000]  結果保羅一去了之後就不回頭了
[00:01:52.000 --> 00:01:53.000]  再沒有自由了
[00:01:53.000 --> 00:01:57.000]  所以自從在第21章開始
[00:01:57.000 --> 00:02:05.000]  保羅的身份就被綑綁了
[00:02:05.000 --> 00:02:07.000]  一直去到羅馬為止
[00:02:07.000 --> 00:02:10.000]  面對這個就要離別的時候
[00:02:10.000 --> 00:02:12.000]  保羅要說什麼話
[00:02:12.000 --> 00:02:16.000]  對著這一群的以弗所教會
[00:02:16.000 --> 00:02:20.000]  而以弗所教會將有一些豺狼進入他們當中
[00:02:20.000 --> 00:02:23.000]  這群人又要侍奉
[00:02:23.000 --> 00:02:25.000]  跟他們說什麼話呢
[00:02:25.000 --> 00:02:27.000]  今天你見到心愛的人
[00:02:27.000 --> 00:02:30.000]  見到你快要離別了
[00:02:30.000 --> 00:02:32.000]  又見到很喜歡的人
[00:02:32.000 --> 00:02:34.000]  你知道有很重要的話要跟他們說
[00:02:34.000 --> 00:02:36.000]  要說什麼呢
[00:02:36.000 --> 00:02:38.000]  一定要說信耶穌
[00:02:38.000 --> 00:02:39.000]  依靠主
[00:02:39.000 --> 00:02:40.000]  祝你平安
[00:02:40.000 --> 00:02:44.000]  大家好好地生活
[00:02:44.000 --> 00:02:45.000]  好好地侍奉
[00:02:45.000 --> 00:02:47.000]  但是保羅就選了這一句
[00:02:47.000 --> 00:02:50.000]  施比受更為有福
[00:02:50.000 --> 00:02:52.000]  所以這句話就很有幫助
[00:02:52.000 --> 00:02:54.000]  一直幫助到我們今天
[00:02:54.000 --> 00:02:57.000]  所以我們很多的信徒都懂得說
[00:02:57.000 --> 00:03:02.000]  施比受更為有福
[00:03:02.000 --> 00:03:05.000]  施比受更為有福是什麼意思呢
[00:03:05.000 --> 00:03:08.000]  第一就是恩惠的道
[00:03:08.000 --> 00:03:10.000]  救贖的恩惠
[00:03:10.000 --> 00:03:13.000]  在20章的28到32節
[00:03:13.000 --> 00:03:15.000]  請大家一起看
[00:03:15.000 --> 00:03:23.000]  《士徒行傳》第20章的28節和32節
[00:03:23.000 --> 00:03:25.000]  同一卷的聖經
[00:03:25.000 --> 00:03:31.000]  《士徒行傳》20章28節和32節
[00:03:31.000 --> 00:03:35.000]  聖靈立你們作全群的監督
[00:03:35.000 --> 00:03:38.000]  你們就當為自己謹慎
[00:03:38.000 --> 00:03:41.000]  也當為全群謹慎
[00:03:41.000 --> 00:03:43.000]  牧養神的教會
[00:03:43.000 --> 00:03:47.000]  就是祂用自己的血所賣來的
[00:03:47.000 --> 00:03:49.000]  或作救贖的
[00:03:49.000 --> 00:03:51.000]  32節
[00:03:51.000 --> 00:03:56.000]  如今我把你們交託神和祂恩惠的道
[00:03:56.000 --> 00:03:58.000]  這道能建立你們
[00:03:58.000 --> 00:04:01.000]  叫你們和一切誠信的人
[00:04:01.000 --> 00:04:04.000]  同得基業
[00:04:04.000 --> 00:04:07.000]  耶穌在《馬太福音》4章16節那裡說
[00:04:07.000 --> 00:04:12.000]  我們是死在罪惡過犯當中
[00:04:12.000 --> 00:04:16.000]  有大光照耀我們
[00:04:16.000 --> 00:04:20.000]  使到我們能夠認識耶穌時基督
[00:04:20.000 --> 00:04:23.000]  接受耶穌的救恩
[00:04:23.000 --> 00:04:25.000]  接受耶穌的救贖
[00:04:25.000 --> 00:04:26.000]  得到救恩
[00:04:26.000 --> 00:04:27.000]  得到恩惠
[00:04:27.000 --> 00:04:30.000]  得到恩惠的道
[00:04:30.000 --> 00:04:37.000]  耶穌的名字就是把人類從罪惡裡拯救出來
[00:04:37.000 --> 00:04:39.000]  所以聽見主的話
[00:04:39.000 --> 00:04:41.000]  接受主的話
[00:04:41.000 --> 00:04:43.000]  就有福了
[00:04:43.000 --> 00:04:46.000]  所以保羅在這裡提醒我們
[00:04:46.000 --> 00:04:49.000]  我們本來是死在罪惡過犯之中的
[00:04:49.000 --> 00:04:54.000]  現在我們得到耶穌基督白白的救恩
[00:04:54.000 --> 00:04:58.000]  我們只要口裡相信
[00:04:58.000 --> 00:05:01.000]  心裡承認
[00:05:01.000 --> 00:05:05.000]  舉手說我要接受耶穌
[00:05:05.000 --> 00:05:09.000]  那就得到一份恩惠的道
[00:05:09.000 --> 00:05:10.000]  是白白的
[00:05:10.000 --> 00:05:13.000]  是不需要任何代價的
[00:05:13.000 --> 00:05:16.000]  不需要任何的金錢的
[00:05:16.000 --> 00:05:19.000]  不需要任何的行為功勞的
[00:05:19.000 --> 00:05:26.000]  只要信就得到一個恩惠的道
[00:05:26.000 --> 00:05:30.000]  以前我覺得有沒有這麼簡單
[00:05:30.000 --> 00:05:33.000]  所以我就笑那些信耶穌的人
[00:05:33.000 --> 00:05:35.000]  見到信耶穌的人就說
[00:05:35.000 --> 00:05:37.000]  信耶穌的舉手
[00:05:37.000 --> 00:05:39.000]  有個人真的舉手
[00:05:39.000 --> 00:05:40.000]  所以每次見到他就說
[00:05:40.000 --> 00:05:42.000]  信耶穌的舉手
[00:05:42.000 --> 00:05:45.000]  神真是興邁不得
[00:05:45.000 --> 00:05:47.000]  神為什麼興邁不得呢
[00:05:47.000 --> 00:05:48.000]  那好吧你玩人吧
[00:05:48.000 --> 00:05:50.000]  叫人家信耶穌的舉手
[00:05:50.000 --> 00:05:52.000]  有一天有個傳說人說
[00:05:52.000 --> 00:05:53.000]  信耶穌舉手
[00:05:53.000 --> 00:05:55.000]  我舉手
[00:05:55.000 --> 00:05:58.000]  真是神有恩典
[00:05:58.000 --> 00:06:00.000]  所以神的恩典真是大
[00:06:00.000 --> 00:06:02.000]  如果有個人玩你
[00:06:02.000 --> 00:06:03.000]  你會怎樣
[00:06:03.000 --> 00:06:04.000]  豈有此理
[00:06:04.000 --> 00:06:05.000]  記住你
[00:06:05.000 --> 00:06:07.000]  死都記住你
[00:06:07.000 --> 00:06:09.000]  如果他傷害了你的心靈
[00:06:09.000 --> 00:06:11.000]  你死都記住他
[00:06:11.000 --> 00:06:13.000]  你一定不會饒恕他的
[00:06:13.000 --> 00:06:15.000]  我玩神
[00:06:15.000 --> 00:06:17.000]  你以前都一樣
[00:06:17.000 --> 00:06:18.000]  笑信耶穌的人
[00:06:18.000 --> 00:06:20.000]  迫害信耶穌的人
[00:06:20.000 --> 00:06:21.000]  不信不信不信
[00:06:21.000 --> 00:06:23.000]  我見到就信
[00:06:23.000 --> 00:06:25.000]  多大膽
[00:06:25.000 --> 00:06:26.000]  見到就信
[00:06:26.000 --> 00:06:27.000]  見到就嚇死你
[00:06:27.000 --> 00:06:31.000]  我在這裏跟上帝說
[00:06:31.000 --> 00:06:33.000]  信耶穌的舉手
[00:06:33.000 --> 00:06:34.000]  現在那個叫我信耶穌的
[00:06:34.000 --> 00:06:35.000]  我舉手
[00:06:35.000 --> 00:06:37.000]  所以耶穌沒有懲罰我
[00:06:37.000 --> 00:06:39.000]  竟然給我福音的道
[00:06:39.000 --> 00:06:40.000]  拯救我
[00:06:40.000 --> 00:06:43.000]  你看這個神是多麼的偉大
[00:06:43.000 --> 00:06:45.000]  多麼的有恩惠
[00:06:45.000 --> 00:06:47.000]  施恩
[00:06:47.000 --> 00:06:48.000]  我們施恩
[00:06:48.000 --> 00:06:49.000]  得到恩惠的人
[00:06:49.000 --> 00:06:51.000]  耶穌又跟我們說
[00:06:51.000 --> 00:06:53.000]  你不要白白得到恩惠
[00:06:53.000 --> 00:06:54.000]  你得到這個恩惠的道
[00:06:54.000 --> 00:06:56.000]  你要使更多的人
[00:06:56.000 --> 00:06:58.000]  得到這個恩惠的道
[00:06:58.000 --> 00:06:59.000]  你得到賞賜
[00:06:59.000 --> 00:07:01.000]  你要使更多的人
[00:07:01.000 --> 00:07:03.000]  得到這個恩惠道的賞賜
[00:07:03.000 --> 00:07:05.000]  那怎樣使人得到賞賜呢
[00:07:05.000 --> 00:07:08.000]  所以我們就要把福音傳出去
[00:07:08.000 --> 00:07:11.000]  想盡辦法
[00:07:11.000 --> 00:07:13.000]  無論是時間
[00:07:13.000 --> 00:07:15.000]  無論是人才
[00:07:15.000 --> 00:07:18.000]  無論是人力物力金錢
[00:07:18.000 --> 00:07:21.000]  都要出去
[00:07:21.000 --> 00:07:22.000]  都要送出去
[00:07:22.000 --> 00:07:24.000]  都要施出去
[00:07:24.000 --> 00:07:27.000]  所以施比受更為有福
[00:07:27.000 --> 00:07:29.000]  所以保羅去傳福音的時候
[00:07:29.000 --> 00:07:32.000]  後面那個耶路撒冷教會
[00:07:32.000 --> 00:07:35.000]  就派他們來到安提阿
[00:07:35.000 --> 00:07:36.000]  小亞西亞
[00:07:36.000 --> 00:07:37.000]  去一個羅馬
[00:07:37.000 --> 00:07:38.000]  去一個希臘
[00:07:38.000 --> 00:07:39.000]  去一個哥林多
[00:07:39.000 --> 00:07:40.000]  這些地方
[00:07:40.000 --> 00:07:41.000]  來到去傳福音
[00:07:41.000 --> 00:07:45.000]  是用人才
[00:07:45.000 --> 00:07:49.000]  用善才來派保羅
[00:07:49.000 --> 00:07:52.000]  巴拿巴等人出去
[00:07:52.000 --> 00:07:53.000]  所以傳福音
[00:07:53.000 --> 00:07:54.000]  福音的工作
[00:07:54.000 --> 00:07:56.000]  教會的工作
[00:07:56.000 --> 00:07:57.000]  教會的工作
[00:07:57.000 --> 00:07:58.000]  聽著
[00:07:58.000 --> 00:07:59.000]  教會的工作
[00:07:59.000 --> 00:08:02.000]  是施比受更為有福
[00:08:02.000 --> 00:08:03.000]  所以教會的工作
[00:08:03.000 --> 00:08:05.000]  是賠錢的工作
[00:08:05.000 --> 00:08:08.000]  是送錢的工作
[00:08:08.000 --> 00:08:10.000]  是賠本的工作
[00:08:10.000 --> 00:08:12.000]  我去到西沙
[00:08:12.000 --> 00:08:15.000]  就很有感覺
[00:08:15.000 --> 00:08:17.000]  派人來
[00:08:17.000 --> 00:08:20.000]  遲些送糖紙給你
[00:08:20.000 --> 00:08:23.000]  所以這個真是賠本的
[00:08:23.000 --> 00:08:24.000]  是賠錢的
[00:08:24.000 --> 00:08:26.000]  是送錢的
[00:08:26.000 --> 00:08:31.000]  教會就好像一個活水的光河
[00:08:31.000 --> 00:08:34.000]  領受主的恩惠
[00:08:34.000 --> 00:08:37.000]  領受主所賜的恩典
[00:08:37.000 --> 00:08:43.000]  好像空氣 百物 雨水 陽光
[00:08:43.000 --> 00:08:46.000]  都是上主給過我們的
[00:08:46.000 --> 00:08:49.000]  所以使得我們一無所缺
[00:08:49.000 --> 00:08:51.000]  所以神將祂的恩惠
[00:08:51.000 --> 00:08:53.000]  因此給好人
[00:08:53.000 --> 00:08:55.000]  亦都給惡人
[00:08:55.000 --> 00:08:56.000]  給信靠的人
[00:08:56.000 --> 00:09:00.000]  亦都給那些不信靠的人
[00:09:00.000 --> 00:09:05.000]  所以我們大家就得到一個恩惠的道
[00:09:05.000 --> 00:09:09.000]  然後我們就要把這個恩惠的道
[00:09:09.000 --> 00:09:12.000]  分享出去
