
[00:00:00.000 --> 00:00:03.080]  首先請大家看看一幅圖片
[00:00:03.080 --> 00:00:08.000]  大家猜一下
[00:00:08.000 --> 00:00:09.280]  或者你認識的
[00:00:09.280 --> 00:00:10.360]  這是什麼花?
[00:00:10.360 --> 00:00:15.520]  我聽到有些正確的
[00:00:15.520 --> 00:00:18.200]  好,再給一張再清楚一點的
[00:00:18.200 --> 00:00:21.520]  下一張圖片呢?
[00:00:21.520 --> 00:00:24.240]  是什麼花?
[00:00:24.240 --> 00:00:25.400]  剛才那幅
[00:00:25.400 --> 00:00:27.560]  《無忘我》是嗎?
[00:00:27.960 --> 00:00:30.920]  是的,《無忘我》,有些人都認得
[00:00:30.920 --> 00:00:34.520]  就是很小的花朵,對不對?
[00:00:34.520 --> 00:00:38.440]  很多時候我來襯托其他的花
[00:00:38.440 --> 00:00:40.080]  我怎樣認識呢?
[00:00:40.080 --> 00:00:42.440]  通常我買花的時候才認識
[00:00:42.440 --> 00:00:44.400]  什麼時候買花呢?
[00:00:44.400 --> 00:00:46.000]  我是掃墓的時候買花
[00:00:46.000 --> 00:00:50.080]  買花的時候,買菊花或者什麼花
[00:00:50.080 --> 00:00:53.120]  然後當然說,你襯襯《無忘我》吧
[00:00:53.120 --> 00:00:55.120]  我就知道它叫《無忘我》
[00:00:55.680 --> 00:00:58.760]  《無忘我》的花語就是
[00:00:58.760 --> 00:01:00.520]  「不要忘記我」
[00:01:00.520 --> 00:01:02.920]  這是真實的愛、永恆的愛
[00:01:02.920 --> 00:01:04.200]  是不會變心的
[00:01:04.200 --> 00:01:05.240]  所以呢
[00:01:05.240 --> 00:01:09.200]  應該不只是掃墓才用的
[00:01:09.200 --> 00:01:10.920]  一般都可以用的時候
[00:01:10.920 --> 00:01:14.080]  都能夠表達自己的那種心情
[00:01:14.080 --> 00:01:16.040]  希望收到的花
[00:01:16.040 --> 00:01:17.880]  都能夠繼續想念我
[00:01:17.880 --> 00:01:21.120]  知道我會帶來給你幸福
[00:01:21.120 --> 00:01:24.240]  今天的題目剛剛相反
[00:01:24.240 --> 00:01:27.560]  就是「主忘記了我」
[00:01:27.560 --> 00:01:29.920]  「主忘記了我」
[00:01:29.920 --> 00:01:34.680]  這是以色列人他們的一個控訴
[00:01:34.680 --> 00:01:37.240]  今天分開三方面去說
[00:01:37.240 --> 00:01:39.600]  第一方面就是
[00:01:39.600 --> 00:01:41.480]  「我卻不忘記你」
[00:01:41.480 --> 00:01:43.880]  是神的一個回應
[00:01:43.880 --> 00:01:45.120]  第二方面呢
[00:01:45.120 --> 00:01:48.080]  「等候我的,必不自羞愧」
