
[00:00:00.000 --> 00:00:02.840]  各位電影姐妹,早安!
[00:00:02.840 --> 00:00:05.400]  Hallelujah,主復活了!
[00:00:05.400 --> 00:00:07.000]  我們試試跟身邊的人說這句,好不好?
[00:00:07.000 --> 00:00:12.280]  Hallelujah,主復活了!
[00:00:12.280 --> 00:00:15.360]  讓我們先做一次同心的禱告
[00:00:15.360 --> 00:00:18.960]  我們的恩主,我們要獻上感恩
[00:00:18.960 --> 00:00:22.320]  因為基督祢今天復活了
[00:00:22.320 --> 00:00:23.720]  祢真正復活了
[00:00:23.720 --> 00:00:25.320]  願祢賜福我們
[00:00:25.320 --> 00:00:27.400]  讓我們今天在崇拜當中
[00:00:27.400 --> 00:00:29.600]  去能夠經歷祢的豐盛
[00:00:29.600 --> 00:00:31.760]  看他們的耳朵,留心聽
[00:00:31.760 --> 00:00:34.720]  看他們的眼睛,能夠瞻仰祢的榮美
[00:00:34.720 --> 00:00:36.120]  看他們的心去領受
[00:00:36.120 --> 00:00:37.600]  以致用行動去回應
[00:00:37.600 --> 00:00:38.720]  猶如部人口中的言語
[00:00:38.720 --> 00:00:40.280]  電影姐妹之間的心思意念
[00:00:40.280 --> 00:00:42.080]  蒙聖靈的啟迪,蒙主的月立
[00:00:42.080 --> 00:00:47.160]  禱告奉耶穌基督的名,阿門
[00:00:47.160 --> 00:00:49.240]  電影姐妹,今天是復活節
[00:00:49.240 --> 00:00:51.720]  對你來說復活節有什麼意義?
[00:00:51.720 --> 00:00:52.800]  或者這樣問
[00:00:52.800 --> 00:00:55.720]  今天你做過什麼特別的事情?
[00:00:55.720 --> 00:01:01.480]  又是回教會,睡晚一點,正在放假
[00:01:01.480 --> 00:01:02.880]  還有什麼呢?
[00:01:02.880 --> 00:01:05.680]  有沒有人收到復活節禮物?
[00:01:05.680 --> 00:01:07.400]  不是很多,是不是?
[00:01:07.400 --> 00:01:09.320]  所以很多人說基督教有兩個節日
[00:01:09.320 --> 00:01:12.280]  一個叫聖誕節,一個叫復活節
[00:01:12.280 --> 00:01:14.920]  你比較喜歡哪一個?
