
[00:00:00.000 --> 00:00:03.840]  剛才我回到教會
[00:00:03.840 --> 00:00:07.680]  我發覺很多房門已經暫時拆掉了
[00:00:07.680 --> 00:00:11.520]  所以就沒有門了
[00:00:11.520 --> 00:00:18.680]  人可以自由地進入辦事處
[00:00:18.680 --> 00:00:25.080]  可以自由地進入牧師室 傳道室
[00:00:25.080 --> 00:00:27.640]  不需要敲門
[00:00:27.640 --> 00:00:32.760]  但是門可以限制人的出入
[00:00:32.760 --> 00:00:37.360]  有些門是很難進入的
[00:00:37.360 --> 00:00:42.480]  譬如那些學校的門是很難進入的
[00:00:42.480 --> 00:00:45.040]  我們千方百計都希望進入一些名校的
[00:00:45.040 --> 00:00:50.160]  但是那些門是不會打開給你的
[00:00:50.160 --> 00:00:56.560]  但是有些門一旦進入之後
[00:00:56.560 --> 00:00:59.360]  就很難離開了
[00:00:59.360 --> 00:01:05.000]  最近這個歐洲爆發難民潮
[00:01:05.000 --> 00:01:10.400]  引起全世界的人的關注
[00:01:10.400 --> 00:01:14.720]  但是大家可否知道
[00:01:14.720 --> 00:01:18.320]  在過去的幾十年
[00:01:18.320 --> 00:01:26.000]  很多的北韓人冒著生命的危險
[00:01:26.000 --> 00:01:29.840]  千方百計地逃亡
[00:01:29.840 --> 00:01:38.800]  希望可以逃出這個極權國家的大門
[00:01:38.800 --> 00:01:47.760]  成功逃離北韓的人有一個特別的稱號
[00:01:47.760 --> 00:01:51.860]  就是脫北者
[00:01:51.860 --> 00:01:55.960]  在這本書裡面
[00:01:55.960 --> 00:02:00.300]  最近買了這本書叫做《我想活得像個人》
[00:02:00.300 --> 00:02:05.940]  我最近買了這本《我想活得像個人》的書本
[00:02:05.940 --> 00:02:08.240]  裡面有很多辛酸的故事
[00:02:08.240 --> 00:02:10.560]  裡面有很多辛酸的故事
[00:02:10.560 --> 00:02:15.920]  我看到其中一個就說一個年輕的北韓的女子
[00:02:15.920 --> 00:02:18.740]  我看到一個年輕的北韓的女子
[00:02:18.740 --> 00:02:22.580]  她為了家中的生計養活她的父母
[00:02:22.580 --> 00:02:26.160]  她為了家中的生計來養活她的父母
[00:02:26.160 --> 00:02:31.540]  不惜被人販賣去到中國北方的農村
[00:02:31.540 --> 00:02:35.380]  不惜被販賣到中國北方的農村
[00:02:35.380 --> 00:02:39.480]  是嫁給一個無農的丈夫
[00:02:39.480 --> 00:02:41.780]  嫁給一個無農的丈夫
[00:02:41.780 --> 00:02:44.340]  簡單來說就是嫁給一個農夫
[00:02:44.340 --> 00:02:46.900]  簡單來說就是嫁給一個農夫
[00:02:46.900 --> 00:02:51.240]  當她進了這個農夫的家門之後
[00:02:51.240 --> 00:02:54.060]  當她進入這個農夫的家門之後
[00:02:54.060 --> 00:02:56.620]  她要做很多粗活
[00:02:56.620 --> 00:03:00.220]  她要幹很多的活 粗重的活
[00:03:00.220 --> 00:03:02.760]  很辛苦 很辛苦的
[00:03:02.760 --> 00:03:04.560]  及後她生了一個女兒
[00:03:04.560 --> 00:03:07.120]  及後她生了一個女兒
[00:03:07.120 --> 00:03:10.460]  但是因為這個女人本身是北韓人
[00:03:10.460 --> 00:03:13.520]  但是這個女人本身是北韓人
[00:03:13.520 --> 00:03:14.800]  她是一個偷渡者
[00:03:14.800 --> 00:03:16.340]  她是一個偷渡者
