
[00:00:00.000 --> 00:00:01.720]  好 各位親愛的大英節目你們好
[00:00:01.720 --> 00:00:04.080]  很開心可以和大家一起分享
[00:00:04.080 --> 00:00:07.080]  今次大會的主題叫「What's Next」
[00:00:07.080 --> 00:00:09.200]  接著會是怎樣呢
[00:00:09.200 --> 00:00:12.000]  我想講一講我未來這幾堂裏面
[00:00:12.000 --> 00:00:14.200]  和大家分享的內容大概是甚麼
[00:00:14.200 --> 00:00:17.760]  今天會講一個很概括的人生
[00:00:17.760 --> 00:00:19.240]  整個過程是怎樣
[00:00:19.240 --> 00:00:22.080]  我們可以怎樣去面對我們的人生
[00:00:22.080 --> 00:00:24.000]  今天是會講到
[00:00:24.000 --> 00:00:26.160]  特別是我們不得不出來工作
[00:00:26.160 --> 00:00:29.360]  工作的時候可能遇到不公平的對待
[00:00:29.360 --> 00:00:31.840]  面對很多誘惑 面對很多試探
[00:00:31.840 --> 00:00:34.160]  你怎樣去面對這些衝擊
[00:00:34.160 --> 00:00:35.840]  而我們特別是本地人
[00:00:35.840 --> 00:00:39.200]  應有的工作態度是怎樣呢
[00:00:39.200 --> 00:00:41.680]  接著有兩堂就是講到疫情
[00:00:41.680 --> 00:00:45.240]  這裏我先問一下有沒有人中過COVID
[00:00:45.240 --> 00:00:49.560]  嘩 好像不自信住這麼多人
[00:00:49.560 --> 00:00:51.560]  好了 我們中了之後又怎樣呢
[00:00:51.560 --> 00:00:53.280]  中了之後又怎樣呢
[00:00:53.280 --> 00:00:55.360]  或者整個國家
[00:00:55.360 --> 00:00:57.240]  特別是英國或者香港
[00:00:57.240 --> 00:01:00.400]  都有不同的處理
[00:01:00.400 --> 00:01:01.960]  究竟COVID之後
[00:01:01.960 --> 00:01:05.040]  我們這堆圖我們可以在疫情當中
[00:01:05.040 --> 00:01:07.840]  或者疫情之後我們可以做些甚麼
[00:01:07.840 --> 00:01:10.280]  還有就是昨天看到有很多人
[00:01:10.280 --> 00:01:12.880]  原來在這兩年才來到英國
[00:01:12.880 --> 00:01:16.280]  我們是一些逃亡或者是流散的人
[00:01:16.280 --> 00:01:20.280]  我們會看看我們在流散來到這裏的時候
[00:01:20.280 --> 00:01:23.400]  我們有些甚麼使命來帶去承擔
[00:01:23.400 --> 00:01:27.120]  我們有些甚麼可以為主來帶去做呢
[00:01:27.120 --> 00:01:29.800]  在崇拜的時候
[00:01:29.800 --> 00:01:32.240]  因為下個星期就會是復活節
[00:01:32.240 --> 00:01:34.640]  我們又會去思想到
[00:01:34.640 --> 00:01:36.800]  一些門徒曾經很失望
[00:01:36.800 --> 00:01:39.240]  甚至想放棄了他們的信仰
[00:01:39.240 --> 00:01:42.400]  但為甚麼後來他們可以得到復興呢
[00:01:42.400 --> 00:01:44.280]  甚至我們探討一個問題
[00:01:44.280 --> 00:01:46.800]  耶穌復活了之後會是怎樣的
[00:01:46.800 --> 00:01:48.640]  為甚麼那些人無法迎會呢
[00:01:48.640 --> 00:01:51.240]  心靈能全又不見了呢
[00:01:51.240 --> 00:01:53.400]  我們都會這樣帶人來探討的
[00:01:53.400 --> 00:01:56.320]  今天先和大家去看
[00:01:56.320 --> 00:02:00.440]  我們人生是被動還是主動
[00:02:00.440 --> 00:02:02.920]  無奈還是享受呢
[00:02:02.920 --> 00:02:04.440]  但這次很特別
[00:02:04.440 --> 00:02:07.800]  我們在分享的時候想和大家唱一首歌
[00:02:07.800 --> 00:02:08.960]  一首很新的歌
[00:02:08.960 --> 00:02:10.400]  所以很多人是沒聽過的
[00:02:10.400 --> 00:02:12.600]  這首歌是很新的
[00:02:12.600 --> 00:02:16.560]  有沒有人聽過這首歌呢
[00:02:16.560 --> 00:02:18.440]  聽過就請舉手好不好
[00:02:18.440 --> 00:02:19.920]  證明它有深度
[00:02:19.920 --> 00:02:21.440]  OK OK 只有一個而已
[00:02:21.440 --> 00:02:23.240]  有三個 OK OK
[00:02:23.240 --> 00:02:24.920]  但不代表年齡的 你知不知道
[00:02:24.920 --> 00:02:26.960]  我問年青人
[00:02:26.960 --> 00:02:30.880]  哪一個是統一了六國
[00:02:30.880 --> 00:02:32.840]  那個是甚麼朝代
[00:02:32.840 --> 00:02:34.320]  秦朝對不對
[00:02:34.320 --> 00:02:36.040]  那你不是秦擁
[00:02:36.040 --> 00:02:39.160]  你知道是秦朝不等於是秦代
[00:02:39.160 --> 00:02:40.360]  所以聽到這首歌
[00:02:40.360 --> 00:02:41.320]  不代表它年齡大
[00:02:41.320 --> 00:02:42.360]  是代表它豐富而已
[00:02:42.360 --> 00:02:43.360]  OK 好不好
[00:02:43.360 --> 00:02:44.560]  OK 好
[00:02:44.560 --> 00:02:46.680]  但這首歌其實很有意思
[00:02:46.680 --> 00:02:49.760]  和大家先解釋這首歌
[00:02:49.760 --> 00:02:50.840]  你可能很討厭
[00:02:50.840 --> 00:02:54.000]  為甚麼這個世界裡面有這麼多的悲哀呢
[00:02:54.000 --> 00:02:56.240]  烏克蘭本來是一個很美麗的地方
[00:02:56.240 --> 00:02:58.800]  但因為普京的入侵
[00:02:58.800 --> 00:03:02.960]  令到很多人受到痛苦
[00:03:02.960 --> 00:03:04.200]  甚至死亡
[00:03:04.200 --> 00:03:06.520]  香港本來是一個很繁榮的城市
[00:03:06.520 --> 00:03:08.920]  但現在是一個驚慌的城市
[00:03:08.920 --> 00:03:10.640]  為甚麼爭鬥不絕
[00:03:10.640 --> 00:03:13.680]  那時人表面對你好
[00:03:13.680 --> 00:03:15.160]  大家都很熟悉的
[00:03:15.160 --> 00:03:17.840]  對著你笑嘰嘰
[00:03:17.840 --> 00:03:19.520]  暗中降毒蛇
[00:03:19.520 --> 00:03:22.080]  人心比萬物都詭詐
[00:03:22.080 --> 00:03:22.920]  壞到極處
[00:03:22.920 --> 00:03:24.880]  誰能釋透呢
[00:03:24.880 --> 00:03:26.720]  我們哪一天才找到烏托邦
[00:03:26.720 --> 00:03:28.240]  烏托邦是一個很理想的地方
[00:03:28.240 --> 00:03:29.480]  中國的蓬萊
[00:03:29.480 --> 00:03:31.800]  但從來沒有出現過
[00:03:31.800 --> 00:03:33.920]  為甚麼傷殯崩壞
[00:03:33.920 --> 00:03:37.760]  我們其實每一個人都會面對老年
[00:03:37.760 --> 00:03:38.480]  不是每一個人
[00:03:38.480 --> 00:03:40.160]  很多人都會面對老年
[00:03:40.160 --> 00:03:42.560]  甚至兩品崩壞
[00:03:42.560 --> 00:03:45.320]  我自己也是一個傷膝的鞭青
[00:03:45.320 --> 00:03:46.440]  即是膝頭都傷了
[00:03:46.440 --> 00:03:47.520]  頭髮已經崩壞
[00:03:47.520 --> 00:03:49.000]  已經是鞭青
[00:03:49.000 --> 00:03:50.440]  青年的邊緣
[00:03:50.440 --> 00:03:51.280]  OK
[00:03:51.280 --> 00:03:54.040]  為甚麼恃白俱樂一張怪模樣
[00:03:54.040 --> 00:03:56.000]  年年春歸無術南春去
[00:03:56.000 --> 00:03:57.560]  不是一整容都可以
[00:03:57.560 --> 00:03:59.400]  但你拉得多遠
[00:03:59.400 --> 00:04:00.760]  這時候
[00:04:00.760 --> 00:04:03.360]  所以有些人不會再把結婚照擺在這裏
[00:04:03.360 --> 00:04:06.800]  因為那個好像不是自己
[00:04:06.800 --> 00:04:09.480]  但很多時都會有生病
[00:04:09.480 --> 00:04:11.680]  何時可以沒有病呢
[00:04:11.680 --> 00:04:14.000]  可能四苦根本是平常
[00:04:14.000 --> 00:04:15.640]  大家知道甚麼是四苦嗎
[00:04:15.640 --> 00:04:16.560]  生老病死
[00:04:16.560 --> 00:04:19.480]  生老病死其實是錯的
[00:04:19.480 --> 00:04:21.920]  我在這裏都想和大家講
[00:04:21.920 --> 00:04:24.480]  一會兒我講完我會探一個人
[00:04:24.480 --> 00:04:27.320]  那是廟東堅一間教會的一個家庭
[00:04:27.320 --> 00:04:29.160]  我上個禮拜跟他們講到的時候
[00:04:29.160 --> 00:04:30.760]  後來有人帶我去探了他
[00:04:30.760 --> 00:04:32.640]  所以我一會兒會探他
[00:04:32.640 --> 00:04:33.880]  這個家庭在香港
[00:04:33.880 --> 00:04:35.520]  即是在香港沒多久
[00:04:35.520 --> 00:04:38.640]  但他十歲的女兒有老危
[00:04:38.640 --> 00:04:43.760]  就因為那個位置是很難去做手術
[00:04:43.760 --> 00:04:46.400]  最近這兩個禮拜已經昏迷了
[00:04:46.400 --> 00:04:48.600]  很可能走到人生的
[00:04:48.600 --> 00:04:50.200]  即是最後一步
[00:04:50.200 --> 00:04:51.640]  所以一會兒我講完之後
[00:04:51.640 --> 00:04:52.680]  我就會去探他
[00:04:52.680 --> 00:04:54.160]  去為他祈禱
[00:04:54.160 --> 00:04:55.520]  所以不是四苦的
[00:04:55.520 --> 00:04:59.040]  可以有生 可以有病 有死
[00:04:59.040 --> 00:05:01.080]  未必一定經過老的
[00:05:01.080 --> 00:05:02.320]  所以 好了
[00:05:02.320 --> 00:05:04.160]  人死了之後去哪裏呢
[00:05:04.160 --> 00:05:06.720]  這個是我媽媽在我小時候
[00:05:06.720 --> 00:05:09.320]  經常問我的一個信仰問題
[00:05:09.320 --> 00:05:11.680]  但她自己是沒有反省的
[00:05:11.680 --> 00:05:13.800]  當我讓她管得很嚴
[00:05:13.800 --> 00:05:15.120]  不可以外出
[00:05:15.120 --> 00:05:17.040]  但當我要幫家裏買東西的時候
[00:05:17.040 --> 00:05:19.840]  其實10分鐘落匯 我就去了一個鐘頭回來
[00:05:19.840 --> 00:05:21.840]  我媽媽還會問我一個信仰問題
[00:05:21.840 --> 00:05:23.040]  你死了去哪裏
[00:05:23.040 --> 00:05:25.120]  這就是信仰問題
[00:05:25.120 --> 00:05:27.600]  你死了去哪裏就是信仰問題
[00:05:27.600 --> 00:05:29.960]  但最大的問題就是
[00:05:29.960 --> 00:05:32.000]  我媽媽很年輕離開世界
[00:05:32.000 --> 00:05:33.480]  很快就沒有親戚了
[00:05:33.480 --> 00:05:35.800]  我昨天剛剛和加拿大的遠東香港人
[00:05:35.800 --> 00:05:37.840]  帶走六個親戚的節目
[00:05:37.840 --> 00:05:40.040]  我媽媽42歲就離開
[00:05:40.040 --> 00:05:42.200]  當我媽媽有癌症的時候
[00:05:42.200 --> 00:05:44.040]  她反而真的問我
[00:05:44.040 --> 00:05:46.400]  我死了之後會去哪裏
[00:05:46.400 --> 00:05:49.760]  所以今天她說得輕飄飄像毛利
[00:05:49.760 --> 00:05:53.080]  但是我們基督徒不是這樣想
[00:05:53.080 --> 00:05:55.280]  但無論如何很重要的一件事
[00:05:55.280 --> 00:05:57.760]  在目前如何風光形勢來中壯
[00:05:57.760 --> 00:05:59.400]  會罰閹走的金錢
