
[00:00:00.000 --> 00:00:02.000]  等一會兒,早安
[00:00:02.000 --> 00:00:07.760]  相信大家最近看新聞都應該會留意到
[00:00:07.760 --> 00:00:10.320]  河南有暴雨,是嗎?
[00:00:10.320 --> 00:00:13.680]  上個星期鄭州
[00:00:13.680 --> 00:00:16.440]  因為在很短時間內
[00:00:16.440 --> 00:00:20.760]  下了600毫米的雨量
[00:00:20.760 --> 00:00:27.960]  結果導致道路,甚至地鐵嚴重水浸
[00:00:27.960 --> 00:00:30.120]  都幾厲害,死了幾十人
[00:00:30.120 --> 00:00:34.720]  其實這宗新聞都幾可怕之餘
[00:00:34.720 --> 00:00:38.080]  其實都令人很難過
[00:00:38.080 --> 00:00:43.160]  我相信因為氣候變化的緣故
[00:00:43.160 --> 00:00:50.840]  一是令到不同地方有千年一遇的暴雨
[00:00:50.840 --> 00:00:56.200]  另外一邊廂熱到飛起
[00:00:56.200 --> 00:00:58.480]  相信大家都感受得到
[00:00:58.480 --> 00:01:00.240]  其實不止現在
[00:01:00.240 --> 00:01:05.480]  給我一個很深的印象就是20年前
[00:01:05.480 --> 00:01:09.480]  當時我仍在讀神學
[00:01:09.480 --> 00:01:14.920]  在暑假期間,我帶上太太和我的大兒子
[00:01:14.920 --> 00:01:17.600]  當時他很小,仍是守抱
[00:01:17.600 --> 00:01:22.640]  回到國內一個地方
[00:01:22.640 --> 00:01:25.360]  就是重慶
[00:01:25.360 --> 00:01:30.200]  重慶是一個著名火爐的城市
[00:01:30.200 --> 00:01:33.520]  那種熱的感覺
[00:01:33.520 --> 00:01:36.560]  20年之後我還記得
[00:01:36.560 --> 00:01:38.560]  熱到融
[00:01:38.560 --> 00:01:43.240]  其實真正熱到融究竟是怎樣的呢?
[00:01:43.240 --> 00:01:45.960]  於是我嘗試上網找找
[00:01:45.960 --> 00:01:53.480]  找到這張在鋼鐵廠煉鋼時的照片
[00:01:53.480 --> 00:01:57.600]  原來這個設備叫做「高爐」
[00:01:57.600 --> 00:01:59.120]  很高的高
[00:01:59.120 --> 00:02:05.280]  最高溫度可以到達攝氏1700度
[00:02:05.280 --> 00:02:07.280]  都很厲害
[00:02:07.280 --> 00:02:10.760]  是遠遠超過人能夠承受的
[00:02:10.760 --> 00:02:13.040]  不過相比於今天
[00:02:13.040 --> 00:02:16.960]  我要和大家分享這個題目
[00:02:16.960 --> 00:02:19.760]  耶路撒冷裏面的人
[00:02:19.760 --> 00:02:26.240]  是要面對神為他們預備的大融爐
[00:02:26.240 --> 00:02:29.120]  我相信還差很遠
[00:02:29.120 --> 00:02:36.880]  為何這些以色列民會去到一個這樣的境況呢?
[00:02:36.880 --> 00:02:39.920]  來到以色列書22章
[00:02:39.920 --> 00:02:44.080]  耶路撒冷已經進入一個倒數的日子
[00:02:44.080 --> 00:02:49.080]  他們正在面對上帝的審判來到
[00:02:49.080 --> 00:02:53.760]  原因是在第18章的時候
[00:02:53.760 --> 00:02:57.640]  神已經透過以西傑
[00:02:57.640 --> 00:03:01.920]  很嚴峻地提醒他們要悔改回轉
[00:03:01.920 --> 00:03:04.440]  不過他們沒有這樣做
[00:03:04.440 --> 00:03:10.440]  於是冰林城下的景象就快要發生了
[00:03:10.440 --> 00:03:17.240]  這張聖經很容易被我們分為三段落
[00:03:17.240 --> 00:03:22.080]  一至十六節,十七至二十二及二十三至三十一
[00:03:22.080 --> 00:03:23.600]  為何這麼容易分呢?
[00:03:23.600 --> 00:03:26.200]  因為每一個段落的開頭
[00:03:26.200 --> 00:03:31.920]  都是用耶和華的話臨到以西傑作為一個開始
[00:03:31.920 --> 00:03:37.120]  請大家先聽我讀出第一段的經文
[00:03:37.120 --> 00:03:39.840]  第一至十六節
[00:03:39.840 --> 00:03:41.640]  我發現打錯了
[00:03:41.640 --> 00:03:43.120]  第一節
[00:03:43.120 --> 00:03:45.600]  耶和華的話又臨到我說
[00:03:45.600 --> 00:03:51.040]  「人子啊,你要審問審問這流人血的城魔
[00:03:51.040 --> 00:03:55.400]  當使他知道他一切可憎的事
[00:03:55.400 --> 00:03:58.400]  你要說,主要說如此說
[00:03:58.400 --> 00:04:02.480]  唉,這城有流人血的事在其中
[00:04:02.480 --> 00:04:05.160]  叫他受報的日期來到
[00:04:05.160 --> 00:04:09.920]  又作偶像玷污自己,陷害自己
[00:04:09.920 --> 00:04:14.560]  你因流了人的血,就為有罪
[00:04:14.560 --> 00:04:17.960]  你作了偶像,就玷污自己
[00:04:17.960 --> 00:04:20.760]  使你受報之日臨近
[00:04:20.760 --> 00:04:22.920]  報應之年來到
[00:04:22.920 --> 00:04:29.360]  所以我叫你受列國的凌辱和列邦的譏詔
[00:04:29.360 --> 00:04:32.560]  你這名臭多段的城啊
[00:04:32.560 --> 00:04:35.880]  那些離你近,離你遠的
[00:04:35.880 --> 00:04:38.000]  都必譏詔你
[00:04:38.000 --> 00:04:40.400]  看啊,以色列的首領
[00:04:40.400 --> 00:04:44.960]  各請其能在你中間流人之血
[00:04:44.960 --> 00:04:48.520]  在你中間有輕慢父母的
[00:04:48.520 --> 00:04:50.720]  有欺壓寄居的
[00:04:50.720 --> 00:04:53.680]  有虧負孤兒寡婦的
[00:04:53.680 --> 00:04:56.400]  你藐視了我的聖物
[00:04:56.400 --> 00:04:59.480]  干犯了我的安息日
[00:04:59.480 --> 00:05:04.120]  在你中間有蠶蚌人流人血的
[00:05:04.120 --> 00:05:08.000]  在山上有吃過製偶像之物的
[00:05:08.000 --> 00:05:10.120]  有行淫亂的
[00:05:10.120 --> 00:05:14.920]  在你中間有露髻母下體羞辱父親的
[00:05:14.920 --> 00:05:19.360]  有癲辱月經不潔症之婦人的
[00:05:19.360 --> 00:05:23.560]  這人與淪舍的妻恨可憎的事
[00:05:23.560 --> 00:05:27.000]  那人貪淫癲污兒婦
[00:05:27.000 --> 00:05:31.200]  還有癲辱同父之姐妹的
[00:05:31.200 --> 00:05:35.920]  在你中間有為流人血受賄賂的
[00:05:35.920 --> 00:05:39.120]  有向借錢的弟兄取利
[00:05:39.120 --> 00:05:42.200]  向借糧的弟兄多要的
[00:05:42.200 --> 00:05:44.560]  且因貪得無厭
[00:05:44.560 --> 00:05:47.840]  欺壓淪舍奪取財物
[00:05:47.840 --> 00:05:49.320]  景望了我
[00:05:49.320 --> 00:05:52.560]  這是主耶和華說的
[00:05:52.560 --> 00:05:53.360]  看啊
[00:05:53.360 --> 00:05:56.520]  我因你所流得不義之財
[00:05:56.520 --> 00:05:59.440]  和你中間所流的血
[00:05:59.440 --> 00:06:01.520]  就拍掌嘆息
[00:06:01.520 --> 00:06:04.320]  到了我懲罰你的日子
[00:06:04.320 --> 00:06:07.320]  你的心還能忍受麼
[00:06:07.320 --> 00:06:10.600]  你的手還能有力麼
[00:06:10.600 --> 00:06:12.880]  我耶和華說了這話
[00:06:12.880 --> 00:06:15.320]  就必照著行
[00:06:15.320 --> 00:06:18.040]  我必將你分散在列國
[00:06:18.040 --> 00:06:19.840]  四散在列邦
[00:06:19.840 --> 00:06:24.040]  我也必從你中間除掉你的污穢
[00:06:24.040 --> 00:06:27.040]  你必在列國人的眼前
[00:06:27.040 --> 00:06:30.040]  因自己所行的被褻瀆
[00:06:30.040 --> 00:06:33.800]  你就知道我是耶和華
[00:06:33.800 --> 00:06:37.600]  我為了這個段落定了一個標題
