
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 祖內平安
[00:00:02.000 --> 00:00:06.000]  今天有機會在這裏分享神的話語
[00:00:06.000 --> 00:00:08.000]  非常感恩
[00:00:08.000 --> 00:00:13.000]  我選來了經文社創世紀十七章一到十四節
[00:00:13.000 --> 00:00:17.000]  本來在準備的時候 我是準備了經文社分的段
[00:00:17.000 --> 00:00:21.000]  但是後來在準備過程當中 我做了一個修改
[00:00:21.000 --> 00:00:27.000]  所以可能和大家情緒表裏面有點不同
[00:00:27.000 --> 00:00:31.000]  在有一次我在閱讀聖經的時候
[00:00:31.000 --> 00:00:36.000]  看到耶穌自豪被污軌附身孩子的記載
[00:00:36.000 --> 00:00:42.000]  當時他裏面提到孩子的父親向耶穌的門徒去投訴
[00:00:42.000 --> 00:00:47.000]  他的禱告好像未能達到趕軌的目的
[00:00:47.000 --> 00:00:52.000]  然後耶穌說你若能信 在信的人凡事都能
[00:00:52.000 --> 00:00:55.000]  然後孩子的爸爸立刻回答
[00:00:55.000 --> 00:00:59.000]  他說我信 但我信不足 求主幫助
[00:00:59.000 --> 00:01:02.000]  所以當看了這段經文的時候 我在想
[00:01:02.000 --> 00:01:07.000]  有時候當我們看了信心是有和沒有
[00:01:07.000 --> 00:01:11.000]  能依靠上帝不相信上帝那種信心
[00:01:11.000 --> 00:01:15.000]  那是不用增長的 那是靠上帝的主權
[00:01:15.000 --> 00:01:17.000]  上帝的檢選
[00:01:17.000 --> 00:01:19.000]  但是在我們信耶穌以後
[00:01:19.000 --> 00:01:21.000]  我們是不是有時候會覺得
[00:01:21.000 --> 00:01:25.000]  信心好像有點不足 有點軟弱
[00:01:25.000 --> 00:01:28.000]  那種信心能怎麼樣增長呢
[00:01:28.000 --> 00:01:31.000]  所以我是在想
[00:01:31.000 --> 00:01:35.000]  信心之父亞伯拉罕是不是可以幫助我們
[00:01:35.000 --> 00:01:39.000]  是不是可以成爲我們學習的對象
[00:01:39.000 --> 00:01:41.000]  從這樣開始
[00:01:41.000 --> 00:01:44.000]  然後亞伯拉罕是唯一一個人
[00:01:44.000 --> 00:01:50.000]  被上帝在聖經裏面稱爲他是上帝的朋友
