
[00:00:00.000 --> 00:00:02.940]  前兩天有機會跟司母去華府
[00:00:02.940 --> 00:00:05.520]  參加川普總統的就職典禮
[00:00:05.520 --> 00:00:08.840]  倒不因為是什麼政治的原因
[00:00:08.840 --> 00:00:11.200]  而是在我靈裡面
[00:00:11.200 --> 00:00:14.960]  感覺有一個神的呼召在我心中
[00:00:14.960 --> 00:00:17.620]  其實川普當上總統之後
[00:00:17.620 --> 00:00:19.040]  在我靈裡面
[00:00:19.040 --> 00:00:21.000]  就已經感覺到
[00:00:21.000 --> 00:00:26.760]  這將會是一個新的翻轉的季節的開始
[00:00:26.760 --> 00:00:28.720]  而屬世的事情
[00:00:28.720 --> 00:00:32.040]  永遠是預表到屬靈的事情
[00:00:32.040 --> 00:00:34.400]  我在靈裡面就感覺到
[00:00:34.400 --> 00:00:36.440]  神在這個世代
[00:00:36.440 --> 00:00:40.440]  要開始做一個翻轉的工作
[00:00:40.440 --> 00:00:42.920]  所以在我心裡面當時
[00:00:42.920 --> 00:00:44.880]  就有這樣一個心願
[00:00:44.880 --> 00:00:46.080]  若是可能的話
[00:00:46.080 --> 00:00:49.480]  我倒是很想參加這一次的就職典禮
[00:00:49.480 --> 00:00:51.880]  以前從來沒有想參加過
[00:00:51.880 --> 00:00:53.320]  為什麼呢
[00:00:53.320 --> 00:00:55.080]  因為我就盼望能夠
[00:00:55.080 --> 00:00:57.960]  在這樣一個新的季節當中
[00:00:57.960 --> 00:01:01.480]  我能夠站立在這樣一個翻轉的時刻
[00:01:01.480 --> 00:01:03.400]  來為美國禱告
[00:01:03.400 --> 00:01:05.200]  為神的國禱告
[00:01:05.200 --> 00:01:07.640]  也為我們的教會禱告
[00:01:07.640 --> 00:01:11.240]  當然在當時這只不過是一個小小的心願
[00:01:11.240 --> 00:01:13.560]  我也不知道有沒有這個可能
[00:01:13.560 --> 00:01:17.640]  我知道每個州發出去的票也是非常有限
[00:01:17.640 --> 00:01:19.240]  所以我請一些弟兄姐妹
[00:01:19.240 --> 00:01:22.720]  特別幫我打聽怎麼樣能夠拿到票
[00:01:22.720 --> 00:01:25.480]  等了很久一直沒有什麼信息
[00:01:25.480 --> 00:01:27.160]  一直到上個禮拜
[00:01:27.160 --> 00:01:30.480]  我才確定他們幫我拿到了票
[00:01:30.480 --> 00:01:33.840]  感謝神連幫我拿到票的弟兄都說
[00:01:33.840 --> 00:01:35.840]  這件事情的本身
[00:01:35.840 --> 00:01:37.960]  都是上帝的favor
[00:01:37.960 --> 00:01:41.280]  我也相信這是上帝的favor
[00:01:41.280 --> 00:01:44.160]  因為這件事情也印證了
[00:01:44.160 --> 00:01:48.200]  神在我心中的這個感動跟呼召
[00:01:48.200 --> 00:01:53.000]  要為著這樣一個充滿改變的時刻來禱告
[00:01:53.000 --> 00:01:54.600]  Amen
[00:01:54.600 --> 00:01:58.880]  你要知道我們人在面對改變的時候
[00:01:58.880 --> 00:02:01.440]  都有三種不同的反應
[00:02:01.440 --> 00:02:07.840]  第一種就是去埋怨這個改變所帶來的結果
[00:02:07.840 --> 00:02:09.480]  第二種反應
[00:02:09.480 --> 00:02:15.320]  就是去盡量適應這個改變所帶來的變化
[00:02:15.320 --> 00:02:17.440]  但還有第三種
[00:02:17.440 --> 00:02:22.800]  就是去運用改變所帶來的一個結果
[00:02:22.800 --> 00:02:27.080]  能夠得著這個改變所帶來的好處
[00:02:27.080 --> 00:02:28.080]  三種
[00:02:28.080 --> 00:02:29.800]  有人在埋怨
[00:02:29.800 --> 00:02:31.480]  有人只是適應
[00:02:31.480 --> 00:02:33.840]  還有人懂得運用
