
[00:00:00.000 --> 00:00:04.000]  人們需要主
[00:00:04.000 --> 00:00:07.000]  豐盛生命堂的設立
[00:00:07.000 --> 00:00:10.000]  豐盛生命堂的使命
[00:00:10.000 --> 00:00:13.000]  就是要將主
[00:00:13.000 --> 00:00:16.000]  來宣揚
[00:00:16.000 --> 00:00:18.000]  來高舉
[00:00:18.000 --> 00:00:22.000]  我相信在前面的歲月
[00:00:22.000 --> 00:00:26.000]  如果主耶穌基督未曾回來
[00:00:26.000 --> 00:00:29.000]  豐盛生命堂
[00:00:29.000 --> 00:00:31.000]  仍然是
[00:00:31.000 --> 00:00:34.000]  任重道遠
[00:00:34.000 --> 00:00:36.000]  仍然是
[00:00:36.000 --> 00:00:38.000]  靠著聖靈
[00:00:38.000 --> 00:00:42.000]  大有可為的群體
[00:00:42.000 --> 00:00:45.000]  是不是?弟兄姊妹
[00:00:45.000 --> 00:00:51.000]  五十年
[00:00:51.000 --> 00:00:56.000]  主讓我們有五十年的歷史
[00:00:59.000 --> 00:01:01.000]  前面的五十
[00:01:01.000 --> 00:01:04.000]  讓我們靠著恩典
[00:01:04.000 --> 00:01:07.000]  經歷更多
[00:01:07.000 --> 00:01:10.000]  看見更大
[00:01:10.000 --> 00:01:13.000]  更大的什麼?
[00:01:13.000 --> 00:01:15.000]  更大的神蹟
[00:01:15.000 --> 00:01:18.000]  更大的神恩
[00:01:18.000 --> 00:01:22.000]  更大的基督的榮光
[00:01:22.000 --> 00:01:24.000]  不見一人
[00:01:24.000 --> 00:01:26.000]  只見耶穌
[00:01:27.000 --> 00:01:29.000]  當耶穌被高舉
[00:01:29.000 --> 00:01:31.000]  主自己說的
[00:01:31.000 --> 00:01:37.000]  就別吸引萬人來歸向他
[00:01:37.000 --> 00:01:39.000]  我仍然相信
[00:01:39.000 --> 00:01:42.000]  我仍然堅持
[00:01:42.000 --> 00:01:47.000]  我仍然願意一息尚存
[00:01:47.000 --> 00:01:49.000]  不存別的
[00:01:49.000 --> 00:01:52.000]  只存耶穌基督
[00:01:52.000 --> 00:01:54.000]  並他丁十字架
[00:01:55.000 --> 00:01:57.000]  基督教豐盛生命堂
[00:01:57.000 --> 00:01:59.000]  要起來
[00:01:59.000 --> 00:02:01.000]  要侍奉主
[00:02:01.000 --> 00:02:03.000]  要榮耀主
[00:02:03.000 --> 00:02:08.000]  世界上有很多的壓力
[00:02:08.000 --> 00:02:11.000]  世界上有很多的噪音
[00:02:11.000 --> 00:02:15.000]  世界上有很多五光十色的東西
[00:02:15.000 --> 00:02:19.000]  令我們有時候都忘記了
[00:02:19.000 --> 00:02:21.000]  自己的身份
[00:02:21.000 --> 00:02:23.000]  忘記了
[00:02:24.000 --> 00:02:28.000]  人們真正的盼望和出路
[00:02:28.000 --> 00:02:34.000]  在今天這個宗教大同凡事和諧
[00:02:34.000 --> 00:02:37.000]  包容蓋過一切的世代
[00:02:37.000 --> 00:02:40.000]  福音還有市場
[00:02:40.000 --> 00:02:44.000]  在這個《仕途行傳》第十九章那裡
[00:02:44.000 --> 00:02:48.000]  有一段非常生動的描繪
[00:02:48.000 --> 00:02:53.000]  是說到福音的能力是多麼的厲害
[00:02:54.000 --> 00:02:56.000]  讓我們禱告
[00:02:56.000 --> 00:02:59.000]  讓我們為此反省
[00:02:59.000 --> 00:03:01.000]  也為此努力
[00:03:01.000 --> 00:03:03.000]  使這個福音的大能
[00:03:03.000 --> 00:03:06.000]  繼續在我們的生命當中
[00:03:06.000 --> 00:03:08.000]  來彰顯出來
[00:03:08.000 --> 00:03:11.000]  福音有什麼的能力
[00:03:11.000 --> 00:03:15.000]  福音有搞亂天下的能力
[00:03:15.000 --> 00:03:18.000]  福音是有顛覆性
[00:03:18.000 --> 00:03:22.000]  福音是能夠撥亂反正
[00:03:23.000 --> 00:03:25.000]  福音是能夠驅除黑暗
[00:03:25.000 --> 00:03:29.000]  福音是能夠趕絕邪淫
[00:03:29.000 --> 00:03:31.000]  帶來聖潔
[00:03:31.000 --> 00:03:40.000]  福音有時候是令人非常之討厭和不安
[00:03:40.000 --> 00:03:46.000]  如果我們以為福音只不過是
[00:03:46.000 --> 00:03:49.000]  平安了平安了
[00:03:49.000 --> 00:03:51.000]  其實是沒有平安
[00:03:52.000 --> 00:03:55.000]  在《仕途行傳》裡面我們看到
[00:03:55.000 --> 00:03:58.000]  整個訊息的核心
[00:03:58.000 --> 00:04:02.000]  整卷《仕途行傳》的主角
[00:04:02.000 --> 00:04:05.000]  有人說是聖靈
[00:04:05.000 --> 00:04:07.000]  我說不是
