
[00:00:00.000 --> 00:00:01.560]  與我弟姐妹平安
[00:00:01.560 --> 00:00:05.880]  很高興今天再次有機會跟大家分享上帝的說話
[00:00:05.880 --> 00:00:10.960]  讓我們首先再一次低頭祈禱
[00:00:10.960 --> 00:00:12.440]  親主感謝你
[00:00:12.440 --> 00:00:14.440]  感謝你招待我們
[00:00:14.440 --> 00:00:16.560]  雖然我們不能夠在現場
[00:00:16.560 --> 00:00:19.360]  在你的聖殿裏一起去崇拜
[00:00:19.360 --> 00:00:20.400]  但我們深信
[00:00:20.400 --> 00:00:24.560]  只要我們懷着一份投入的心
[00:00:24.560 --> 00:00:26.080]  一份專注的心
[00:00:26.080 --> 00:00:29.880]  一份誠實和心靈在你的面前的時候
[00:00:29.880 --> 00:00:33.480]  你必越納我們的敬拜
[00:00:33.480 --> 00:00:37.360]  祈求上主在你特別的聖靈當中去幫助我們
[00:00:37.360 --> 00:00:40.440]  以致我們能夠悟性地去明白你的話語
[00:00:40.440 --> 00:00:43.880]  有言講的和聽的都同盟你的越納
[00:00:43.880 --> 00:00:46.320]  祈禱奉主耶穌基督的名求
[00:00:46.320 --> 00:00:47.320]  阿們
[00:00:47.320 --> 00:00:49.280]  各位弟兄姐妹
[00:00:49.280 --> 00:00:53.440]  當你聽到剛纔黃宣教師提到今天的題目
[00:00:53.440 --> 00:00:55.840]  叫做「信服掌權者」
[00:00:55.840 --> 00:00:59.240]  不知道你有什麼感受呢?
[00:00:59.240 --> 00:01:02.840]  對你來說信服難不難呢?
[00:01:02.840 --> 00:01:06.440]  對我來說信服是一件很難的事
[00:01:06.440 --> 00:01:09.120]  如果你說信服那個愛我的
[00:01:09.120 --> 00:01:10.800]  爲我的好處着想
[00:01:10.800 --> 00:01:12.720]  甚至爲我寫名
[00:01:12.720 --> 00:01:13.760]  不用說
[00:01:13.760 --> 00:01:16.920]  我們每一個人都會心甘情願地去信服對方
[00:01:16.920 --> 00:01:18.760]  對不對?
[00:01:18.760 --> 00:01:22.520]  但如果你面對一個只會利用你
[00:01:22.520 --> 00:01:25.560]  他會剝削你和自肥的
[00:01:25.560 --> 00:01:29.760]  又或者他只會顧及自己的利益選人利己
[00:01:29.760 --> 00:01:31.040]  不用說
[00:01:31.040 --> 00:01:34.080]  我們都不太想去信服他對不對?
[00:01:34.080 --> 00:01:37.320]  就算我們要去聽他的話
[00:01:37.320 --> 00:01:40.480]  裏面的都是心不甘情不願
[00:01:40.480 --> 00:01:44.880]  我們去聽話都只不過是一種屈服
[00:01:44.880 --> 00:01:46.640]  對不對?
[00:01:46.640 --> 00:01:49.120]  不過我在想的時候去問
[00:01:49.120 --> 00:01:51.200]  如果我們無可選擇
[00:01:51.200 --> 00:01:55.640]  要去面對一個不是很愛我們的
[00:01:55.640 --> 00:01:59.320]  只會選擇利己的人的處境的時候
[00:01:59.320 --> 00:02:02.200]  我們應該怎麼去做呢?
[00:02:02.200 --> 00:02:05.600]  今天跟大家分享的經文是在《羅馬書》
[00:02:05.600 --> 00:02:09.480]  我一直以來都在跟大家分享《羅馬書》
[00:02:09.480 --> 00:02:12.320]  不過現在來到第十三章
[00:02:12.320 --> 00:02:17.400]  十三章一至七節講的是信服掌權者
[00:02:17.400 --> 00:02:18.720]  有兩個《聖經》的版本
[00:02:18.720 --> 00:02:25.000]  它的翻譯正正說在上掌權者就是政府
[00:02:25.000 --> 00:02:28.000]  告訴我們人民應該去信服
[00:02:28.000 --> 00:02:29.880]  去服從政府
[00:02:29.880 --> 00:02:33.040]  做一個負責任良好的公民
[00:02:33.040 --> 00:02:37.000]  我們這樣做不是爲了懼怕政權的懲罰
[00:02:37.000 --> 00:02:40.160]  而是爲了我們的良心
