
[00:00:00.000 --> 00:00:03.000]  (主席)各位電影姊妹,各位朋友早晨
[00:00:03.000 --> 00:00:07.000]  今早我們一齊來思想基督教的福音
[00:00:07.000 --> 00:00:12.000]  福音的意思其實就是好消息,good news
[00:00:12.000 --> 00:00:16.000]  是我們人生裏面一個好的消息
[00:00:16.000 --> 00:00:21.000]  我知道我們有些朋友都來了教會可能一段日子
[00:00:21.000 --> 00:00:24.000]  今早又下雨又這麼早來
[00:00:24.000 --> 00:00:29.000]  肯定你都已經在信仰的追尋上是很認真的
[00:00:29.000 --> 00:00:35.000]  你說不是的,我的親戚軟硬兼施逼我來
[00:00:35.000 --> 00:00:38.000]  也是的,這麼大個人逼不到的
[00:00:38.000 --> 00:00:45.000]  即是說你心裏面其實真是想尋找一個人生最終極的信仰真理
[00:00:45.000 --> 00:00:47.000]  其實我都是問這個問題
[00:00:47.000 --> 00:00:50.000]  我想今早和大家一起思想一下這個問題
[00:00:50.000 --> 00:00:52.000]  我自己成為一個基督教徒
[00:00:52.000 --> 00:00:56.000]  信了耶穌都44年的時間
[00:00:56.000 --> 00:00:58.000]  有時這44年真的不短
[00:00:58.000 --> 00:01:01.000]  你說我初初信幾十十幾歲
[00:01:01.000 --> 00:01:04.000]  你可以解釋說都是一時衝動
[00:01:04.000 --> 00:01:07.000]  小朋友不知道世界
[00:01:07.000 --> 00:01:10.000]  聽幾聽又哭了,那就信了
[00:01:10.000 --> 00:01:15.000]  但44年還信就肯定不是一時衝動
[00:01:15.000 --> 00:01:18.000]  尤其是這44年裏面我都讀了很多書
[00:01:18.000 --> 00:01:21.000]  不敢說特別聰明
[00:01:21.000 --> 00:01:23.000]  但都叫做拿了幾個學位
[00:01:23.000 --> 00:01:25.000]  尤其是我是讀哲學的
[00:01:25.000 --> 00:01:27.000]  我讀了兩個博士的哲學學位
[00:01:27.000 --> 00:01:29.000]  一個是西方的哲學
[00:01:29.000 --> 00:01:31.000]  一個是中國的哲學
[00:01:31.000 --> 00:01:34.000]  我相信我都不是一個很盲目的人
[00:01:34.000 --> 00:01:36.000]  我都時常問這個問題
[00:01:36.000 --> 00:01:37.000]  究竟基督教有什麼特別
[00:01:37.000 --> 00:01:39.000]  為什麼我要繼續去信它
[00:01:39.000 --> 00:01:43.000]  尤其是我現在中文大學裏面是教宗教比較
[00:01:43.000 --> 00:01:48.000]  我將來下一年一月的時候會開一課講儒釋道
[00:01:48.000 --> 00:01:51.000]  我會和那些學生一起去研讀
[00:01:51.000 --> 00:01:54.000]  是中國一些很重要的宗教經典
[00:01:54.000 --> 00:01:57.000]  論語、孟子、莊子、老子
[00:01:57.000 --> 00:02:00.000]  佛教的六祖壇經
[00:02:00.000 --> 00:02:05.000]  這些作品裏面我都覺得很佩服他們的作品
[00:02:05.000 --> 00:02:07.000]  對人生的修養非常之好
[00:02:07.000 --> 00:02:11.000]  但為什麼我今天還會站在這裏和大家講基督教的信仰
