
[00:00:00.000 --> 00:00:03.180]  我們一起在神面前先禱告和仰望祂
[00:00:03.180 --> 00:00:09.200]  主,我們多謝祢讓我們再一次可以研讀祢的話語
[00:00:09.200 --> 00:00:11.200]  再一次看祢的話語
[00:00:11.200 --> 00:00:14.100]  使我們心裏真的喜樂
[00:00:14.100 --> 00:00:17.400]  因為祢的話語是我們生命的糧
[00:00:17.400 --> 00:00:19.900]  祢的分詞將我們救活
[00:00:19.900 --> 00:00:23.000]  主,讓我求祢對我們每一個人說話
[00:00:23.000 --> 00:00:28.500]  讓今天的訊息更加能夠幫助我們
[00:00:28.500 --> 00:00:34.300]  在各種我們面對的困難、限制的裏面
[00:00:34.300 --> 00:00:37.300]  我們更加看到一位主,你樂而施恩
[00:00:37.300 --> 00:00:40.300]  是一位真是愛世人的主
[00:00:40.300 --> 00:00:43.100]  幫助我們聆聽祢的話語
[00:00:43.100 --> 00:00:45.600]  禱告、交託,奉基督耶穌的聖名
[00:00:45.600 --> 00:00:46.600]  阿們
[00:00:46.600 --> 00:00:54.700]  如果大家有留意,最近茶樓生意難做了很多
[00:00:54.700 --> 00:00:58.300]  很多原因,洗碗又貴
[00:00:58.300 --> 00:01:01.100]  洗碗工都很貴
[00:01:01.100 --> 00:01:04.900]  為了量度多做幾次客人
[00:01:04.900 --> 00:01:07.400]  有些茶樓會想一個辦法
[00:01:07.400 --> 00:01:10.600]  就是進去之前問你,你要不要搭桌子
[00:01:10.600 --> 00:01:12.200]  你有沒有留意
[00:01:12.200 --> 00:01:16.300]  如果你要搭桌子的時候,它會快一點
[00:01:16.300 --> 00:01:18.900]  你不搭桌子就慢很多
[00:01:18.900 --> 00:01:21.600]  有時甚至有些茶樓
[00:01:21.600 --> 00:01:24.900]  它的茶錢可以減一些,如果你肯搭桌子
[00:01:24.900 --> 00:01:29.000]  點心便宜四元,我最近聽過一個這樣的說法
[00:01:29.000 --> 00:01:30.900]  那麼多誘因是因為
[00:01:30.900 --> 00:01:35.300]  人不是很喜歡搭桌子的
[00:01:35.300 --> 00:01:40.900]  搭桌子其實是香港的茶樓食肆一個很大的特色
[00:01:40.900 --> 00:01:42.900]  大家一定有類似的經驗
[00:01:42.900 --> 00:01:44.800]  家裏人
[00:01:44.800 --> 00:01:46.700]  如果家裏有四個以上的人
[00:01:46.700 --> 00:01:49.400]  通常可以去到酒樓就跟他點一張
[00:01:49.400 --> 00:01:52.600]  多少人桌,四人桌、六人桌、八人桌
[00:01:52.600 --> 00:01:54.900]  他可以給你整張桌子
[00:01:54.900 --> 00:01:56.900]  你可以很安心
[00:01:56.900 --> 00:01:59.600]  通常不會有人傻到
[00:01:59.600 --> 00:02:04.700]  你六個人坐八人桌,兩個人走過來搭桌子
[00:02:04.700 --> 00:02:08.500]  但是如果你一兩丁人去茶樓
[00:02:08.500 --> 00:02:11.400]  有時特別在繁忙時間
[00:02:11.400 --> 00:02:13.100]  或者一些茶餐廳
[00:02:13.100 --> 00:02:15.200]  你通常都要想著
[00:02:15.200 --> 00:02:21.600]  多數都要跟陌生人搭桌子
[00:02:21.600 --> 00:02:23.400]  如果你習慣都更好
[00:02:23.400 --> 00:02:27.100]  不習慣有時你真的不敢跟朋友聊天
[00:02:27.100 --> 00:02:29.100]  特別是聊密集
[00:02:29.100 --> 00:02:31.600]  因為我都很多次試過聽到
[00:02:31.600 --> 00:02:33.600]  都不是特意想聽的
[00:02:33.600 --> 00:02:37.500]  不過那些人真的說話你沒辦法聽不到
[00:02:37.500 --> 00:02:40.200]  我也聽過有些人在說是非
[00:02:40.200 --> 00:02:42.000]  說同事怎麼壞
[00:02:42.000 --> 00:02:44.000]  波士老闆怎麼壞
[00:02:44.000 --> 00:02:46.600]  最糟糕有時我還聽見附近的教會
[00:02:46.600 --> 00:02:52.100]  那些弟兄姊妹說些是是非非
[00:02:52.100 --> 00:02:54.100]  我還認識過一些人
[00:02:54.100 --> 00:02:56.600]  這是最可怕的地方
[00:02:56.600 --> 00:02:57.600]  所以搭桌子的時候
[00:02:57.600 --> 00:03:03.400]  我不知不覺也會特別提高警覺
[00:03:03.400 --> 00:03:06.700]  如果一大群人去搭桌子
[00:03:06.700 --> 00:03:08.600]  如果你一大群人
[00:03:08.600 --> 00:03:11.700]  一兩個人進去搭桌子的時候
[00:03:11.700 --> 00:03:16.200]  我通常會盡量五分鐘之內吃完我的餐
[00:03:16.200 --> 00:03:19.800]  希望快點過去就算了
[00:03:19.800 --> 00:03:22.000]  我有一次試過跟我太太
[00:03:22.000 --> 00:03:23.500]  參加一個旅行團
[00:03:23.500 --> 00:03:25.000]  我們一家四口
